,AOU,Variables,Estimate,Q2.5,Q97.5
344,6860,Competitors,2.306376357,1.780960201,2.896019215
345,6870,Competitors,2.093666883,1.614973791,2.658308914
346,6882,Competitors,2.407231737,1.670916167,3.209174521
347,7020,Competitors,1.205293185,0.723560748,1.770076009
348,7030,Competitors,0.729928745,0.25122932,1.302182816
349,7040,Competitors,1.374059664,0.902916714,1.938677529
350,7050,Competitors,1.183676685,0.710449338,1.757363933
351,7150,Competitors,1.59220929,1.115848664,2.156440421
352,7180,Competitors,0.503138945,0.018927348,1.06802178
353,7190,Competitors,1.215323808,0.739403012,1.780828324
354,7210,Competitors,0.738827495,0.270038353,1.304447006
355,7221,Competitors,0.886886395,0.392509372,1.460043458
356,7222,Competitors,0.505025966,0.018825287,1.069305808
357,7240,Competitors,0.427672112,-0.06354558,1.006224825
358,7260,Competitors,1.082370629,0.602678454,1.648145765
359,7270,Competitors,1.883064388,1.410972141,2.44489949
360,7280,Competitors,0.998054822,0.527786175,1.567119044
361,7290,Competitors,1.564544688,1.083289498,2.132871499
362,7310,Competitors,1.104869465,0.628527713,1.673618886
363,7350,Competitors,1.872560794,1.400778558,2.437884708
364,7360,Competitors,0.805837356,0.315719891,1.389601804
365,7380,Competitors,1.551203121,1.066849885,2.128985921
366,7430,Competitors,2.496211206,2.016979678,3.069120889
367,7480,Competitors,1.90931507,1.436611346,2.480114359
368,7510,Competitors,1.119923424,0.59956983,1.705978088
369,7540,Competitors,1.785135313,1.29999185,2.365375104
370,7550,Competitors,-1.523855554,-2.027401088,-0.928257044
371,7560,Competitors,-18.62525573,-19.78409859,-17.491472
372,7580,Competitors,1.152586958,0.675700997,1.723937425
373,7590,Competitors,2.006193913,1.535603635,2.571124851
374,7610,Competitors,1.046919365,0.572731252,1.612685028
375,7660,Competitors,1.491856589,1.019413763,2.053792956
376,7670,Competitors,1.781298514,1.295235328,2.357922638
377,7680,Competitors,1.085201691,0.605299187,1.653849478
378,2881,Temp,0.232122552,0.051190457,0.414877096
379,2890,Temp,-0.692627259,-0.785854225,-0.602428065
380,2940,Temp,-0.672602452,-0.876781568,-0.476332489
381,3000,Temp,0.219963316,0.117140863,0.316417495
