Focal AOU,Focal Common Name,Environment Occupancy ,Competition Occupancy,Shared Occupancy,None Occupancy,Total Variance Occupancy,Environment Abundance,Competition Abundance,Shared Abundance,None Abundance,Total Variance Abundance,Rc,n
4560,Eastern Phoebe,0.034586571,0.281352128,0.065321416,0.618739884,0.381260116,0.018294341,0.5403033,0.027273187,0.414129172,0.585870828,0.890527589,1641
4570,Say's Phoebe,0.093338397,0.003159388,-0.002574106,0.906076321,0.093923679,0.091436998,0.025128287,-0.01759309,0.901027804,0.098972196,0.032740523,534
4590,Olive-sided Flycatcher,0.116938643,0.019206257,0.004173196,0.859681904,0.140318096,0.073848538,7.08E-05,0.001619533,0.924461143,0.075538857,0.141072174,576
4610,Eastern Wood-Pewee,0.02166094,0.205755544,0.175106051,0.597477466,0.402522534,0.008944842,0.493404643,0.119592388,0.378058127,0.621941873,0.904752113,1659
4620,Western Wood-Pewee,0.018069999,0.331230129,0.095314929,0.555384944,0.444615056,0.01175416,0.541440766,0.055713636,0.391091439,0.608908561,0.948267987,711
4640,Cordilleran Flycatcher,0.09039345,0.067061159,0.005746268,0.836799123,0.163200877,0.052020235,0.066405592,0.012134661,0.869439511,0.130560489,0.425907881,171
4641,Pacific-slope Flycatcher,0.068918006,0.148629171,0.277389251,0.505063572,0.494936428,0.021298577,0.528874907,0.247499087,0.202327429,0.797672571,0.683204318,192
4650,Acadian Flycatcher,0.116555204,0.161782465,0.002275725,0.719386606,0.280613394,0.094581609,0.307737695,-0.005794232,0.603474929,0.396525071,0.581245311,918
4660,Willow Flycatcher,0.153331365,0.032083464,-0.015274985,0.829860156,0.170139844,0.117666278,0.015332294,0.007195807,0.859805621,0.140194379,0.173036128,1191
4670,Least Flycatcher,0.112316548,0.261967719,0.215114242,0.41060149,0.58939851,0.002215678,0.545829515,0.086195638,0.365759169,0.634240831,0.699916459,903
4680,Hammond's Flycatcher,0.180247886,0.07132352,0.00774512,0.740683474,0.259316526,0.198996608,0.221088432,-0.066285724,0.646200685,0.353799315,0.283512029,303
4690,Dusky Flycatcher,0.063760421,0.039689501,0.030251578,0.8662985,0.1337015,0.020243912,0.102599679,0.021330443,0.855825965,0.144174035,0.383659074,321
4691,Gray Flycatcher,0.06059783,0.000134912,0.000326918,0.93894034,0.06105966,0.083598311,0.009854719,0.004299401,0.902247569,0.097752431,0.002221408,135
4750,Black-billed Magpie,0.241244326,0.201763438,-0.046276832,0.603269068,0.396730932,0.150644613,0.202031226,-0.023583975,0.670908136,0.329091864,0.455439959,564
4770,Blue Jay,0.348666238,0.033673776,0.008013555,0.609646431,0.390353569,0.06202801,0.176851417,-0.002206345,0.763326919,0.236673081,0.088072854,1872
4780,Steller's Jay,0.128714504,0.108834432,0.079422544,0.68302852,0.31697148,0.109340795,0.10338124,0.045216215,0.742061751,0.257938249,0.458155838,357
4812,Western Scrub-Jay,0.117138352,0.167794465,0.193295122,0.521772061,0.478227939,0.213784709,0.062180664,0.347449351,0.376585277,0.623414723,0.588891327,108
4840,Gray Jay,0.072460467,0.002018234,0.02890097,0.896620329,0.103379671,0.043262553,0.013731131,0.046859684,0.896146632,0.103853368,0.027098135,324
4880,American Crow,0.142573351,0.073087458,0.292866148,0.491473043,0.508526957,0.037055934,0.170728322,0.180688342,0.611527401,0.388472599,0.338900047,2355
4900,Fish Crow,0.096922257,0.175848703,0.125261125,0.601967915,0.398032085,0.002050714,0.672850808,0.104142045,0.220956433,0.779043567,0.64467531,558
4910,Clark's Nutcracker,0.079341129,0.004874728,-0.000354341,0.916138484,0.083861516,0.06443955,0.034481188,0.003219891,0.897859371,0.102140629,0.057883726,246
4940,Bobolink,0.139371773,0.115596012,0.124739141,0.620293075,0.379706925,0.025958202,0.124818003,0.055790742,0.793433053,0.206566947,0.45337497,906
4950,Brown-headed Cowbird,0.162857694,0.008516908,-0.006033444,0.834658842,0.165341158,0.054676947,0.006653336,-0.003852926,0.942522643,0.057477357,0.049697606,2568
4970,Yellow-headed Blackbird,0.1557906,0.123780023,-0.045177171,0.765606549,0.234393451,0.14531241,0.101301108,-0.020540629,0.773927111,0.226072889,0.442750465,447
4980,Red-winged Blackbird,0.062813053,0.105893324,0.091026164,0.740267459,0.259732541,0.004014063,0.242856558,0.048575379,0.704554,0.295446,0.627678253,2508
5010,Eastern Meadowlark,0.127115303,0.201089569,-0.054321201,0.726116329,0.273883671,0.107459508,0.411602049,-0.060531387,0.54146983,0.45853017,0.612695258,1638
5011,Western Meadowlark,0.10830173,0.090892449,0.230489958,0.570315863,0.429684137,0.118514276,0.108753676,0.260791977,0.511940072,0.488059928,0.456300729,1062
5060,Orchard Oriole,0.145579672,0.108987327,0.086984259,0.658448742,0.341551258,0.045926029,0.16368147,0.062207271,0.72818523,0.27181477,0.428128264,1356
5070,Baltimore Oriole,0.219961537,0.03115029,0.053113429,0.695774744,0.304225256,0.084058263,0.083067495,0.057511178,0.775363063,0.224636937,0.124049473,1425
5080,Bullock's Oriole,0.12460391,0.003033797,-0.002380367,0.87474266,0.12525734,0.11508616,0.049905792,-0.01837374,0.853381788,0.146618212,0.023768816,546
5100,Brewer's Blackbird,0.144020857,0.121284138,0.032523708,0.702171297,0.297828703,0.093117402,0.15259141,0.033632557,0.720658631,0.279341369,0.457149846,786
5110,Common Grackle,0.20252268,0.045943528,0.10146154,0.650072251,0.349927749,0.076344583,0.168994613,0.099983179,0.654677625,0.345322375,0.184908558,2034
5120,Great-tailed Grackle,0.053809611,0.115849653,0.17324195,0.657098786,0.342901214,0.073098069,0.056600011,0.015523774,0.854778146,0.145221854,0.682837177,327
5170,Purple Finch,0.009319818,0.220927516,0.025074045,0.744678621,0.255321379,0.069786427,0.250043883,0.064867621,0.615302069,0.384697931,0.95952258,684
5180,Cassin's Finch,0.052173978,0.241985406,0.028892803,0.676947812,0.323052188,0.079468646,0.239629826,-0.000496246,0.681397773,0.318602227,0.822633643,270
5190,House Finch,0.123785121,0.060515107,-0.015848181,0.831547954,0.168452046,0.022335957,0.088256839,-0.005582703,0.894989907,0.105010093,0.328350691,2139
5210,Red Crossbill,0.206403885,0.07924494,0.077819431,0.636531744,0.363468256,0.101278918,0.024218094,0.056214464,0.818288524,0.181711476,0.277420852,417
5220,White-winged Crossbill,0.350508191,0.00043464,0.093486317,0.555570853,0.444429147,0.021307425,0.074921909,0.148261323,0.755509343,0.244490657,0.001238492,141
5290,American Goldfinch,0.226640658,0.041745312,0.214987548,0.516626482,0.483373518,0.103992265,0.049221937,0.112997617,0.733788181,0.266211819,0.155542079,2013
5300,Lesser Goldfinch,0.158007024,0.053317659,0.076524414,0.712150902,0.287849098,0.128197702,0.044823853,0.061290683,0.765687763,0.234312237,0.252302089,312
5330,Pine Siskin,0.136720999,0.007384844,0.003571819,0.852322338,0.147677662,0.100445267,0.004198262,0.004827238,0.890529233,0.109470767,0.051245973,666
5400,Vesper Sparrow,0.155513879,0.113051304,0.101888396,0.629546421,0.370453579,0.067206035,0.241538643,0.121080602,0.570174719,0.429825281,0.420945495,1122
5460,Grasshopper Sparrow,0.179097745,0.242369899,-0.064024264,0.64255662,0.35744338,0.085196916,0.279026987,-0.042962993,0.67873909,0.32126091,0.575061697,1293
5480,Le Conte's Sparrow,0.124745797,0.121614851,0.150481367,0.603157986,0.396842014,0.041432907,0.25843563,0.144917898,0.555213565,0.444786435,0.493645606,159
5520,Lark Sparrow,0.068464393,0.145041753,0.175439675,0.611054179,0.388945821,0.069373818,0.110486863,0.143307537,0.676831782,0.323168218,0.679332919,903
5540,White-crowned Sparrow,0.339416291,0.016254506,-0.00453706,0.648866262,0.351133738,0.150621633,0.066975792,-0.043385697,0.825788272,0.174211728,0.045700986,327
5580,White-throated Sparrow,0.053600527,0.152568736,0.201222981,0.592607756,0.407392244,0.006755362,0.510904235,0.19200294,0.290337463,0.709662537,0.740016885,399
5600,Chipping Sparrow,0.140210829,0.09519952,0.128375776,0.636213876,0.363786124,0.085113201,0.279572629,0.137281514,0.498032655,0.501967345,0.404398193,2187
5610,Clay-colored Sparrow,0.090932602,0.128499049,0.374410526,0.406157824,0.593842176,0.008135747,0.433614173,0.321331898,0.236918182,0.763081818,0.585599428,408
5620,Brewer's Sparrow,0.064459025,0.105795918,-0.002967889,0.832712946,0.167287054,0.07722768,0.264198943,-0.04865126,0.707224638,0.292775362,0.621397042,327
5630,Field Sparrow,0.111598061,0.124455868,0.092520164,0.671425907,0.328574093,0.012052595,0.45518887,0.091416114,0.441342421,0.558657579,0.527234893,1422
5730,Black-throated Sparrow,0.373136147,0.071771394,0.01365127,0.541441189,0.458558811,0.186762127,0.022701877,0.028151297,0.762384698,0.237615302,0.161317548,210
5780,Cassin's Sparrow,0.101580211,0.289276588,0.177564977,0.431578224,0.568421776,0.020057817,0.471050632,0.268804119,0.240087432,0.759912568,0.740108881,204
5810,Song Sparrow,0.060370049,0.183005613,0.195947799,0.560676539,0.439323461,0.012029959,0.349346344,0.232276093,0.406347604,0.593652396,0.751947057,1893
5840,Swamp Sparrow,0.074677834,0.020727132,0.015705255,0.88888978,0.11111022,0.044793574,0.002887835,0.000216004,0.952102586,0.047897414,0.217254221,624
5850,Fox Sparrow,0.126238161,0.031217203,0.030544024,0.812000612,0.187999388,0.083762255,0.075847512,0.034829898,0.805560334,0.194439666,0.198260654,249
5870,Eastern Towhee,0.230159478,0.082920539,0.080317302,0.606602681,0.393397319,0.04680913,0.239327372,0.094175793,0.619687705,0.380312295,0.26485414,1428
5880,Spotted Towhee,0.072756327,0.083578066,-0.006812539,0.850478146,0.149521854,0.067041119,0.122401334,-0.028441103,0.838998649,0.161001351,0.53461087,513
5900,Green-tailed Towhee,0.036641145,0.234504533,0.011006988,0.717847334,0.282152666,0.024331847,0.15947726,0.021286706,0.794904187,0.205095813,0.864865466,264
5930,Northern Cardinal,0.258981716,0.154214756,0.037902793,0.548900735,0.451099265,0.183718344,0.255940762,0.008671056,0.551669839,0.448330161,0.373223796,1677
5950,Rose-breasted Grosbeak,0.236152206,0.088055071,-0.034532426,0.71032515,0.28967485,0.125641425,0.146867393,-0.04641424,0.773905421,0.226094579,0.271601155,1053
5960,Black-headed Grosbeak,0.095056764,0.138336892,0.020075803,0.746530541,0.253469459,0.103816135,0.140813339,0.017475665,0.737894862,0.262105138,0.592719162,555
5970,Blue Grosbeak,0.302917388,0.020509759,-0.020343161,0.696916014,0.303083986,0.258153057,0.088396086,-0.076553641,0.730004499,0.269995501,0.063413846,1128
5980,Indigo Bunting,0.285774685,0.098909228,0.156848175,0.458467913,0.541532087,0.236640251,0.179113506,0.129316935,0.454929308,0.545070692,0.257118181,1698
5990,Lazuli Bunting,0.135494991,0.004054551,-0.003891189,0.864341646,0.135658354,0.075060631,0.061766301,-0.020579466,0.883752534,0.116247466,0.029054566,420
6010,Painted Bunting,0.085539443,0.142556678,0.222384574,0.549519305,0.450480695,0.022553236,0.432050299,0.357145795,0.18825067,0.81174933,0.624985105,240
6040,Dickcissel,0.343352729,0.170924181,-0.038902249,0.524625339,0.475374661,0.192195611,0.306780614,-0.037907568,0.538931343,0.461068657,0.332358264,882
6050,Lark Bunting,0.126295195,0.305168247,0.321828855,0.246707703,0.753292297,0.049547542,0.290125736,0.18946863,0.470858091,0.529141909,0.707286452,210
6070,Western Tanager,0.137321525,0.004394823,0.022971887,0.835311764,0.164688236,0.081415195,0.000312622,0.014203767,0.904068416,0.095931584,0.031011405,528
6080,Scarlet Tanager,0.120697216,0.025184806,0.011821737,0.84229624,0.15770376,0.116763249,0.011556289,0.021234195,0.850446266,0.149553734,0.172638176,1194
6100,Summer Tanager,0.299965086,0.000927618,0.030249917,0.668857379,0.331142621,0.159753762,0.000261224,0.015844705,0.82414031,0.17585969,0.003082887,798
6120,Cliff Swallow,0.013331865,0.341226449,0.024826826,0.62061486,0.37938514,0.019260128,0.276497513,0.013764535,0.690477824,0.309522176,0.962398666,1770
6130,Barn Swallow,0.186409067,0.022047571,0.099717498,0.691825864,0.308174136,0.102895138,0.036338326,0.081359203,0.779407333,0.220592667,0.105765743,2466
6140,Tree Swallow,0.173467489,0.066372318,0.053463042,0.706697151,0.293302849,0.041631285,0.118599382,0.02928567,0.810483663,0.189516337,0.276736039,1977
6150,Violet-green Swallow,0.13319548,0.076088775,0.043983722,0.746732023,0.253267977,0.0758947,0.109612905,0.011497178,0.802995217,0.197004783,0.363566647,579
6160,Bank Swallow,0.065202904,0.112456197,-0.018471781,0.84081268,0.15918732,0.024985502,0.118347309,-0.011028594,0.867695782,0.132304218,0.632988663,843
6170,Northern Rough-winged Swallow,0.075323552,0.001421517,-0.001351685,0.924606616,0.075393384,0.007927881,0.063047975,0.008499352,0.920524792,0.079475208,0.018522591,1986
6190,Cedar Waxwing,0.241631334,0,0,0.758368666,0.241631334,0.132691583,0,0,0.867308417,0.132691583,0,1695
6220,Loggerhead Shrike,0.082535195,0,0,0.917464805,0.082535195,0.039053041,0,0,0.960946959,0.039053041,0,906
6240,Red-eyed Vireo,0.075513561,0.342171477,0.061505019,0.520809943,0.479190057,0.015079024,0.500721927,0.075201381,0.408997668,0.591002332,0.819209322,1869
6270,Warbling Vireo,0.116973301,0.157289739,0.013047198,0.712689762,0.287310238,0.026469944,0.203899606,0.050847856,0.718782595,0.281217405,0.573499582,1686
6280,Yellow-throated Vireo,0.029267353,0.014411005,0.007489367,0.948832275,0.051167725,0.019605805,0.078914917,-0.001036126,0.902515404,0.097484596,0.329934677,1209
6290,Blue-headed Vireo,0.035300756,0.167436068,-0.020873916,0.818137092,0.181862908,0.057422207,0.471130497,-0.044215691,0.515662987,0.484337013,0.825878916,612
6291,Plumbeous Vireo,0.223862106,0.027607476,0.083010864,0.665519554,0.334480446,0.090195097,0.12876141,0.112654556,0.668388937,0.331611063,0.109784554,207
6292,Cassin's Vireo,0.171600693,0.005825067,0.039146349,0.783427892,0.216572108,0.09839613,0.018945189,0.043501756,0.839156925,0.160843075,0.032831009,180
6310,White-eyed Vireo,0.152075685,0.051878832,0.231272418,0.564773065,0.435226935,0.01771754,0.166413899,0.169607164,0.646261397,0.353738603,0.254364712,912
6330,Bell's Vireo,0.257615078,0.000301651,0.051370032,0.690713239,0.309286761,0.13618093,0.004825342,0.082496593,0.776497135,0.223502865,0.001169566,348
6360,Black-and-white Warbler,0.054881796,0.000431293,0.008595971,0.936090941,0.063909059,0.031478502,0.011353303,0.010327148,0.946841047,0.053158953,0.007797299,993
6370,Prothonotary Warbler,0.294567458,0.04343999,-0.04288115,0.704873702,0.295126298,0.241934018,0.083903802,-0.077383257,0.751545437,0.248454563,0.128517847,405
6380,Swainson's Warbler,0.257651974,0.000609509,0.011524815,0.730213703,0.269786297,0.061717517,0.058497375,-0.009297153,0.889082262,0.110917738,0.002360046,168
6390,Worm-eating Warbler,0.035721754,0.098667636,0.024029694,0.841580916,0.158419084,0.027031112,0.488018912,-0.00215791,0.487107886,0.512892114,0.734192154,453
6410,Blue-winged Warbler,0.077571967,0.010921662,-0.003606671,0.915113042,0.084886958,0.063371098,0.156167858,-0.020657746,0.801118789,0.198881211,0.123417494,498
6450,Nashville Warbler,0.165023729,0.458460281,-0.129035953,0.505551943,0.494448057,0.143094465,0.442251076,-0.108503134,0.523157593,0.476842407,0.735320029,468
6460,Orange-crowned Warbler,0.191654818,0.097613507,0.026174112,0.684557563,0.315442437,0.086136687,0.175484666,0.010886116,0.72749253,0.27250747,0.337449692,444
6480,Northern Parula,0.072557917,0.093999699,-0.014564272,0.848006656,0.151993344,0.05905831,0.226513073,-0.00958083,0.724009448,0.275990552,0.564367461,1134
6520,Yellow Warbler,0.183666776,0.074308214,0.010530114,0.731494896,0.268505104,0.050559977,0.162458837,-0.007269805,0.794250991,0.205749009,0.288044256,1962
6540,Black-throated Blue Warbler,0.11530831,0.149935749,-0.012181264,0.746937205,0.253062795,0.020874011,0.239028024,0.066378152,0.673719813,0.326280187,0.565274675,336
6570,Magnolia Warbler,0.032049467,0.274201997,0.0408986,0.652849936,0.347150064,0.024034248,0.296878152,0.049251843,0.629835757,0.370164243,0.89534918,402
6590,Chestnut-sided Warbler,0.091481618,0.227790985,0.230656848,0.45007055,0.54992945,0.020198081,0.504113687,0.115494207,0.360194025,0.639805975,0.713468625,651
6620,Blackburnian Warbler,0.125735061,0.276205757,-0.022041091,0.620100273,0.379899727,0.109938018,0.568673388,-0.054535125,0.375923719,0.624076281,0.687180164,399
6630,Yellow-throated Warbler,0.117210742,0.056284875,-0.016239516,0.842743899,0.157256101,0.061016728,0.042694509,-0.007946215,0.904234978,0.095765022,0.324416697,531
6650,Black-throated Gray Warbler,0.087997646,0.086336161,-0.014672289,0.840338483,0.159661517,0.125581979,0.225302259,0.022640527,0.626475236,0.373524764,0.49523476,231
6670,Black-throated Green Warbler,0.031141928,0.396801009,0.023636866,0.548420197,0.451579803,0.019027618,0.723509568,-0.006379318,0.263842131,0.736157869,0.927228783,573
6710,Pine Warbler,0.019139625,0.267806713,0.092222744,0.620830919,0.379169081,0.011844836,0.356629071,0.084835833,0.546690259,0.453309741,0.933298941,915
6730,Prairie Warbler,0.080546433,0.088871693,0.100854558,0.729727316,0.270272684,0.040512782,0.211040444,0.107016972,0.641429801,0.358570199,0.524570156,690
6740,Ovenbird,0.017283071,0.289550815,0.07146747,0.621698645,0.378301355,0.029687728,0.527917954,0.029907467,0.412486852,0.587513148,0.943672874,1146
6760,Louisiana Waterthrush,0.112593723,0.006363469,0.000636295,0.880406513,0.119593487,0.052474232,0.002781108,-0.002329466,0.947074126,0.052925874,0.053493774,681
6770,Kentucky Warbler,0.132603434,0.008721993,0.058392579,0.800281994,0.199718006,0.09567664,0.023063527,0.055560557,0.825699276,0.174300724,0.061715668,672
6790,Mourning Warbler,0.129660322,0.213324654,0.198172572,0.458842453,0.541157547,0.060040821,0.450680436,0.115650488,0.373628255,0.626371745,0.62196501,426
6800,MacGillivray's Warbler,0.174179868,0.089745639,0.050765333,0.68530916,0.31469084,0.179712015,0.149702909,0.051731603,0.618853472,0.381146528,0.340041551,342
6810,Common Yellowthroat,0.308822778,0.012694096,0.038884398,0.639598728,0.360401272,0.118864445,0.049141211,0.046818415,0.785175929,0.214824071,0.039481898,2256
6830,Yellow-breasted Chat,0.283106144,0.000701855,0.025348634,0.690843366,0.309156634,0.139617343,0.004948811,0.035312884,0.820120962,0.179879038,0.002472994,1182
6840,Hooded Warbler,0.07037879,0.214494345,0.043028692,0.672098173,0.327901827,0.050693692,0.381006982,0.094274471,0.474024855,0.525975145,0.752946904,678
6850,Wilson's Warbler,0.038646994,0.260417286,0.032070291,0.66886543,0.33113457,0.063200993,0.398569107,-8.52E-06,0.538238421,0.461761579,0.87077362,447
6860,Canada Warbler,0.101775132,0.004008581,-0.003390415,0.897606702,0.102393298,0.087892757,0.015384721,0.039031352,0.857691169,0.142308831,0.03789412,321
6870,American Redstart,0.15608545,0.000722414,0.066314024,0.776878112,0.223121888,0.043011775,0.003331692,0.004384191,0.949272342,0.050727658,0.004607,1140
6882,House Sparrow,0.173859796,0.000997611,0.008332898,0.816809695,0.183190305,0.06002155,3.64E-05,0.002232975,0.937709082,0.062290918,0.005705283,2229
7020,Sage Thrasher,0.086186237,0.142329715,-0.000666144,0.772150192,0.227849808,0.036787191,0.037454641,-0.002117177,0.927875344,0.072124656,0.622843675,219
7030,Northern Mockingbird,0.120765108,0.119859474,0.321311017,0.4380644,0.5619356,0.019830141,0.295113382,0.225073013,0.459983464,0.540016536,0.498118161,1614
7040,Gray Catbird,0.273421104,0.079614625,0.119207452,0.527756819,0.472243181,0.120992006,0.057232051,0.073108038,0.748667906,0.251332094,0.225514357,1899
7050,Brown Thrasher,0.310131324,0.042772259,-0.003699846,0.650796263,0.349203737,0.176563177,0.036438176,0.014641979,0.772356667,0.227643333,0.121200977,1788
7150,Rock Wren,0.081336015,0.073260818,0.042546631,0.802856536,0.197143464,0.050391567,0.069475982,0.023957779,0.856174672,0.143825328,0.473883044,474
7180,Carolina Wren,0.016893293,0.145102454,0.448216062,0.389788192,0.610211808,0.001764644,0.181075889,0.31626369,0.500895777,0.499104223,0.895717676,1278
7190,Bewick's Wren,0.09892398,0.120834446,0.049132909,0.731108665,0.268891335,0.152118981,0.113337302,0.040263977,0.69427974,0.30572026,0.549851254,414
7210,House Wren,0.072464966,0.184196166,0.201334438,0.542004429,0.457995571,0.029626885,0.245110305,0.0447921,0.68047071,0.31952929,0.717662876,1884
7221,Pacific Wren,0.073502948,0.208595122,0.213045645,0.504856286,0.495143714,0.10244601,0.130340639,0.108865539,0.658347812,0.341652188,0.739441862,168
7222,Winter Wren,0.07402436,0.386109409,0.143527778,0.396338452,0.603661548,0.028707408,0.292558793,0.045138707,0.633595092,0.366404908,0.839124261,411
7240,Sedge Wren,0.154160289,0.186119635,0.193422498,0.466297578,0.533702422,0.020916726,0.360512652,0.14227776,0.476292862,0.523707138,0.546960376,414
7260,Brown Creeper,0.007700164,0.098880822,0.004676119,0.888742895,0.111257105,0.001614552,0.204059719,0.021621471,0.772704257,0.227295743,0.927752931,645
7270,White-breasted Nuthatch,0.07078161,0.004803555,0.056612542,0.867802294,0.132197706,0.012256096,0.02110416,0.025394259,0.941245486,0.058754514,0.063551554,1782
7280,Red-breasted Nuthatch,0.024570983,0.216224119,0.017596496,0.741608401,0.258391599,0.042666406,0.156564124,0.028399366,0.772370104,0.227629896,0.897958958,876
7290,Brown-headed Nuthatch,0.125838076,0.049723895,-0.020025083,0.844463112,0.155536888,0.190032984,0.176292913,-0.084837656,0.718511759,0.281488241,0.283227027,300
7310,Tufted Titmouse,0.115565485,0.089228866,0.165996027,0.629209622,0.370790378,0.071651454,0.096189124,0.153158553,0.679000868,0.320999132,0.43569984,1377
7350,Black-capped Chickadee,0.262600706,0.007751496,0.058191476,0.671456322,0.328543678,0.110205856,0.027296737,0.070665168,0.791832239,0.208167761,0.028671845,1344
7360,Carolina Chickadee,0.216373832,0.099035772,-0.028828703,0.713419099,0.286580901,0.041536683,0.266927328,0.007350086,0.684185902,0.315814098,0.313990983,840
7380,Mountain Chickadee,0.036483242,0.014411221,0.083031998,0.866073539,0.133926461,0.077182501,0.00482358,0.053976885,0.864017034,0.135982966,0.283158919,333
7430,Bushtit,0.432469973,0.092834505,0.009661699,0.465033823,0.534966177,0.283871317,0.005339175,0.006944978,0.70384453,0.29615547,0.176725136,279
7480,Golden-crowned Kinglet,0.046101793,0.00649221,-0.004363003,0.951769001,0.048230999,0.092501276,0.084128584,-0.045975867,0.869346007,0.130653993,0.123440119,480
7510,Blue-gray Gnatcatcher,0.221789778,0.004556683,0.007783876,0.765869663,0.234130337,0.167862773,0.002058509,0.000757846,0.829320873,0.170679127,0.020131452,1485
7540,Townsend's Solitaire,0.186349729,0.011366655,0.038176935,0.764106682,0.235893318,0.093691048,0.066004592,0.06418627,0.77611809,0.22388191,0.057489695,288
7550,Wood Thrush,0.150791635,0.157295546,0.041990486,0.649922333,0.350077667,0.164841412,0.305557749,-0.003669889,0.533270728,0.466729272,0.510555309,1443
