FocalAOU,Competitor Estimate,Competior P-value,Competitor R2,Environment R2,Competitor_Environmnent P-value,Competitor_Environmnent R2,Focal Common Name,Competitor Common Name
4330,-4.0277937,7.88E-09,0.168478414,0.36928671,0.265197784,0.373707265,Rufous Hummingbird,Calliope Hummingbird
4470,-2.89614801,1.12E-11,0.052461894,0.281988142,7.68E-18,0.341779258,Western Kingbird,Say's Phoebe
4520,-4.198307494,2.79E-54,0.129985272,0.108923071,1.66E-71,0.259722149,Great Crested Flycatcher,Eastern Kingbird
4440,-0.63396525,0.003978961,0.004068081,0.128688051,2.46E-26,0.17574849,Eastern Kingbird,Great Crested Flycatcher
4430,-5.609820381,5.31E-31,0.380963268,0.44018553,3.50E-20,0.588327316,Scissor-tailed Flycatcher,Eastern Kingbird
4560,-3.082211904,7.28E-29,0.073050748,0.099907985,2.31E-42,0.196750614,Eastern Phoebe,Great Crested Flycatcher
4570,-1.328290994,6.52E-05,0.029553305,0.090764295,8.13E-07,0.131744237,Say's Phoebe,Western Kingbird
4590,-1.744691227,1.87E-05,0.031426958,0.121111824,0.000130959,0.143399064,Olive-sided Flycatcher,Western Kingbird
4540,-5.219525415,2.33E-18,0.204715714,0.04609968,3.66E-25,0.311405334,Ash-throated Flycatcher,Say's Phoebe
4610,-3.460045661,4.55E-35,0.088038538,0.196766989,3.55E-42,0.281925555,Eastern Wood-Pewee,Eastern Phoebe
4480,-2.940788624,0.00139541,0.065600485,0.229953352,0.000551235,0.290192496,Cassin's Kingbird,Ash-throated Flycatcher
4620,-3.886125124,5.98E-24,0.133900341,0.113384923,2.40E-34,0.282760806,Western Wood-Pewee,Say's Phoebe
4670,2.645027185,3.51E-14,0.061779855,0.327430795,0.02314081,0.331289228,Least Flycatcher,Alder Flycatcher
4641,-6.12152993,3.33E-26,0.446601138,0.346307298,5.76E-15,0.529438783,Pacific-slope Flycatcher,Western Wood-Pewee
4650,-5.893152923,4.10E-32,0.140997641,0.118830924,5.07E-45,0.291061537,Acadian Flycatcher,Eastern Wood-Pewee
4680,-2.409100435,5.62E-06,0.06629583,0.187993014,5.52E-08,0.264950423,Hammond's Flycatcher,Dusky Flycatcher
4691,-0.377333441,0.629740939,0.001752504,0.060924754,0.585894138,0.063091257,Gray Flycatcher,Dusky Flycatcher
4660,-1.258760289,7.17E-06,0.01680848,0.138056372,2.04E-11,0.170139838,Willow Flycatcher,Alder Flycatcher
6870,0.745743292,0.017614411,0.004940805,0.222399464,3.60E-11,0.251885759,American Redstart,Least Flycatcher
4690,-0.963627438,0.082287055,0.009434439,0.094012004,0.002154824,0.120725641,Dusky Flycatcher,Hammond's Flycatcher
4640,-2.152168796,0.000603555,0.067438645,0.09613971,0.000283861,0.165701123,Cordilleran Flycatcher,Hammond's Flycatcher
4750,-3.674608112,1.32E-09,0.063415989,0.194967495,4.41E-17,0.290704573,Black-billed Magpie,Steller's Jay
4840,-1.43770213,0.002285862,0.028526119,0.101361439,0.42738023,0.103142602,Gray Jay,Steller's Jay
4812,-4.766598731,2.12E-11,0.346310367,0.310433424,6.48E-08,0.482881652,Western Scrub-Jay,Steller's Jay
4770,-5.979467636,3.01E-25,0.056018451,0.356679785,7.41E-11,0.371138836,Blue Jay,Gray Jay
4780,-4.529761058,1.02E-20,0.217879442,0.208137081,4.60E-15,0.335428867,Steller's Jay,Clark's Nutcracker
4910,-0.561858804,0.293562163,0.004520386,0.078986776,0.259580559,0.083861502,Clark's Nutcracker,Gray Jay
4880,-0.025638174,0.957716821,1.19E-06,0.435439487,1.72E-08,0.443030125,American Crow,Fish Crow
4900,-8.437830426,4.90E-40,0.270753313,0.222183368,2.33E-27,0.371332929,Fish Crow,American Crow
4980,-5.303028145,5.38E-221,0.330963745,0.153839213,2.72E-182,0.392517338,Red-winged Blackbird,Brown-headed Cowbird
5070,-6.289228659,2.94E-66,0.187652378,0.27307497,2.99E-27,0.330589628,Baltimore Oriole,Brown-headed Cowbird
4950,0.526688742,0.002117478,0.0036747,0.156824244,8.27E-08,0.16623225,Brown-headed Cowbird,Red-winged Blackbird
5080,-3.434415886,0.000218096,0.024835153,0.122223553,4.73E-08,0.169429836,Bullock's Oriole,Baltimore Oriole
5060,-3.449547277,2.60E-63,0.18814549,0.232563934,2.63E-43,0.333536251,Orchard Oriole,Baltimore Oriole
5100,-2.130667316,1.42E-09,0.045691855,0.176544567,4.41E-13,0.230130514,Brewer's Blackbird,Red-winged Blackbird
4940,-8.006604599,1.70E-30,0.135681688,0.264110899,5.48E-18,0.322755097,Bobolink,Red-winged Blackbird
5011,-1.034117414,0.000565222,0.011156883,0.338791682,0.000158417,0.347670478,Western Meadowlark,Brewer's Blackbird
5010,-2.214162297,1.13E-20,0.05175632,0.072794102,1.32E-44,0.177922613,Eastern Meadowlark,Red-winged Blackbird
5110,-0.978791454,5.84E-06,0.010060277,0.303984223,1.87E-22,0.335854977,Common Grackle,Eastern Meadowlark
4970,-4.389414983,1.62E-09,0.078602856,0.110613423,4.47E-16,0.234393451,Yellow-headed Blackbird,Red-winged Blackbird
5220,-0.099735086,0.71834912,0.000938758,0.443994534,0.825087666,0.444196409,White-winged Crossbill,Red Crossbill
5210,-2.397965956,2.26E-05,0.042399848,0.284223307,0.000132912,0.309233459,Red Crossbill,White-winged Crossbill
5180,-4.091129338,3.82E-20,0.270878222,0.081066778,2.86E-19,0.323052193,Cassin's Finch,House Finch
5330,-1.06188781,0.019950304,0.008129897,0.140292826,0.078998279,0.144305466,Pine Siskin,Lesser Goldfinch
5300,-0.38926567,0.422272445,0.002078552,0.234531446,0.277525715,0.237480295,Lesser Goldfinch,Pine Siskin
5580,-5.806929504,1.17E-47,0.411648879,0.254823488,7.98E-38,0.510901007,White-throated Sparrow,Savannah Sparrow
5870,-3.394951402,1.78E-75,0.211070943,0.310476784,2.02E-25,0.361175968,Eastern Towhee,Song Sparrow
5810,-2.785864768,1.46E-42,0.094163189,0.25631785,9.67E-66,0.363388163,Song Sparrow,Chipping Sparrow
5630,-2.201486645,3.75E-14,0.039560348,0.204118217,3.57E-28,0.269395669,Field Sparrow,Chipping Sparrow
5610,-3.941357647,7.72E-13,0.118946459,0.465343135,0.356980729,0.466471827,Clay-colored Sparrow,Savannah Sparrow
6050,-5.720092465,1.72E-23,0.381656552,0.448124042,1.78E-26,0.683844293,Lark Bunting,Lark Sparrow
5600,-1.591252963,1.47E-18,0.034768459,0.268586613,3.60E-13,0.286100356,Chipping Sparrow,Savannah Sparrow
5780,-4.304430946,2.97E-12,0.214712602,0.279145191,0.00103412,0.317385757,Cassin's Sparrow,Lark Sparrow
5480,-3.312252877,0.002378029,0.057283911,0.275227121,0.077789381,0.289860181,Le Conte's Sparrow,Savannah Sparrow
5520,-3.876047866,1.21E-06,0.025826804,0.243904079,6.35E-08,0.268178609,Lark Sparrow,Baird's Sparrow
5460,-3.118289201,1.79E-55,0.173652855,0.115073483,3.64E-91,0.356576301,Grasshopper Sparrow,Chipping Sparrow
5850,-1.725821743,0.000503236,0.047915469,0.156782187,0.010710256,0.179126759,Fox Sparrow,White-crowned Sparrow
5540,-0.899574612,0.179424464,0.005538937,0.334879252,0.148903796,0.339188909,White-crowned Sparrow,Fox Sparrow
5840,1.400108315,8.13E-07,0.038385381,0.090383084,0.000168303,0.110997837,Swamp Sparrow,White-throated Sparrow
5730,-5.184258504,0.000155983,0.066587121,0.386787429,4.94E-08,0.470162039,Black-throated Sparrow,Black-chinned Sparrow
5400,-3.825064209,1.51E-58,0.207427173,0.257402272,6.65E-40,0.365102478,Vesper Sparrow,Song Sparrow
5900,-4.764049841,9.22E-18,0.245511516,0.047648125,1.44E-17,0.28215266,Green-tailed Towhee,Spotted Towhee
5880,-2.735986921,1.71E-10,0.07676553,0.065943776,5.56E-12,0.149521845,Spotted Towhee,Green-tailed Towhee
5950,-1.977151358,4.26E-18,0.069081622,0.201619791,6.13E-23,0.272463763,Rose-breasted Grosbeak,Northern Cardinal
5970,0.917997115,5.67E-05,0.014300526,0.282574218,3.43E-08,0.301790946,Blue Grosbeak,Northern Cardinal
5960,-3.771158779,2.92E-16,0.113974781,0.11513256,8.32E-10,0.173882949,Black-headed Grosbeak,Blue Grosbeak
6040,-2.573395889,2.68E-21,0.097030596,0.304450486,7.05E-84,0.547573163,Dickcissel,Indigo Bunting
5930,-1.624432423,1.57E-07,0.016288496,0.296884514,1.77E-49,0.383149651,Northern Cardinal,Blue Grosbeak
6010,-6.061754938,1.17E-26,0.381755939,0.307924001,5.52E-17,0.487489943,Painted Bunting,Blue Grosbeak
5980,-4.140345777,4.33E-46,0.112907176,0.442622855,5.20E-13,0.4595383,Indigo Bunting,Blue Grosbeak
6100,-5.313461606,9.28E-08,0.035213778,0.330215,0.131033791,0.332141791,Summer Tanager,Hepatic Tanager
6070,-3.873371427,0.000134212,0.027366712,0.160293418,0.098074698,0.164688241,Western Tanager,Hepatic Tanager
6080,-1.843237639,2.04E-11,0.037006543,0.13251895,3.32E-09,0.157703755,Scarlet Tanager,Summer Tanager
6160,-2.387633483,4.97E-24,0.114511516,0.04673112,2.57E-39,0.223993159,Bank Swallow,Tree Swallow
6170,-0.132663889,0.438288368,0.000302833,0.073971866,9.06E-11,0.093419723,Northern Rough-winged Swallow,Barn Swallow
6130,-1.564468232,1.36E-10,0.016596005,0.286126556,5.65E-05,0.290817934,Barn Swallow,Bank Swallow
6140,0.497742906,0.034663941,0.002257086,0.22693052,0.097016808,0.228010184,Tree Swallow,Bank Swallow
6120,-4.481342075,4.41E-113,0.250952153,0.038158691,2.69E-114,0.282283085,Cliff Swallow,Barn Swallow
6150,-3.133821896,9.41E-15,0.098867081,0.177179214,5.05E-15,0.260650481,Violet-green Swallow,Barn Swallow
7030,-2.739245718,5.71E-08,0.018114362,0.442076118,7.07E-11,0.456633105,Northern Mockingbird,Loggerhead Shrike
6280,-0.100307264,0.772725575,6.91E-05,0.036756718,0.580916306,0.037000806,Yellow-throated Vireo,Red-eyed Vireo
6290,-6.619756669,8.39E-08,0.046018075,0.014426837,9.92E-11,0.08022697,Blue-headed Vireo,Red-eyed Vireo
6310,-3.790859056,2.64E-33,0.1469836,0.383348097,1.92E-05,0.395665979,White-eyed Vireo,Red-eyed Vireo
6270,-2.652285997,2.34E-46,0.114310802,0.130020508,2.07E-82,0.301950881,Warbling Vireo,Red-eyed Vireo
6240,-4.818801551,1.43E-149,0.304763968,0.13701858,1.67E-192,0.460795429,Red-eyed Vireo,Warbling Vireo
6292,-1.5179509,0.007020568,0.040117338,0.210747011,0.239158825,0.21702473,Cassin's Vireo,Warbling Vireo
6330,-1.432569272,0.000134492,0.041315239,0.308985128,0.64829609,0.309405992,Bell's Vireo,Warbling Vireo
6291,-4.708474349,9.76E-07,0.110618359,0.306872964,0.004307363,0.334480457,Plumbeous Vireo,Warbling Vireo
6590,-6.02139208,2.19E-62,0.348491484,0.322138439,3.02E-70,0.583517793,Chestnut-sided Warbler,Yellow Warbler
6520,-2.47655458,3.94E-31,0.066407361,0.194196888,1.34E-56,0.291376248,Yellow Warbler,Common Yellowthroat
6370,-0.229646132,0.599308549,0.000685578,0.251686307,0.001822554,0.269718248,Prothonotary Warbler,Yellow-throated Warbler
6730,-5.942450939,1.99E-31,0.179483467,0.181400978,1.09E-18,0.269567987,Prairie Warbler,Common Yellowthroat
6670,-4.571890857,2.54E-37,0.248474498,0.054778799,2.17E-79,0.495708166,Black-throated Green Warbler,Yellow Warbler
6810,-2.958975266,2.16E-49,0.092312875,0.347707167,3.63E-19,0.370513935,Common Yellowthroat,Yellow Warbler
6710,-7.294111576,5.37E-129,0.472628949,0.111362366,9.06E-117,0.502852478,Pine Warbler,Common Yellowthroat
6850,-5.45841626,2.61E-45,0.361692251,0.070717282,4.83E-42,0.388823749,Wilson's Warbler,Yellow Warbler
6480,-6.191436914,6.60E-79,0.26845657,0.057993644,8.57E-72,0.291413023,Northern Parula,Common Yellowthroat
6630,-1.355449295,0.000456489,0.022977833,0.100971213,9.20E-10,0.162985017,Yellow-throated Warbler,Prothonotary Warbler
6740,-6.795773153,1.57E-109,0.351018815,0.088750542,2.51E-116,0.425479815,Ovenbird,Common Yellowthroat
6360,0.260777144,0.295309175,0.001105151,0.063477775,9.95E-05,0.077746912,Black-and-white Warbler,Pine Warbler
6760,0.297448417,0.180954182,0.002634356,0.11323002,0.043047764,0.118595506,Louisiana Waterthrush,Kentucky Warbler
6770,-1.730630307,4.42E-05,0.024609186,0.19099601,0.002648365,0.201905212,Kentucky Warbler,Louisiana Waterthrush
6410,-1.771355147,0.013260136,0.012303223,0.073965308,0.001113597,0.093775392,Blue-winged Warbler,Common Yellowthroat
6390,-4.617074509,6.06E-19,0.16093332,0.059751461,1.43E-18,0.209322411,Worm-eating Warbler,Common Yellowthroat
6650,-1.317251804,0.014315309,0.025911317,0.073325331,4.62E-06,0.156027611,Black-throated Gray Warbler,Yellow Warbler
6460,-4.924858346,2.19E-32,0.272367719,0.217828931,4.35E-26,0.39394515,Orange-crowned Warbler,Yellow Warbler
6620,-6.816704214,9.22E-54,0.451725065,0.103693966,4.91E-53,0.507417521,Blackburnian Warbler,Yellow Warbler
6790,-5.728052645,7.56E-40,0.337749944,0.327832891,3.18E-22,0.462741963,Mourning Warbler,Yellow Warbler
6450,-6.755527287,1.64E-80,0.539581921,0.035987766,6.52E-81,0.560880978,Nashville Warbler,Yellow Warbler
6800,-2.668362321,1.26E-06,0.066816917,0.224945202,1.18E-06,0.277599889,MacGillivray's Warbler,Yellow Warbler
6860,0.608446591,0.130334316,0.007159532,0.098384688,0.000968487,0.129061184,Canada Warbler,Magnolia Warbler
6570,-10.22041439,3.32E-41,0.363919634,0.072948076,7.57E-36,0.375453711,Magnolia Warbler,American Redstart
6540,-5.26357291,2.63E-15,0.170952136,0.10312705,1.63E-17,0.280375507,Black-throated Blue Warbler,American Redstart
6840,-7.387294575,8.24E-71,0.374107533,0.113407471,1.05E-54,0.382255076,Hooded Warbler,Common Yellowthroat
6380,0.276956806,0.554836111,0.002104867,0.269176811,0.978713763,0.269180033,Swainson's Warbler,Kentucky Warbler
6882,19.12971231,4.91E-06,0.009330509,0.182192699,0.099546426,0.18319031,House Sparrow,Eurasian Tree Sparrow
7050,-2.013054866,5.89E-22,0.050627823,0.306431472,4.03E-31,0.356903536,Brown Thrasher,Gray Catbird
7040,-2.690328533,9.63E-60,0.130746664,0.39262856,1.95E-39,0.445587717,Gray Catbird,Northern Mockingbird
7020,-3.829660128,8.90E-09,0.141641674,0.085520091,2.03E-09,0.227823816,Sage Thrasher,Northern Mockingbird
7210,1.650001919,0.000261331,0.007059214,0.273799403,0.540879968,0.273944014,House Wren,Sedge Wren
7180,-5.296429165,4.56E-195,0.501409579,0.46510935,1.37E-71,0.584159344,Carolina Wren,House Wren
7190,-1.012025154,0.069826674,0.007956236,0.148056892,0.413334951,0.149454785,Bewick's Wren,Rock Wren
7150,-2.549229016,2.01E-14,0.116731789,0.123882658,7.01E-12,0.207722064,Rock Wren,House Wren
7222,-6.101829956,1.48E-71,0.543052429,0.217552107,2.25E-59,0.592637674,Winter Wren,House Wren
7221,-5.718246536,1.49E-21,0.422653976,0.286548554,1.47E-14,0.505274759,Pacific Wren,House Wren
7240,-4.099090134,4.56E-20,0.184960885,0.347582787,6.39E-07,0.386089954,Sedge Wren,House Wren
7280,-1.508354142,0.000355796,0.014491693,0.042167477,0.001096343,0.053835844,Red-breasted Nuthatch,Brown Creeper
7260,0.192044413,0.479683951,0.000777257,0.012376277,0.342870521,0.013766893,Brown Creeper,Red-breasted Nuthatch
7270,-0.09044678,0.82395121,2.78E-05,0.127394155,0.000756926,0.132951616,White-breasted Nuthatch,Pygmy Nuthatch
7360,-0.346335846,0.382570834,0.000909943,0.18754513,2.38E-09,0.221548267,Carolina Chickadee,Tufted Titmouse
7350,-2.986900609,7.83E-06,0.014782593,0.320792177,0.074260935,0.322408281,Black-capped Chickadee,Boreal Chickadee
7310,3.687715763,2.18E-33,0.100101474,0.28156151,4.08E-16,0.315438783,Tufted Titmouse,Carolina Chickadee
7380,-4.104594939,5.85E-09,0.09744322,0.119515256,0.020273625,0.13392647,Mountain Chickadee,Juniper Titmouse
7430,0.357870592,0.38005202,0.002782855,0.442131649,0.001519402,0.462341057,Bushtit,Chestnut-backed Chickadee
7480,-0.31810235,0.313045917,0.002129207,0.041738779,0.072793466,0.048230992,Golden-crowned Kinglet,Ruby-crowned Kinglet
7510,-4.352527204,1.78E-05,0.012340559,0.229573645,0.003061341,0.234130327,Blue-gray Gnatcatcher,Black-tailed Gnatcatcher
7680,-2.030545957,0.000209998,0.03380677,0.110630552,0.001642394,0.132641963,Mountain Bluebird,Townsend's Solitaire
7550,-2.827477321,1.58E-21,0.061096945,0.192782119,7.63E-33,0.269004347,Wood Thrush,American Robin
7560,1.069810216,0.007541193,0.00921112,0.159625726,0.023631993,0.165214776,Veery,Hermit Thrush
7590,-0.471459026,0.105741719,0.003075585,0.03409454,0.204387339,0.035932913,Hermit Thrush,Swainson's Thrush
7610,-3.655893552,1.01E-68,0.117550184,0.308403008,4.86E-98,0.422449155,American Robin,Wood Thrush
7660,-1.038523975,3.47E-06,0.012277001,0.288635406,7.00E-16,0.314779494,Eastern Bluebird,Wood Thrush
7580,-4.54410095,1.97E-34,0.238538831,0.142480878,8.20E-28,0.311160597,Swainson's Thrush,Hermit Thrush
7540,0.006320641,0.988046013,7.86E-07,0.224526664,0.170664569,0.229680454,Townsend's Solitaire,Hermit Thrush
7670,-1.456735958,0.002290441,0.037028477,0.304940207,0.106605123,0.312363447,Western Bluebird,Hermit Thrush
