FocalAOU,Focal Common Name,Family,Competitor Common Name,CompAOU,Overlap
3131,Rock Pigeon,Columbidae,Key West Quail-Dove,3220,no
3131,Rock Pigeon,Columbidae,Ruddy Quail-Dove,3221,no
3160,Mourning Dove,Columbidae,White-crowned Pigeon,3140,no
3160,Mourning Dove,Columbidae,Red-billed Pigeon,3130,no
3160,Mourning Dove,Columbidae,Spotted Dove,3151,no
3160,Mourning Dove,Columbidae,Ruddy Ground-Dove,3201,no
3160,Mourning Dove,Columbidae,White-tipped Dove,3180,no
3190,White-winged Dove,Columbidae,White-crowned Pigeon,3140,no
3190,White-winged Dove,Columbidae,Red-billed Pigeon,3130,no
3190,White-winged Dove,Columbidae,Spotted Dove,3151,no
3190,White-winged Dove,Columbidae,Ruddy Ground-Dove,3201,no
3190,White-winged Dove,Columbidae,White-tipped Dove,3180,no
3200,Common Ground-Dove,Columbidae,White-crowned Pigeon,3140,no
3200,Common Ground-Dove,Columbidae,Red-billed Pigeon,3130,no
3200,Common Ground-Dove,Columbidae,Band-tailed Pigeon,3120,no
3200,Common Ground-Dove,Columbidae,Spotted Dove,3151,no
3200,Common Ground-Dove,Columbidae,Ruddy Ground-Dove,3201,no
3870,Yellow-billed Cuckoo,Cuculidae,Common Cuckoo,3882,no
3870,Yellow-billed Cuckoo,Cuculidae,Oriental Cuckoo,3881,no
3870,Yellow-billed Cuckoo,Cuculidae,Mangrove Cuckoo,3860,no
3870,Yellow-billed Cuckoo,Cuculidae,Smooth-billed Ani,3830,no
3870,Yellow-billed Cuckoo,Cuculidae,Groove-billed Ani,3840,no
3930,Hairy Woodpecker,Picidae,Eurasian Wryneck,4151,no
3930,Hairy Woodpecker,Picidae,Puerto Rican Woodpecker,13790,no
3930,Hairy Woodpecker,Picidae,Strickland's Woodpecker,3980,no
3930,Hairy Woodpecker,Picidae,Lineated Woodpecker,14010,no
3930,Hairy Woodpecker,Picidae,Pale-billed Woodpecker,14040,no
3940,Downy Woodpecker,Picidae,Eurasian Wryneck,4151,no
3940,Downy Woodpecker,Picidae,Puerto Rican Woodpecker,13790,no
3940,Downy Woodpecker,Picidae,Gila Woodpecker,4110,no
3940,Downy Woodpecker,Picidae,Arizona Woodpecker,3975,no
3940,Downy Woodpecker,Picidae,Strickland's Woodpecker,3980,no
3940,Downy Woodpecker,Picidae,Gilded Flicker,4140,no
3940,Downy Woodpecker,Picidae,Lineated Woodpecker,14010,no
3940,Downy Woodpecker,Picidae,Pale-billed Woodpecker,14040,no
3960,Ladder-backed Woodpecker,Picidae,Eurasian Wryneck,4151,no
3960,Ladder-backed Woodpecker,Picidae,Puerto Rican Woodpecker,13790,no
3960,Ladder-backed Woodpecker,Picidae,Williamson's Sapsucker,4040,no
3960,Ladder-backed Woodpecker,Picidae,Yellow-bellied Sapsucker,4020,no
3960,Ladder-backed Woodpecker,Picidae,Red-breasted Sapsucker,4030,no
3960,Ladder-backed Woodpecker,Picidae,Strickland's Woodpecker,3980,no
3960,Ladder-backed Woodpecker,Picidae,Red-cockaded Woodpecker,3950,no
3960,Ladder-backed Woodpecker,Picidae,Black-backed Woodpecker,4000,no
3960,Ladder-backed Woodpecker,Picidae,Lineated Woodpecker,14010,no
3960,Ladder-backed Woodpecker,Picidae,Pale-billed Woodpecker,14040,no
3970,Nuttall's Woodpecker,Picidae,Eurasian Wryneck,4151,no
3970,Nuttall's Woodpecker,Picidae,Puerto Rican Woodpecker,13790,no
3970,Nuttall's Woodpecker,Picidae,Red-headed Woodpecker,4060,no
3970,Nuttall's Woodpecker,Picidae,Gila Woodpecker,4110,no
3970,Nuttall's Woodpecker,Picidae,Golden-fronted Woodpecker,4100,no
3970,Nuttall's Woodpecker,Picidae,Red-bellied Woodpecker,4090,no
3970,Nuttall's Woodpecker,Picidae,Yellow-bellied Sapsucker,4020,no
3970,Nuttall's Woodpecker,Picidae,Red-naped Sapsucker,4021,no
3970,Nuttall's Woodpecker,Picidae,Arizona Woodpecker,3975,no
3970,Nuttall's Woodpecker,Picidae,Strickland's Woodpecker,3980,no
3970,Nuttall's Woodpecker,Picidae,Red-cockaded Woodpecker,3950,no
3970,Nuttall's Woodpecker,Picidae,American Three-toed Woodpecker,4010,no
3970,Nuttall's Woodpecker,Picidae,Gilded Flicker,4140,no
3970,Nuttall's Woodpecker,Picidae,Lineated Woodpecker,14010,no
3970,Nuttall's Woodpecker,Picidae,Pale-billed Woodpecker,14040,no
4020,Yellow-bellied Sapsucker,Picidae,Eurasian Wryneck,4151,no
4020,Yellow-bellied Sapsucker,Picidae,Lewis's Woodpecker,4080,no
4020,Yellow-bellied Sapsucker,Picidae,Puerto Rican Woodpecker,13790,no
4020,Yellow-bellied Sapsucker,Picidae,Acorn Woodpecker,4070,no
4020,Yellow-bellied Sapsucker,Picidae,Gila Woodpecker,4110,no
4020,Yellow-bellied Sapsucker,Picidae,Golden-fronted Woodpecker,4100,no
4020,Yellow-bellied Sapsucker,Picidae,Williamson's Sapsucker,4040,no
4020,Yellow-bellied Sapsucker,Picidae,Red-naped Sapsucker,4021,no
4020,Yellow-bellied Sapsucker,Picidae,Red-breasted Sapsucker,4030,no
4020,Yellow-bellied Sapsucker,Picidae,Ladder-backed Woodpecker,3960,no
4020,Yellow-bellied Sapsucker,Picidae,Nuttall's Woodpecker,3970,no
4020,Yellow-bellied Sapsucker,Picidae,Arizona Woodpecker,3975,no
4020,Yellow-bellied Sapsucker,Picidae,Strickland's Woodpecker,3980,no
4020,Yellow-bellied Sapsucker,Picidae,Red-cockaded Woodpecker,3950,no
4020,Yellow-bellied Sapsucker,Picidae,White-headed Woodpecker,3990,no
4020,Yellow-bellied Sapsucker,Picidae,Gilded Flicker,4140,no
4020,Yellow-bellied Sapsucker,Picidae,Lineated Woodpecker,14010,no
4020,Yellow-bellied Sapsucker,Picidae,Pale-billed Woodpecker,14040,no
4050,Pileated Woodpecker,Picidae,Eurasian Wryneck,4151,no
4050,Pileated Woodpecker,Picidae,Puerto Rican Woodpecker,13790,no
4050,Pileated Woodpecker,Picidae,Gila Woodpecker,4110,no
4050,Pileated Woodpecker,Picidae,Arizona Woodpecker,3975,no
4050,Pileated Woodpecker,Picidae,Strickland's Woodpecker,3980,no
4050,Pileated Woodpecker,Picidae,Gilded Flicker,4140,no
4050,Pileated Woodpecker,Picidae,Lineated Woodpecker,14010,no
4050,Pileated Woodpecker,Picidae,Pale-billed Woodpecker,14040,no
4090,Red-bellied Woodpecker,Picidae,Eurasian Wryneck,4151,no
4090,Red-bellied Woodpecker,Picidae,Lewis's Woodpecker,4080,no
4090,Red-bellied Woodpecker,Picidae,Puerto Rican Woodpecker,13790,no
4090,Red-bellied Woodpecker,Picidae,Acorn Woodpecker,4070,no
4090,Red-bellied Woodpecker,Picidae,Gila Woodpecker,4110,no
4090,Red-bellied Woodpecker,Picidae,Williamson's Sapsucker,4040,no
4090,Red-bellied Woodpecker,Picidae,Red-naped Sapsucker,4021,no
4090,Red-bellied Woodpecker,Picidae,Red-breasted Sapsucker,4030,no
4090,Red-bellied Woodpecker,Picidae,Nuttall's Woodpecker,3970,no
4090,Red-bellied Woodpecker,Picidae,Arizona Woodpecker,3975,no
4090,Red-bellied Woodpecker,Picidae,Strickland's Woodpecker,3980,no
4090,Red-bellied Woodpecker,Picidae,White-headed Woodpecker,3990,no
4090,Red-bellied Woodpecker,Picidae,American Three-toed Woodpecker,4010,no
4090,Red-bellied Woodpecker,Picidae,Gilded Flicker,4140,no
4090,Red-bellied Woodpecker,Picidae,Lineated Woodpecker,14010,no
4090,Red-bellied Woodpecker,Picidae,Pale-billed Woodpecker,14040,no
4100,Golden-fronted Woodpecker,Picidae,Eurasian Wryneck,4151,no
4100,Golden-fronted Woodpecker,Picidae,Lewis's Woodpecker,4080,no
4100,Golden-fronted Woodpecker,Picidae,Puerto Rican Woodpecker,13790,no
4100,Golden-fronted Woodpecker,Picidae,Gila Woodpecker,4110,no
4100,Golden-fronted Woodpecker,Picidae,Williamson's Sapsucker,4040,no
4100,Golden-fronted Woodpecker,Picidae,Yellow-bellied Sapsucker,4020,no
4100,Golden-fronted Woodpecker,Picidae,Red-breasted Sapsucker,4030,no
4100,Golden-fronted Woodpecker,Picidae,Nuttall's Woodpecker,3970,no
4100,Golden-fronted Woodpecker,Picidae,Arizona Woodpecker,3975,no
4100,Golden-fronted Woodpecker,Picidae,Strickland's Woodpecker,3980,no
4100,Golden-fronted Woodpecker,Picidae,Red-cockaded Woodpecker,3950,no
4100,Golden-fronted Woodpecker,Picidae,White-headed Woodpecker,3990,no
4100,Golden-fronted Woodpecker,Picidae,American Three-toed Woodpecker,4010,no
4100,Golden-fronted Woodpecker,Picidae,Black-backed Woodpecker,4000,no
4100,Golden-fronted Woodpecker,Picidae,Gilded Flicker,4140,no
4100,Golden-fronted Woodpecker,Picidae,Lineated Woodpecker,14010,no
4100,Golden-fronted Woodpecker,Picidae,Pale-billed Woodpecker,14040,no
4110,Gila Woodpecker,Picidae,Eurasian Wryneck,4151,no
4110,Gila Woodpecker,Picidae,Lewis's Woodpecker,4080,no
4110,Gila Woodpecker,Picidae,Puerto Rican Woodpecker,13790,no
4110,Gila Woodpecker,Picidae,Red-headed Woodpecker,4060,no
4110,Gila Woodpecker,Picidae,Golden-fronted Woodpecker,4100,no
4110,Gila Woodpecker,Picidae,Red-bellied Woodpecker,4090,no
4110,Gila Woodpecker,Picidae,Williamson's Sapsucker,4040,no
4110,Gila Woodpecker,Picidae,Yellow-bellied Sapsucker,4020,no
4110,Gila Woodpecker,Picidae,Red-breasted Sapsucker,4030,no
4110,Gila Woodpecker,Picidae,Nuttall's Woodpecker,3970,no
4110,Gila Woodpecker,Picidae,Downy Woodpecker,3940,no
4110,Gila Woodpecker,Picidae,Strickland's Woodpecker,3980,no
4110,Gila Woodpecker,Picidae,Red-cockaded Woodpecker,3950,no
4110,Gila Woodpecker,Picidae,White-headed Woodpecker,3990,no
4110,Gila Woodpecker,Picidae,American Three-toed Woodpecker,4010,no
4110,Gila Woodpecker,Picidae,Black-backed Woodpecker,4000,no
4110,Gila Woodpecker,Picidae,Lineated Woodpecker,14010,no
4110,Gila Woodpecker,Picidae,Pileated Woodpecker,4050,no
4110,Gila Woodpecker,Picidae,Pale-billed Woodpecker,14040,no
4120,Northern Flicker,Picidae,Eurasian Wryneck,4151,no
4120,Northern Flicker,Picidae,Puerto Rican Woodpecker,13790,no
4120,Northern Flicker,Picidae,Strickland's Woodpecker,3980,no
4120,Northern Flicker,Picidae,Lineated Woodpecker,14010,no
4120,Northern Flicker,Picidae,Pale-billed Woodpecker,14040,no
4230,Chimney Swift,Apodidae,Black Swift,4220,no
4230,Chimney Swift,Apodidae,White-collared Swift,4221,no
4230,Chimney Swift,Apodidae,Vaux's Swift,4240,no
4230,Chimney Swift,Apodidae,Short-tailed Swift,12250,no
4230,Chimney Swift,Apodidae,White-throated Needletail,4222,no
4230,Chimney Swift,Apodidae,White-rumped Swiftlet,82310,no
4230,Chimney Swift,Apodidae,Uniform Swiftlet,32892,no
4230,Chimney Swift,Apodidae,Common Swift,4242,no
4230,Chimney Swift,Apodidae,Fork-tailed Swift,4241,no
4230,Chimney Swift,Apodidae,White-throated Swift,4250,no
4230,Chimney Swift,Apodidae,Antillean Palm-Swift,4251,no
4280,Ruby-throated Hummingbird,Trochilidae,Green Violetear,4271,no
4280,Ruby-throated Hummingbird,Trochilidae,Green-breasted Mango,4366,no
4280,Ruby-throated Hummingbird,Trochilidae,Antillean Mango,12530,no
4280,Ruby-throated Hummingbird,Trochilidae,Green Mango,12540,no
4280,Ruby-throated Hummingbird,Trochilidae,Green-throated Carib,12560,no
4280,Ruby-throated Hummingbird,Trochilidae,Antillean Crested Hummingbird,12570,no
4280,Ruby-throated Hummingbird,Trochilidae,Puerto Rican Emerald,12680,no
4280,Ruby-throated Hummingbird,Trochilidae,Broad-billed Hummingbird,4410,no
4280,Ruby-throated Hummingbird,Trochilidae,White-eared Hummingbird,4401,no
4280,Ruby-throated Hummingbird,Trochilidae,Berylline Hummingbird,4381,no
4280,Ruby-throated Hummingbird,Trochilidae,Rufous-tailed Hummingbird,4380,no
4280,Ruby-throated Hummingbird,Trochilidae,Buff-bellied Hummingbird,4390,no
4280,Ruby-throated Hummingbird,Trochilidae,Violet-crowned Hummingbird,4391,no
4280,Ruby-throated Hummingbird,Trochilidae,Blue-throated Hummingbird,4270,no
4280,Ruby-throated Hummingbird,Trochilidae,Magnificent Hummingbird,4260,no
4280,Ruby-throated Hummingbird,Trochilidae,Plain-capped Starthroat,4261,no
4280,Ruby-throated Hummingbird,Trochilidae,Bahama Woodstar,4371,no
4280,Ruby-throated Hummingbird,Trochilidae,Lucifer Hummingbird,4370,no
4280,Ruby-throated Hummingbird,Trochilidae,Black-chinned Hummingbird,4290,no
4280,Ruby-throated Hummingbird,Trochilidae,Anna's Hummingbird,4310,no
4280,Ruby-throated Hummingbird,Trochilidae,Costa's Hummingbird,4300,no
4280,Ruby-throated Hummingbird,Trochilidae,Calliope Hummingbird,4360,no
4280,Ruby-throated Hummingbird,Trochilidae,Bumblebee Hummingbird,4350,no
4280,Ruby-throated Hummingbird,Trochilidae,Broad-tailed Hummingbird,4320,no
4280,Ruby-throated Hummingbird,Trochilidae,Rufous Hummingbird,4330,no
4280,Ruby-throated Hummingbird,Trochilidae,Allen's Hummingbird,4340,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Caribbean Elaenia,15040,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Greater Pewee,4600,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Cuban Pewee,15480,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Lesser Antillean Pewee,15490,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Yellow-bellied Flycatcher,4630,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Hammond's Flycatcher,4680,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Dusky Flycatcher,4690,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Pacific-slope Flycatcher,4641,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Nutting's Flycatcher,4531,no
4430,Scissor-tailed Flycatcher,Tyrannidae,La Sagra's Flycatcher,4551,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Puerto Rican Flycatcher,15680,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Social Flycatcher,4500,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Sulphur-bellied Flycatcher,4510,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Variegated Flycatcher,4511,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Thick-billed Kingbird,4451,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Gray Kingbird,4450,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Loggerhead Kingbird,4452,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Fork-tailed Flycatcher,4420,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Rose-throated Becard,4411,no
4430,Scissor-tailed Flycatcher,Tyrannidae,Masked Tityra,15890,no
4440,Eastern Kingbird,Tyrannidae,Caribbean Elaenia,15040,no
4440,Eastern Kingbird,Tyrannidae,Greater Pewee,4600,no
4440,Eastern Kingbird,Tyrannidae,Cuban Pewee,15480,no
4440,Eastern Kingbird,Tyrannidae,Lesser Antillean Pewee,15490,no
4440,Eastern Kingbird,Tyrannidae,Buff-breasted Flycatcher,4700,no
4440,Eastern Kingbird,Tyrannidae,Dusky-capped Flycatcher,4550,no
4440,Eastern Kingbird,Tyrannidae,Nutting's Flycatcher,4531,no
4440,Eastern Kingbird,Tyrannidae,La Sagra's Flycatcher,4551,no
4440,Eastern Kingbird,Tyrannidae,Puerto Rican Flycatcher,15680,no
4440,Eastern Kingbird,Tyrannidae,Social Flycatcher,4500,no
4440,Eastern Kingbird,Tyrannidae,Sulphur-bellied Flycatcher,4510,no
4440,Eastern Kingbird,Tyrannidae,Variegated Flycatcher,4511,no
4440,Eastern Kingbird,Tyrannidae,Tropical Kingbird,4460,no
4440,Eastern Kingbird,Tyrannidae,Thick-billed Kingbird,4451,no
4440,Eastern Kingbird,Tyrannidae,Loggerhead Kingbird,4452,no
4440,Eastern Kingbird,Tyrannidae,Fork-tailed Flycatcher,4420,no
4440,Eastern Kingbird,Tyrannidae,Rose-throated Becard,4411,no
4440,Eastern Kingbird,Tyrannidae,Masked Tityra,15890,no
4470,Western Kingbird,Tyrannidae,Caribbean Elaenia,15040,no
4470,Western Kingbird,Tyrannidae,Cuban Pewee,15480,no
4470,Western Kingbird,Tyrannidae,Lesser Antillean Pewee,15490,no
4470,Western Kingbird,Tyrannidae,Nutting's Flycatcher,4531,no
4470,Western Kingbird,Tyrannidae,La Sagra's Flycatcher,4551,no
4470,Western Kingbird,Tyrannidae,Puerto Rican Flycatcher,15680,no
4470,Western Kingbird,Tyrannidae,Social Flycatcher,4500,no
4470,Western Kingbird,Tyrannidae,Variegated Flycatcher,4511,no
4470,Western Kingbird,Tyrannidae,Gray Kingbird,4450,no
4470,Western Kingbird,Tyrannidae,Loggerhead Kingbird,4452,no
4470,Western Kingbird,Tyrannidae,Fork-tailed Flycatcher,4420,no
4470,Western Kingbird,Tyrannidae,Masked Tityra,15890,no
4520,Great Crested Flycatcher,Tyrannidae,Northern Beardless-Tyrannulet,4720,no
4520,Great Crested Flycatcher,Tyrannidae,Caribbean Elaenia,15040,no
4520,Great Crested Flycatcher,Tyrannidae,Greater Pewee,4600,no
4520,Great Crested Flycatcher,Tyrannidae,Cuban Pewee,15480,no
4520,Great Crested Flycatcher,Tyrannidae,Lesser Antillean Pewee,15490,no
4520,Great Crested Flycatcher,Tyrannidae,Gray Flycatcher,4691,no
4520,Great Crested Flycatcher,Tyrannidae,Pacific-slope Flycatcher,4641,no
4520,Great Crested Flycatcher,Tyrannidae,Buff-breasted Flycatcher,4700,no
4520,Great Crested Flycatcher,Tyrannidae,Dusky-capped Flycatcher,4550,no
4520,Great Crested Flycatcher,Tyrannidae,Nutting's Flycatcher,4531,no
4520,Great Crested Flycatcher,Tyrannidae,La Sagra's Flycatcher,4551,no
4520,Great Crested Flycatcher,Tyrannidae,Puerto Rican Flycatcher,15680,no
4520,Great Crested Flycatcher,Tyrannidae,Social Flycatcher,4500,no
4520,Great Crested Flycatcher,Tyrannidae,Sulphur-bellied Flycatcher,4510,no
4520,Great Crested Flycatcher,Tyrannidae,Variegated Flycatcher,4511,no
4520,Great Crested Flycatcher,Tyrannidae,Tropical Kingbird,4460,no
4520,Great Crested Flycatcher,Tyrannidae,Thick-billed Kingbird,4451,no
4520,Great Crested Flycatcher,Tyrannidae,Loggerhead Kingbird,4452,no
4520,Great Crested Flycatcher,Tyrannidae,Fork-tailed Flycatcher,4420,no
4520,Great Crested Flycatcher,Tyrannidae,Rose-throated Becard,4411,no
4520,Great Crested Flycatcher,Tyrannidae,Masked Tityra,15890,no
4560,Eastern Phoebe,Tyrannidae,Caribbean Elaenia,15040,no
4560,Eastern Phoebe,Tyrannidae,Greater Pewee,4600,no
4560,Eastern Phoebe,Tyrannidae,Cuban Pewee,15480,no
4560,Eastern Phoebe,Tyrannidae,Lesser Antillean Pewee,15490,no
4560,Eastern Phoebe,Tyrannidae,Pacific-slope Flycatcher,4641,no
4560,Eastern Phoebe,Tyrannidae,Buff-breasted Flycatcher,4700,no
4560,Eastern Phoebe,Tyrannidae,Dusky-capped Flycatcher,4550,no
4560,Eastern Phoebe,Tyrannidae,Nutting's Flycatcher,4531,no
4560,Eastern Phoebe,Tyrannidae,La Sagra's Flycatcher,4551,no
4560,Eastern Phoebe,Tyrannidae,Puerto Rican Flycatcher,15680,no
4560,Eastern Phoebe,Tyrannidae,Social Flycatcher,4500,no
4560,Eastern Phoebe,Tyrannidae,Sulphur-bellied Flycatcher,4510,no
4560,Eastern Phoebe,Tyrannidae,Variegated Flycatcher,4511,no
4560,Eastern Phoebe,Tyrannidae,Thick-billed Kingbird,4451,no
4560,Eastern Phoebe,Tyrannidae,Loggerhead Kingbird,4452,no
4560,Eastern Phoebe,Tyrannidae,Fork-tailed Flycatcher,4420,no
4560,Eastern Phoebe,Tyrannidae,Rose-throated Becard,4411,no
4560,Eastern Phoebe,Tyrannidae,Masked Tityra,15890,no
4610,Eastern Wood-Pewee,Tyrannidae,Northern Beardless-Tyrannulet,4720,no
4610,Eastern Wood-Pewee,Tyrannidae,Caribbean Elaenia,15040,no
4610,Eastern Wood-Pewee,Tyrannidae,Greater Pewee,4600,no
4610,Eastern Wood-Pewee,Tyrannidae,Cuban Pewee,15480,no
4610,Eastern Wood-Pewee,Tyrannidae,Lesser Antillean Pewee,15490,no
4610,Eastern Wood-Pewee,Tyrannidae,Hammond's Flycatcher,4680,no
4610,Eastern Wood-Pewee,Tyrannidae,Gray Flycatcher,4691,no
4610,Eastern Wood-Pewee,Tyrannidae,Dusky Flycatcher,4690,no
4610,Eastern Wood-Pewee,Tyrannidae,Pacific-slope Flycatcher,4641,no
4610,Eastern Wood-Pewee,Tyrannidae,Cordilleran Flycatcher,4640,no
4610,Eastern Wood-Pewee,Tyrannidae,Buff-breasted Flycatcher,4700,no
4610,Eastern Wood-Pewee,Tyrannidae,Dusky-capped Flycatcher,4550,no
4610,Eastern Wood-Pewee,Tyrannidae,Nutting's Flycatcher,4531,no
4610,Eastern Wood-Pewee,Tyrannidae,La Sagra's Flycatcher,4551,no
4610,Eastern Wood-Pewee,Tyrannidae,Puerto Rican Flycatcher,15680,no
4610,Eastern Wood-Pewee,Tyrannidae,Social Flycatcher,4500,no
4610,Eastern Wood-Pewee,Tyrannidae,Sulphur-bellied Flycatcher,4510,no
4610,Eastern Wood-Pewee,Tyrannidae,Variegated Flycatcher,4511,no
4610,Eastern Wood-Pewee,Tyrannidae,Tropical Kingbird,4460,no
4610,Eastern Wood-Pewee,Tyrannidae,Cassin's Kingbird,4480,no
4610,Eastern Wood-Pewee,Tyrannidae,Thick-billed Kingbird,4451,no
4610,Eastern Wood-Pewee,Tyrannidae,Loggerhead Kingbird,4452,no
4610,Eastern Wood-Pewee,Tyrannidae,Fork-tailed Flycatcher,4420,no
4610,Eastern Wood-Pewee,Tyrannidae,Rose-throated Becard,4411,no
4610,Eastern Wood-Pewee,Tyrannidae,Masked Tityra,15890,no
4620,Western Wood-Pewee,Tyrannidae,Caribbean Elaenia,15040,no
4620,Western Wood-Pewee,Tyrannidae,Cuban Pewee,15480,no
4620,Western Wood-Pewee,Tyrannidae,Lesser Antillean Pewee,15490,no
4620,Western Wood-Pewee,Tyrannidae,Acadian Flycatcher,4650,no
4620,Western Wood-Pewee,Tyrannidae,Nutting's Flycatcher,4531,no
4620,Western Wood-Pewee,Tyrannidae,La Sagra's Flycatcher,4551,no
4620,Western Wood-Pewee,Tyrannidae,Puerto Rican Flycatcher,15680,no
4620,Western Wood-Pewee,Tyrannidae,Great Kiskadee,4490,no
4620,Western Wood-Pewee,Tyrannidae,Social Flycatcher,4500,no
4620,Western Wood-Pewee,Tyrannidae,Variegated Flycatcher,4511,no
4620,Western Wood-Pewee,Tyrannidae,Couch's Kingbird,4461,no
4620,Western Wood-Pewee,Tyrannidae,Gray Kingbird,4450,no
4620,Western Wood-Pewee,Tyrannidae,Loggerhead Kingbird,4452,no
4620,Western Wood-Pewee,Tyrannidae,Fork-tailed Flycatcher,4420,no
4620,Western Wood-Pewee,Tyrannidae,Masked Tityra,15890,no
4641,Pacific-slope Flycatcher,Tyrannidae,Northern Beardless-Tyrannulet,4720,no
4641,Pacific-slope Flycatcher,Tyrannidae,Caribbean Elaenia,15040,no
4641,Pacific-slope Flycatcher,Tyrannidae,Greater Pewee,4600,no
4641,Pacific-slope Flycatcher,Tyrannidae,Eastern Wood-Pewee,4610,no
4641,Pacific-slope Flycatcher,Tyrannidae,Cuban Pewee,15480,no
4641,Pacific-slope Flycatcher,Tyrannidae,Lesser Antillean Pewee,15490,no
4641,Pacific-slope Flycatcher,Tyrannidae,Acadian Flycatcher,4650,no
4641,Pacific-slope Flycatcher,Tyrannidae,Buff-breasted Flycatcher,4700,no
4641,Pacific-slope Flycatcher,Tyrannidae,Eastern Phoebe,4560,no
4641,Pacific-slope Flycatcher,Tyrannidae,Dusky-capped Flycatcher,4550,no
4641,Pacific-slope Flycatcher,Tyrannidae,Nutting's Flycatcher,4531,no
4641,Pacific-slope Flycatcher,Tyrannidae,Great Crested Flycatcher,4520,no
4641,Pacific-slope Flycatcher,Tyrannidae,La Sagra's Flycatcher,4551,no
4641,Pacific-slope Flycatcher,Tyrannidae,Puerto Rican Flycatcher,15680,no
4641,Pacific-slope Flycatcher,Tyrannidae,Great Kiskadee,4490,no
4641,Pacific-slope Flycatcher,Tyrannidae,Social Flycatcher,4500,no
4641,Pacific-slope Flycatcher,Tyrannidae,Sulphur-bellied Flycatcher,4510,no
4641,Pacific-slope Flycatcher,Tyrannidae,Variegated Flycatcher,4511,no
