"FocalAOU","ENV","COMP","SHARED","NONE","n"
4570,0.0726376422250017,0.0240044100102081,0.0181266519491453,0.885231295815645,534
4590,0.121111831437143,0,0,0.878888168562857,576
4540,0.0523964882963302,0.00645307966635798,-0.0062968153679039,0.947447247405216,336
4610,0.182499087853296,0.00706237392317477,0.0142679017529074,0.796170636470622,1659
4480,0.22459198969308,0.0602391271111065,0.00536134937001501,0.709807533825799,153
4620,0.0708921472152881,0.0142373401395369,0.0424927815810857,0.872377731064089,711
4670,0.269509371313567,0.00385843368019451,0.0579214223552553,0.668710772650983,903
4641,0.214141328778102,0.0423850995392697,0.132165924011857,0.611307647670771,192
4650,0.150063902643864,0.172230609361797,-0.0312329747472447,0.708938462741584,918
4680,0.198654581140413,0.0769574025131512,-0.0106615740577902,0.735049590404226,303
4691,0.0613387444056983,0.00216650594822237,-0.000414000154215052,0.936908749800294,135
4660,0.153331361469144,0.0320834647006576,-0.0152749853387807,0.82986015916898,1191
6870,0.135654681071845,0.0457277379523755,0.0867447918936354,0.731872789082144,1140
4690,0.111291204006134,0.0267136400123746,-0.0172791993385969,0.879274355320088,321
4640,0.0915479963193405,0.000201596284162053,0.00459171197351423,0.903658695422983,171
4750,0.194967494255349,0,0,0.805032505744651,564
4840,0.0746164851422031,0.00178116433054674,0.0267449576680856,0.896857392859165,324
4812,0.136571312325909,0.17244821428675,0.173862139860912,0.517118333526428,108
4770,0.356679791406658,0,0,0.643320208593342,1872
4780,0.154720683948496,0.0176507216721794,0.0534163726055445,0.77421222177378,357
4910,0.0793411281004924,0.00487472734292771,-0.000354340709320281,0.9161384852659,246
4880,0.435439497935468,0,0,0.564560502064532,2355
4900,0.222183377808948,0,0,0.777816622191052,558
4980,0.166440060500162,0.0134543341607944,-0.0126008410876858,0.832706446426729,2508
5070,0.27143349590874,0.00638241039095983,0.00164147071447508,0.720542622985825,1425
4950,0.156824248922773,0,0,0.843175751077227,2568
5080,0.120734880728621,0.00945580017929647,0.00148866272472527,0.868320656367357,546
5060,0.232563928746625,0,0,0.767436071253375,1356
5100,0.169160696587039,0.0247186961995791,0.00738386654643254,0.79873674066695,786
4940,0.223827570382577,0.159828277993757,0.0402833420504305,0.576060809573235,906
5011,0.336513600978493,0.00887879493994775,0.00227808617789791,0.652329517903661,1062
5010,0.126166289800096,0.105128507903027,-0.0533721889327026,0.82207739122958,1638
5110,0.3039842209155,0,0,0.6960157790845,2034
4970,0.155790600862865,0.123780025038165,-0.0451771728680498,0.76560654696702,447
5220,0.17436477120573,0.0128134087801353,0.269629734068608,0.543192085945527,141
5190,0.107936935099729,0,0,0.892063064900271,2139
5290,0.287892482436003,0.0118618279599618,0.15373572092822,0.546509968675815,2013
5210,0.203257001251794,0.0650356157889435,0.080966305626825,0.650741077332438,417
5170,0.0343938636871726,0,0,0.965606136312827,684
5180,0.0521739713104459,0.241985415051407,0.0288928065735393,0.676947807064608,270
5330,0.140292826125849,0,0,0.859707173874151,666
5300,0.234531445746758,0,0,0.765468554253242,312
5580,0.106227969439057,0.117398593026866,0.148595518662013,0.627777918872064,399
5870,0.310476783895017,0,0,0.689523216104983,1428
5810,0.10098795676277,0.118591974461169,0.155329893278172,0.625090175497889,1893
5630,0.229835320815366,0.0652774516444397,-0.0257171037774292,0.730604331317624,1422
5610,0.418050603101758,0.000573183519065434,0.0472925320643941,0.534083681314783,408
6050,0.448124041728418,0,0,0.551875958271582,210
5600,0.263708600200892,0.00505975510030038,0.00487801310447531,0.726353631594333,2187
5780,0.102673155799283,0.0382405661194712,0.176472035537522,0.682614242543724,204
5480,0.232576269341903,0.0146330597084142,0.0426508515752905,0.710139819374392,159
5520,0.243904078756345,0,0,0.756095921243655,903
5460,0.18292344601231,0.241502818237528,-0.0678499634284192,0.643423699178581,1293
5850,0.131211290194081,0.0223445721847282,0.0255708968989009,0.820873240722289,249
5540,0.34388411411905,0.0255105681297179,-0.00900486255322363,0.639610180304456,327
5840,0.0726124564166596,0.0206147532100623,0.0177706277857843,0.889002162587494,624
5730,0.365281377839244,0.0435521853478061,0.0215060508912302,0.56966038592172,210
5400,0.257402272268566,0,0,0.742597727731434,1122
5900,0.0366411439300324,0.234504535186075,0.0110069809004816,0.717847339983411,264
5880,0.0727563151749085,0.0835780689624116,-0.00681253879341849,0.850478154656098,513
5950,0.0825774577202105,0.0600810964316824,0.119042333524672,0.738299112323435,1053
5970,0.283751839975427,0.0236011634807209,-0.00117762150702608,0.693824618050878,1128
5960,0.115132560074976,0,0,0.884867439925024,555
6040,0.275015991204905,0.000864730643787337,0.0294344946147693,0.694684783536539,882
5930,0.296884513820899,0,0,0.703115486179101,1677
6010,0.30792400068165,0,0,0.69207599931835,240
5980,0.442622855179777,0,0,0.557377144820223,1698
6100,0.296928012369414,0.00192679066109885,0.0332869875636446,0.667858209405842,798
6070,0.13732152873013,0.00439482326429944,0.0229718888366826,0.835311759168888,528
6080,0.120697211700389,0.0251848047063816,0.0118217382889769,0.842296245304253,1194
6160,0.0510460530430921,0.0140700228017777,-0.00431493324288869,0.939198857398019,843
6170,0.0931168907216425,0.0194478571843959,-0.0191450245328899,0.906580276626851,1986
6130,0.208149094677315,0.056091710801595,0.077977461307529,0.657781733213561,2466
6140,0.225753098662293,0.00107966405552049,0.00117742148499376,0.771989815797193,1977
6120,0.0430057364352518,0.0230174120753291,-0.00484704556071457,0.938823897050134,1770
6150,0.161783400877692,0.0834712672442311,0.0153958133194838,0.739349518558593,579
6190,0.241631332795594,0,0,0.758368667204406,1695
7030,0.32012898521207,0.127855466203625,0.12194713279779,0.430068415786515,1614
6280,0.0388875848331499,0.0509820138838546,-0.0021308672723225,0.912261268555318,1209
6290,0.0342088943632605,0.0658001324804989,-0.019782057324263,0.919773030480504,612
6310,0.245942502614533,0.0161406834065407,0.137405594417604,0.600511219561322,912
6270,0.134289970364309,0.00971149427400919,-0.004269462389294,0.860267997750976,1686
6240,0.168006074029849,0.0663911256152311,-0.0309874942591528,0.796590294614072,1869
6292,0.209837008372226,0.00195401880633467,0.000910002213177539,0.787298970608262,180
6330,0.228592539100201,0.0020949318048411,0.0803925884788349,0.688919940616122,348
6291,0.223862097502327,0.027607492679272,0.0830108665923511,0.66551954322605,207
6590,0.322413639268844,0.000480329468754204,-0.000275199772254099,0.677381231034656,651
6520,0.224968886977138,0.0971793599926957,-0.0307719993792263,0.708623752409393,1962
6370,0.269032669743193,0.018031940637846,-0.0173463626003442,0.730281752219305,405
6730,0.181400977646362,0,0,0.818599022353638,690
6670,0.0320768696286509,0.0375110518550403,0.022701929423856,0.907710149092453,573
6810,0.296086196087533,0.00266813912506753,0.0516209713369834,0.649624693450416,2256
6710,0.111362366185943,0,0,0.888637633814057,915
6850,0.0662158025069706,0.00219838401660891,0.00450147933887348,0.927084334137547,447
6480,0.0435191541295467,0.0194203903768297,0.0144744902255625,0.922585965268061,1134
6630,0.10322103758744,0.00302087448383247,-0.00224982460966698,0.896007912538394,531
6740,0.0759327030330432,2.57929312931643e-05,0.0128178393166994,0.911223664718964,1146
6360,0.076641760298,0.0142691366677067,-0.0131639854264605,0.922253088460754,993
6760,0.116076477335433,0.0193688944661438,-0.00284645749131485,0.867401085689738,681
6770,0.177296026044937,0.0109092020219613,0.0136999837591486,0.798094788173953,672
6410,0.0734936912655301,0.00204561550536829,0.000471616459956621,0.923989076769145,498
6390,0.0586166459835687,9.24316430478203e-05,0.00113481518052402,0.940156107192859,453
6650,0.0910570804373935,0.0343772373430649,-0.0177317497580155,0.892297431977557,231
6460,0.217386723428398,9.73517004599356e-05,0.000442207338116557,0.782073717533025,444
6620,0.0880321271885866,0.013050496507368,0.0156618386101645,0.883255537693881,399
6790,0.234455539139161,0.00160457741218745,0.0933773519425888,0.670562531506063,426
6450,0.0374550877345317,0.00258509107363177,-0.00146732167261924,0.961427142864456,468
6800,0.161810401756073,0.0105708092524348,0.0631348005211818,0.76448398847031,342
6860,0.101411275336768,0.00420594595651042,-0.00302658733332286,0.897409366040044,321
6570,0.0977708534501392,0.042940219377113,-0.0248227770780314,0.884111704250779,402
6540,0.106149918088165,0.0069910062928943,-0.00302286796819087,0.889881943587132,336
6840,0.113407470767264,0,0,0.886592529232736,678
6380,0.259222740811643,0.00103263834420408,0.00995407020698908,0.729790550637164,168
6882,0.173859800647902,0.000997610893426398,0.00833289820227292,0.816809690256398,2229
7050,0.285623714585298,0.000371238405609708,0.0208077571051499,0.693197289903942,1788
7040,0.314841052622485,0.0529591565793756,0.0777875074933189,0.554412283304821,1899
7020,0.0861821422453985,0.142303725233404,-0.000662051079720227,0.772176183600917,219
7210,0.218585605326426,0.0235846624021131,0.0552137977153248,0.702615934556136,1884
7180,0.0827497642644861,0.119049993462964,0.382359586002184,0.415840656270366,1278
7190,0.14149854944607,0.00139789320472933,0.00655834278914996,0.850545214560051,414
7150,0.0909902743650378,0.0838394056023623,0.0328923837338573,0.792277936298743,474
7222,0.0495852455658018,0.375085567089815,0.167966861535555,0.407362325808828,411
7221,0.0826207834135781,0.218726205628218,0.203927770301167,0.494725240657037,168
7240,0.444766414227439,0.142818214670626,-0.0971836270043236,0.509598998106259,414
7280,0.0393441511477362,0.0116683669093161,0.00282332616017052,0.946164155782777,876
7260,0.012989635941144,0.0013906158933779,-0.000613359230393808,0.986233107395872,645
7290,0.105812998111256,0,0,0.894187001888744,300
7270,0.132923804990306,0.00555746147380412,-0.0055296500719089,0.867048383607799,1782
