4430,Scissor-tailed Flycatcher,Tyrannidae,Buff-breasted Flycatcher,4700
4430,Scissor-tailed Flycatcher,Tyrannidae,Black Phoebe,4580
4430,Scissor-tailed Flycatcher,Tyrannidae,Eastern Phoebe,4560
4430,Scissor-tailed Flycatcher,Tyrannidae,Say's Phoebe,4570
4430,Scissor-tailed Flycatcher,Tyrannidae,Vermilion Flycatcher,4710
4430,Scissor-tailed Flycatcher,Tyrannidae,Dusky-capped Flycatcher,4550
4430,Scissor-tailed Flycatcher,Tyrannidae,Ash-throated Flycatcher,4540
4430,Scissor-tailed Flycatcher,Tyrannidae,Great Crested Flycatcher,4520
4430,Scissor-tailed Flycatcher,Tyrannidae,Brown-crested Flycatcher,4530
4430,Scissor-tailed Flycatcher,Tyrannidae,Great Kiskadee,4490
4430,Scissor-tailed Flycatcher,Tyrannidae,Tropical Kingbird,4460
4430,Scissor-tailed Flycatcher,Tyrannidae,Couch's Kingbird,4461
4430,Scissor-tailed Flycatcher,Tyrannidae,Cassin's Kingbird,4480
4430,Scissor-tailed Flycatcher,Tyrannidae,Western Kingbird,4470
4430,Scissor-tailed Flycatcher,Tyrannidae,Eastern Kingbird,4440
4440,Eastern Kingbird,Tyrannidae,Northern Beardless-Tyrannulet,4720
4440,Eastern Kingbird,Tyrannidae,Olive-sided Flycatcher,4590
4440,Eastern Kingbird,Tyrannidae,Western Wood-Pewee,4620
4440,Eastern Kingbird,Tyrannidae,Eastern Wood-Pewee,4610
4440,Eastern Kingbird,Tyrannidae,Yellow-bellied Flycatcher,4630
4440,Eastern Kingbird,Tyrannidae,Acadian Flycatcher,4650
4440,Eastern Kingbird,Tyrannidae,Alder Flycatcher,4661
4440,Eastern Kingbird,Tyrannidae,Willow Flycatcher,4660
4440,Eastern Kingbird,Tyrannidae,Least Flycatcher,4670
4440,Eastern Kingbird,Tyrannidae,Hammond's Flycatcher,4680
4440,Eastern Kingbird,Tyrannidae,Gray Flycatcher,4691
4440,Eastern Kingbird,Tyrannidae,Dusky Flycatcher,4690
4440,Eastern Kingbird,Tyrannidae,Pacific-slope Flycatcher,4641
4440,Eastern Kingbird,Tyrannidae,Cordilleran Flycatcher,4640
4440,Eastern Kingbird,Tyrannidae,Black Phoebe,4580
4440,Eastern Kingbird,Tyrannidae,Eastern Phoebe,4560
4440,Eastern Kingbird,Tyrannidae,Say's Phoebe,4570
4440,Eastern Kingbird,Tyrannidae,Vermilion Flycatcher,4710
4440,Eastern Kingbird,Tyrannidae,Ash-throated Flycatcher,4540
4440,Eastern Kingbird,Tyrannidae,Great Crested Flycatcher,4520
4440,Eastern Kingbird,Tyrannidae,Brown-crested Flycatcher,4530
4440,Eastern Kingbird,Tyrannidae,Great Kiskadee,4490
4440,Eastern Kingbird,Tyrannidae,Couch's Kingbird,4461
4440,Eastern Kingbird,Tyrannidae,Cassin's Kingbird,4480
4440,Eastern Kingbird,Tyrannidae,Western Kingbird,4470
4440,Eastern Kingbird,Tyrannidae,Gray Kingbird,4450
4440,Eastern Kingbird,Tyrannidae,Scissor-tailed Flycatcher,4430
4470,Western Kingbird,Tyrannidae,Northern Beardless-Tyrannulet,4720
4470,Western Kingbird,Tyrannidae,Olive-sided Flycatcher,4590
4470,Western Kingbird,Tyrannidae,Greater Pewee,4600
4470,Western Kingbird,Tyrannidae,Western Wood-Pewee,4620
4470,Western Kingbird,Tyrannidae,Eastern Wood-Pewee,4610
4470,Western Kingbird,Tyrannidae,Yellow-bellied Flycatcher,4630
4470,Western Kingbird,Tyrannidae,Acadian Flycatcher,4650
4470,Western Kingbird,Tyrannidae,Alder Flycatcher,4661
4470,Western Kingbird,Tyrannidae,Willow Flycatcher,4660
4470,Western Kingbird,Tyrannidae,Least Flycatcher,4670
4470,Western Kingbird,Tyrannidae,Hammond's Flycatcher,4680
4470,Western Kingbird,Tyrannidae,Gray Flycatcher,4691
4470,Western Kingbird,Tyrannidae,Dusky Flycatcher,4690
4470,Western Kingbird,Tyrannidae,Pacific-slope Flycatcher,4641
4470,Western Kingbird,Tyrannidae,Cordilleran Flycatcher,4640
4470,Western Kingbird,Tyrannidae,Buff-breasted Flycatcher,4700
4470,Western Kingbird,Tyrannidae,Black Phoebe,4580
4470,Western Kingbird,Tyrannidae,Eastern Phoebe,4560
4470,Western Kingbird,Tyrannidae,Say's Phoebe,4570
4470,Western Kingbird,Tyrannidae,Vermilion Flycatcher,4710
4470,Western Kingbird,Tyrannidae,Dusky-capped Flycatcher,4550
4470,Western Kingbird,Tyrannidae,Ash-throated Flycatcher,4540
4470,Western Kingbird,Tyrannidae,Great Crested Flycatcher,4520
4470,Western Kingbird,Tyrannidae,Brown-crested Flycatcher,4530
4470,Western Kingbird,Tyrannidae,Great Kiskadee,4490
4470,Western Kingbird,Tyrannidae,Sulphur-bellied Flycatcher,4510
4470,Western Kingbird,Tyrannidae,Tropical Kingbird,4460
4470,Western Kingbird,Tyrannidae,Couch's Kingbird,4461
4470,Western Kingbird,Tyrannidae,Cassin's Kingbird,4480
4470,Western Kingbird,Tyrannidae,Thick-billed Kingbird,4451
4470,Western Kingbird,Tyrannidae,Eastern Kingbird,4440
4470,Western Kingbird,Tyrannidae,Scissor-tailed Flycatcher,4430
4470,Western Kingbird,Tyrannidae,Rose-throated Becard,4411
4520,Great Crested Flycatcher,Tyrannidae,Olive-sided Flycatcher,4590
4520,Great Crested Flycatcher,Tyrannidae,Western Wood-Pewee,4620
4520,Great Crested Flycatcher,Tyrannidae,Eastern Wood-Pewee,4610
4520,Great Crested Flycatcher,Tyrannidae,Yellow-bellied Flycatcher,4630
4520,Great Crested Flycatcher,Tyrannidae,Acadian Flycatcher,4650
4520,Great Crested Flycatcher,Tyrannidae,Alder Flycatcher,4661
