Focal Common Name,Scientific Name,Family,Body Mass,Migratory Class,Trophic Group
Swamp Sparrow,Melospiza georgiana,Emberizidae,17,short,insct/om
Fox Sparrow,Passerella iliaca,Emberizidae,32,short,insct/om
Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,42,short,insct/om
Spotted Towhee,Pipilo maculatus,Emberizidae,42,short,insct/om
Green-tailed Towhee,Pipilo chlorurus,Emberizidae,29,neotropical,insct/om
Northern Cardinal,Cardinalis cardinalis,Cardinalidae,47.25,resident,insct/om
Rose-breasted Grosbeak,Pheucticus ludovicianus,Cardinalidae,46,neotropical,insectivore
Black-headed Grosbeak,Pheucticus melanocephalus,Cardinalidae,42.5,neotropical,insectivore
Blue Grosbeak,Passerina caerulea,Cardinalidae,28.5,neotropical,insectivore
Indigo Bunting,Passerina cyanea,Cardinalidae,15,neotropical,insct/om
Lazuli Bunting,Passerina amoena,Cardinalidae,NA,neotropical,insct/om
Painted Bunting,Passerina ciris,Cardinalidae,16,neotropical,insct/om
Dickcissel,Spiza americana,Cardinalidae,29,neotropical,insct/om
Lark Bunting,Calamospiza melanocorys,Emberizidae,38,neotropical,insct/om
Western Tanager,Piranga ludoviciana,Thraupidae,28,neotropical,insectivore
Scarlet Tanager,Piranga olivacea,Thraupidae,29,neotropical,insectivore
Summer Tanager,Piranga rubra,Thraupidae,28,neotropical,insectivore
Cliff Swallow,Petrochelidon pyrrhonota,Hirundinidae,22,neotropical,insectivore
Barn Swallow,Hirundo rustica,Hirundinidae,17.5,neotropical,insectivore
Tree Swallow,Tachycineta bicolor,Hirundinidae,20,short,insectivore
Violet-green Swallow,Tachycineta thalassina,Hirundinidae,14,neotropical,insectivore
Bank Swallow,Riparia riparia,Hirundinidae,15,neotropical,insectivore
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Hirundinidae,16,neotropical,insectivore
Cedar Waxwing,Bombycilla cedrorum,Bombycillidae,32.5,short,insct/om
Loggerhead Shrike,Lanius ludovicianus,Laniidae,NA,short,insectivore
Red-eyed Vireo,Vireo olivaceus,Vireonidae,15.5,neotropical,insectivore
Warbling Vireo,Vireo gilvus,Vireonidae,15,neotropical,insectivore
Yellow-throated Vireo,Vireo flavifrons,Vireonidae,18,neotropical,insectivore
Blue-headed Vireo,Vireo solitarius,Vireonidae,17,neotropical,insectivore
Plumbeous Vireo,Vireo plumbeus,Vireonidae,17,neotropical,insectivore
Cassin's Vireo,Vireo cassinii,Vireonidae,17,neotropical,insectivore
White-eyed Vireo,Vireo griseus,Vireonidae,11,neotropical,insectivore
Bell's Vireo,Vireo bellii,Vireonidae,9,neotropical,insectivore
Black-and-white Warbler,Mniotilta varia,Parulidae,11,neotropical,insectivore
Prothonotary Warbler,Protonotaria citrea,Parulidae,15.75,neotropical,insectivore
Swainson's Warbler,Limnothlypis swainsonii,Parulidae,19,neotropical,insectivore
Worm-eating Warbler,Helmitheros vermivorum,Parulidae,13,neotropical,insectivore
Blue-winged Warbler,Vermivora cyanoptera,Parulidae,8,neotropical,insectivore
Nashville Warbler,Vermivora ruficapilla,Parulidae,9,neotropical,insectivore
Orange-crowned Warbler,Vermivora celata,Parulidae,9,neotropical,insectivore
Northern Parula,Parula americana,Parulidae,9,neotropical,insectivore
Yellow Warbler,Dendroica petechia,Parulidae,11.5,neotropical,insectivore
Black-throated Blue Warbler,Dendroica caerulescens,Parulidae,10.75,neotropical,insectivore
Magnolia Warbler,Dendroica magnolia,Parulidae,9.5,neotropical,insectivore
Chestnut-sided Warbler,Dendroica pensylvanica,Parulidae,9.75,neotropical,insct/om
Blackburnian Warbler,Dendroica fusca,Parulidae,10,neotropical,insct/om
Yellow-throated Warbler,Dendroica dominica,Parulidae,9,neotropical,insectivore
Black-throated Gray Warbler,Dendroica nigrescens,Parulidae,8.5,neotropical,insectivore
Black-throated Green Warbler,Dendroica virens,Parulidae,9,neotropical,insectivore
Pine Warbler,Dendroica pinus,Parulidae,12,short,insct/om
Prairie Warbler,Dendroica discolor,Parulidae,8.25,neotropical,insectivore
Ovenbird,Seiurus aurocapilla,Parulidae,19,neotropical,insectivore
Louisiana Waterthrush,Parkesia motacilla,Parulidae,21,neotropical,insectivore
Kentucky Warbler,Oporornis formosus,Parulidae,14,neotropical,insectivore
Mourning Warbler,Oporornis philadelphia,Parulidae,12.75,neotropical,insectivore
MacGillivray's Warbler,Oporornis tolmiei,Parulidae,10,neotropical,insectivore
Common Yellowthroat,Geothlypis trichas,Parulidae,10.58,neotropical,insectivore
Yellow-breasted Chat,Icteria virens,Parulidae,NA,neotropical,insct/om
Hooded Warbler,Wilsonia citrina,Parulidae,10.75,neotropical,insectivore
Wilson's Warbler,Wilsonia pusilla,Parulidae,7.5,neotropical,insectivore
Canada Warbler,Wilsonia canadensis,Parulidae,11,neotropical,insectivore
American Redstart,Setophaga ruticilla,Parulidae,9,neotropical,insectivore
House Sparrow,Passer domesticus,Passeridae,27.75,resident,insct/om
Sage Thrasher,Oreoscoptes montanus,Mimidae,43.5,short,insectivore
Northern Mockingbird,Mimus polyglottos,Mimidae,49,resident,insectivore
Gray Catbird,Dumetella carolinensis,Mimidae,37,neotropical,insct/om
Brown Thrasher,Toxostoma rufum,Mimidae,69,short,omnivore
Rock Wren,Salpinctes obsoletus,Troglodytidae,17,short,insectivore
Carolina Wren,Thryothorus ludovicianus,Troglodytidae,19,resident,insectivore
Bewick's Wren,Thryomanes bewickii,Troglodytidae,10,short,insectivore
House Wren,Troglodytes aedon,Troglodytidae,10.5,neotropical,insectivore
Pacific Wren,Troglodytes pacificus,Troglodytidae,10,short,insectivore
Winter Wren,Troglodytes hiemalis,Troglodytidae,10,short,insectivore
Sedge Wren,Cistothorus platensis,Troglodytidae,9,short,insectivore
Brown Creeper,Certhia americana,Certhiidae,8,short,insectivore
White-breasted Nuthatch,Sitta carolinensis,Sittidae,21,resident,insectivore
Red-breasted Nuthatch,Sitta canadensis,Sittidae,10,short,insectivore
Brown-headed Nuthatch,Sitta pusilla,Sittidae,10,resident,insectivore
Tufted Titmouse,Baeolophus bicolor,Paridae,22,resident,insectivore
Black-capped Chickadee,Parus atricapillus,Paridae,11,resident,insectivore
Carolina Chickadee,Parus carolinensis,Paridae,11,resident,insectivore
Mountain Chickadee,Parus gambeli,Paridae,11.75,resident,insectivore
Bushtit,Psaltriparus minimus,Aegithalidae,5,resident,insectivore
Golden-crowned Kinglet,Regulus satrapa,Regulidae,6.25,short,insectivore
Blue-gray Gnatcatcher,Polioptila caerulea,Sylviidae,6,neotropical,insectivore
Townsend's Solitaire,Myadestes townsendi,Turdidae,34,short,insectivore
Wood Thrush,Hylocichla mustelina,Turdidae,47,neotropical,insectivore
Veery,Catharus fuscescens,Turdidae,31,neotropical,insectivore
Swainson's Thrush,Catharus ustulatus,Turdidae,31,neotropical,insectivore
Hermit Thrush,Catharus guttatus,Turdidae,31,short,insectivore
American Robin,Turdus migratorius,Turdidae,77,short,insct/om
Eastern Bluebird,Sialia sialis,Turdidae,32,short,insectivore
Western Bluebird,Sialia mexicana,Turdidae,28,short,insectivore
Mountain Bluebird,Sialia currucoides,Turdidae,30,short,insectivore
