Focal,ENV,COMP,SHARED,otal,COMPSC,n,Comp
White-winged Crossbill,0.174356828,0.012817618,0.269625531,0.456799976,0.068479529,94,Purple Finch
American Goldfinch,0.287892465,0.01186183,0.153735719,0.453490015,0.039571842,1342,Pine Siskin
Lesser Goldfinch,0.225659233,0.022798213,0.008871208,0.257328654,0.091759025,208,House Finch
Pine Siskin,0.136175431,0.004012645,0.004117251,0.144305328,0.028623298,444,Lesser Goldfinch
Vesper Sparrow,0.157675278,0.107700228,0.09972694,0.365102446,0.405840876,748,Song Sparrow
Grasshopper Sparrow,0.182923392,0.241502797,-0.067849946,0.356576243,0.56901012,862,Chipping Sparrow
Le Conte's Sparrow,0.232572923,0.014633543,0.042650362,0.289856827,0.059195631,106,Savannah Sparrow
Lark Sparrow,0.066455438,0.113660562,0.177448486,0.357564485,0.631040896,602,Chipping Sparrow
White-crowned Sparrow,0.34388388,0.025510642,-0.00900494,0.360389582,0.069060693,218,Lincoln's Sparrow
White-throated Sparrow,0.068256571,0.312924212,0.186566545,0.567747328,0.820933861,266,Chipping Sparrow
Chipping Sparrow,0.100649054,0.224177834,0.167937539,0.492764427,0.690145559,1458,Lark Sparrow
Clay-colored Sparrow,0.132874462,0.09224909,0.332467947,0.557591498,0.409770942,272,Chipping Sparrow
Brewer's Sparrow,0.066523802,0.234812338,-0.005032747,0.296303393,0.779237226,218,Lark Sparrow
Field Sparrow,0.122174697,0.060836098,0.081943504,0.264954299,0.332418087,948,Swamp Sparrow
Black-throated Sparrow,0.403573718,0.083374489,-0.016787363,0.470160844,0.171218392,140,Black-chinned Sparrow
Cassin's Sparrow,0.102672374,0.038241149,0.176471457,0.31738498,0.271380264,136,Lark Sparrow
Song Sparrow,0.100987943,0.118591971,0.155329893,0.374909807,0.540085697,1262,Lark Sparrow
Fox Sparrow,0.12757077,0.021653789,0.029210121,0.178434679,0.145108749,166,Lincoln's Sparrow
Eastern Towhee,0.054104077,0.058010792,0.256372682,0.368487551,0.517422824,952,Savannah Sparrow
Spotted Towhee,0.072756251,0.083578073,-0.006812545,0.149521779,0.534611151,342,Green-tailed Towhee
Green-tailed Towhee,0.036641049,0.234504635,0.011006887,0.28215257,0.864865823,176,Spotted Towhee
Northern Cardinal,0.072320536,0.217774415,0.224563944,0.514658895,0.750700467,1118,Rose-breasted Grosbeak
Rose-breasted Grosbeak,0.082577428,0.060081123,0.119042308,0.26170086,0.421153325,702,Blue Grosbeak
Black-headed Grosbeak,0.059908067,0.058750466,0.055224318,0.17388285,0.495122131,370,Blue Grosbeak
Blue Grosbeak,0.227857816,0.065347828,0.054716365,0.347922009,0.222873703,752,Rose-breasted Grosbeak
Indigo Bunting,0.312127824,0.006211338,0.130495005,0.448834167,0.019511698,1132,Pyrrhuloxia
Lazuli Bunting,0.135494862,0.004054554,-0.003891191,0.135658225,0.029054613,280,Black-headed Grosbeak
Painted Bunting,0.105733594,0.179567692,0.202188262,0.487489548,0.629396715,160,Blue Grosbeak
Dickcissel,0.369703451,0.185839146,-0.065253086,0.490289511,0.334518266,588,Blue Grosbeak
Lark Bunting,0.302185864,0.235721096,0.14593546,0.68384242,0.438219086,140,Lark Sparrow
Western Tanager,0.137321294,0.004394787,0.022971925,0.164688006,0.031011208,352,Hepatic Tanager
Scarlet Tanager,0.120697201,0.025184812,0.011821732,0.157703746,0.172638225,796,Summer Tanager
Summer Tanager,0.296927894,0.001926799,0.03328698,0.332141672,0.006447275,532,Hepatic Tanager
Cliff Swallow,0.031330918,0.244124376,0.006827772,0.282283066,0.886257702,1180,Barn Swallow
Barn Swallow,0.161707418,0.068634697,0.124419137,0.354761252,0.297968511,1644,Violet-green Swallow
Tree Swallow,0.16582201,0.141851349,0.061108507,0.368781866,0.461045277,1318,Northern Rough-winged Swallow
Violet-green Swallow,0.161783325,0.083471278,0.015395808,0.260650412,0.340345409,386,Barn Swallow
Bank Swallow,0.10948159,0.177261999,-0.062750489,0.2239931,0.618189929,562,Tree Swallow
Northern Rough-winged Swallow,0.08635577,0.03553563,-0.012383907,0.109507493,0.291535171,1324,Tree Swallow
Red-eyed Vireo,0.15603145,0.323776846,-0.019012877,0.46079542,0.674804602,1246,Warbling Vireo
Warbling Vireo,0.161759577,0.154641128,-0.031739083,0.284661622,0.488750895,1124,Blue-headed Vireo
Yellow-throated Vireo,0.072636416,0.113399242,-0.0358797,0.150155959,0.609556485,806,Warbling Vireo
Blue-headed Vireo,0.027208432,0.352202985,-0.012781601,0.366629816,0.928287787,408,Yellow-throated Vireo
Plumbeous Vireo,0.223860137,0.027608226,0.083010131,0.334478494,0.109788068,138,Warbling Vireo
Cassin's Vireo,0.176906063,0.006277897,0.033839448,0.217023408,0.034271,120,Warbling Vireo
White-eyed Vireo,0.163605968,0.139792256,0.219742019,0.523140243,0.460755025,608,Warbling Vireo
Bell's Vireo,0.228591112,0.00209507,0.080392452,0.311078634,0.009081905,232,Yellow-throated Vireo
Black-and-white Warbler,0.030341184,0.039788754,0.033136577,0.103266515,0.567357611,662,Prothonotary Warbler
Prothonotary Warbler,0.284289093,0.078730367,-0.032602952,0.330416508,0.216876438,270,Black-and-white Warbler
Swainson's Warbler,0.269707363,0.003405589,-0.000530988,0.272581964,0.012469527,112,Louisiana Waterthrush
Worm-eating Warbler,0.048389077,0.149570967,0.011362354,0.209322397,0.755561395,302,Common Yellowthroat
Blue-winged Warbler,0.067517832,0.012598406,0.006447413,0.08656365,0.157251593,332,Pine Warbler
Nashville Warbler,0.02129904,0.524893217,0.014688698,0.560880955,0.961004501,312,Yellow Warbler
Orange-crowned Warbler,0.121577343,0.176116186,0.096251514,0.393945043,0.591602332,296,Yellow Warbler
Northern Parula,0.022956452,0.233419381,0.035037191,0.291413023,0.910457817,756,Common Yellowthroat
Yellow Warbler,0.036900204,0.102038565,0.157296676,0.296235445,0.734413916,1308,Yellow-breasted Chat
Black-throated Blue Warbler,0.109423262,0.177248387,-0.006296269,0.28037538,0.618297579,224,American Redstart
Magnolia Warbler,0.011534065,0.302505706,0.061413918,0.375453689,0.963271961,268,American Redstart
Chestnut-sided Warbler,0.23502625,0.261379356,0.087112132,0.583517738,0.526543924,434,Yellow Warbler
Blackburnian Warbler,0.055692366,0.403723566,0.048001503,0.507417436,0.878775719,266,Yellow Warbler
Yellow-throated Warbler,0.140007078,0.062013765,-0.039035935,0.162984908,0.306967163,354,Prothonotary Warbler
Black-throated Gray Warbler,0.090532059,0.099586728,-0.017207205,0.172911582,0.523813188,154,Yellow-breasted Chat
Black-throated Green Warbler,0.1272434,0.422567915,-0.072464631,0.477346685,0.768568968,382,Common Yellowthroat
Pine Warbler,0.030223526,0.391490139,0.081138811,0.502852476,0.928331641,610,Common Yellowthroat
Prairie Warbler,0.090084495,0.088167046,0.091316423,0.269567963,0.494621507,460,Common Yellowthroat
Ovenbird,0.074460983,0.336729283,0.014289544,0.42547981,0.818913555,764,Common Yellowthroat
Louisiana Waterthrush,0.09708512,0.006891893,0.016144842,0.120121854,0.06628285,454,Swainson's Warbler
Kentucky Warbler,0.126708478,0.008164439,0.064287397,0.199160314,0.060534308,448,Ovenbird
Mourning Warbler,0.142740242,0.184770103,0.185092457,0.512602802,0.564165699,284,Common Yellowthroat
MacGillivray's Warbler,0.155835751,0.063319699,0.069108869,0.288264319,0.28892596,228,Common Yellowthroat
Common Yellowthroat,0.243856895,0.04033894,0.10385027,0.388046106,0.141940645,1504,Orange-crowned Warbler
Yellow-breasted Chat,0.265054654,0.00062097,0.043400084,0.309075707,0.002337324,788,MacGillivray's Warbler
Hooded Warbler,0.008147539,0.26884763,0.105259911,0.38225508,0.97058599,452,Common Yellowthroat
Wilson's Warbler,0.027131496,0.318106486,0.043585756,0.388823737,0.921412194,298,Yellow Warbler
Canada Warbler,0.046922248,0.025433561,0.051462409,0.123818217,0.351506827,214,American Redstart
Sage Thrasher,0.086181859,0.142303656,-0.000661976,0.227823539,0.622812594,146,Northern Mockingbird
Northern Mockingbird,0.176962849,0.083016838,0.265113239,0.525092927,0.319320478,1076,Gray Catbird
Gray Catbird,0.34774541,0.100863146,0.044883121,0.493491677,0.224835538,1266,Brown Thrasher
Brown Thrasher,0.306275699,0.05047206,0.000155762,0.356903521,0.141478282,1192,Gray Catbird
Rock Wren,0.090990206,0.08383948,0.032892304,0.20772199,0.479549452,316,House Wren
Carolina Wren,0.082749748,0.119050054,0.382359519,0.584159321,0.589941382,852,House Wren
Bewick's Wren,0.114426717,0.149176521,0.033629781,0.29723302,0.565913083,276,House Wren
House Wren,0.218585582,0.023584661,0.055213799,0.297384042,0.097388764,1256,Carolina Wren
Pacific Wren,0.08262005,0.21872681,0.203927191,0.50527405,0.725830726,112,House Wren
Winter Wren,0.049585153,0.375085667,0.167966777,0.592637598,0.883238615,274,House Wren
Sedge Wren,0.20112863,0.038507321,0.146453568,0.38608952,0.160690917,276,House Wren
Brown Creeper,0.033800165,0.111066013,-0.021423884,0.123442294,0.766680082,430,White-breasted Nuthatch
White-breasted Nuthatch,0.100139227,0.010519189,0.027254916,0.137913332,0.095059996,1188,Brown-headed Nuthatch
Red-breasted Nuthatch,0.048552294,0.272668641,-0.006384826,0.314836108,0.84885078,584,White-breasted Nuthatch
Brown-headed Nuthatch,0.125837985,0.049723897,-0.020025084,0.155536798,0.283227183,200,White-breasted Nuthatch
Tufted Titmouse,0.088276279,0.1295451,0.193285196,0.411106575,0.594730876,918,Black-capped Chickadee
Black-capped Chickadee,0.218494351,0.000249415,0.102297797,0.321041563,0.001140218,896,Mountain Chickadee
Carolina Chickadee,0.16149237,0.044731875,0.026052706,0.232276951,0.216908903,560,Black-crested Titmouse
Mountain Chickadee,0.036483204,0.014411267,0.083031954,0.133926426,0.283159771,222,Juniper Titmouse
Golden-crowned Kinglet,0.046101763,0.006492192,-0.004362987,0.048230968,0.123439898,320,Ruby-crowned Kinglet
Blue-gray Gnatcatcher,0.221789758,0.004556684,0.007783875,0.234130317,0.020131458,990,Black-tailed Gnatcatcher
Townsend's Solitaire,0.216952356,0.021392746,0.00757344,0.245918542,0.08975534,192,Mountain Bluebird
Wood Thrush,0.111374335,0.126642476,0.081407771,0.319424582,0.53207366,962,Eastern Bluebird
Veery,0.105236534,0.349011986,0.05438917,0.50863769,0.768328285,516,American Robin
Swainson's Thrush,0.072621738,0.168679709,0.069859115,0.311160562,0.699041431,368,Hermit Thrush
Hermit Thrush,0.032857323,0.001838374,0.001237212,0.035932909,0.052985635,568,Swainson's Thrush
American Robin,0.266047799,0.143544122,0.042355191,0.451947111,0.350456428,1638,Eastern Bluebird
Eastern Bluebird,0.125217743,0.041649453,0.163417644,0.33028484,0.24959641,1164,Veery
Western Bluebird,0.251993152,0.021429271,0.052945409,0.326367831,0.078374227,166,American Robin
Mountain Bluebird,0.111177077,0.087862809,-0.000546752,0.198493134,0.441433174,268,American Robin
