X,mean,mcse,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
4640,-0.531542427,0.00660735,0.090127382,-0.709133047,-0.592700829,-0.531053386,-0.469824325,-0.356075796,186,1.018595194
4641,0.457861115,0.006251414,0.090530063,0.279131365,0.397503753,0.458694438,0.518959941,0.632331025,210,1.016537885
4650,0.364686577,0.006531094,0.064765677,0.233571511,0.321302864,0.366865215,0.409224249,0.487161509,98,1.040612914
4660,-0.848306791,0.00645112,0.063056345,-0.975995991,-0.890442978,-0.845897229,-0.80434476,-0.729576844,96,1.041904589
4661,-0.437043841,0.006613853,0.068044824,-0.574617135,-0.482643325,-0.435124035,-0.389828327,-0.307925302,106,1.03834939
4670,-0.175620707,0.0064296,0.064861709,-0.30715543,-0.219844575,-0.173208316,-0.130757732,-0.053368471,102,1.038655501
4680,-0.013353471,0.006452857,0.07911463,-0.174053395,-0.066428248,-0.010933723,0.040595685,0.135956517,150,1.026277905
4690,-0.170963099,0.006586575,0.077680605,-0.325873541,-0.22376065,-0.169698008,-0.117386396,-0.022279898,139,1.029350427
4691,-0.548102746,0.006429519,0.099427558,-0.74426551,-0.61483241,-0.547370245,-0.481448435,-0.353613436,239,1.017033662
4750,-0.232561199,0.00654572,0.070096254,-0.3740625,-0.28026692,-0.230897681,-0.184386671,-0.100010798,115,1.035116339
4770,1.558941728,0.006519337,0.07061108,1.417737845,1.511108806,1.560865514,1.607626138,1.693166422,117,1.033936022
4780,0.243304662,0.006556966,0.07832597,0.089293744,0.191280445,0.244630099,0.296807966,0.392990611,143,1.028694014
4812,1.188135256,0.006629526,0.10094016,0.989594637,1.119201741,1.188756675,1.256583149,1.385698632,232,1.015586476
4840,-1.133540565,0.006554051,0.077251126,-1.288347075,-1.185225239,-1.132681767,-1.081128194,-0.98426928,139,1.028980845
4880,1.247692518,0.006499059,0.06533729,1.114660316,1.20354192,1.24976515,1.292910146,1.370155836,101,1.040174062
4900,0.587891934,0.006498108,0.069550445,0.445959906,0.541938445,0.590513554,0.635400158,0.719530686,115,1.033941649
4910,-1.155108347,0.0066081,0.082634224,-1.320528881,-1.210173251,-1.153406053,-1.098511474,-0.996006727,156,1.024189125
4940,1.085085543,0.006484171,0.066045926,0.950869262,1.040746791,1.087322269,1.130564112,1.208884911,104,1.039561329
4950,1.786883643,0.006445097,0.062372386,1.659902773,1.74454657,1.789145775,1.830516898,1.903444276,94,1.04324436
4970,0.162289278,0.006534452,0.071977556,0.01669755,0.114217891,0.164316202,0.211646714,0.299161964,121,1.034003045
4980,1.720239764,0.006506651,0.064853244,1.588355736,1.677376039,1.722302463,1.764877203,1.842056492,99,1.040497277
5010,1.465004555,0.006486507,0.063644465,1.335473881,1.422053389,1.467544809,1.508846812,1.583974405,96,1.042131685
5011,0.284035662,0.006497427,0.06468256,0.152920287,0.240791457,0.286103856,0.328993578,0.407364114,99,1.040194952
5060,0.062098234,0.006522991,0.06271617,-0.063426086,0.019426573,0.064971247,0.105102399,0.179632692,92,1.043209923
5070,0.979428863,0.006506566,0.063274547,0.851756568,0.936629504,0.981960648,1.023128621,1.098605888,95,1.042060285
5080,-0.77479365,0.006572868,0.069399897,-0.913663875,-0.821558087,-0.772920029,-0.727398075,-0.643432238,111,1.03614119
5100,0.770942469,0.00661266,0.067829241,0.635664795,0.725439887,0.772832372,0.817249744,0.899169155,105,1.037752568
