"FocalAOU","AOU_OUT","FAMILY","PRIMARY_COM_NAME.x","PRIMARY_COM_NAME.y"
3200,3131,"Columbidae","Rock Pigeon","Common Ground-Dove"
3200,3141,"Columbidae","Scaly-naped Pigeon","Common Ground-Dove"
3200,3140,"Columbidae","White-crowned Pigeon","Common Ground-Dove"
3200,3130,"Columbidae","Red-billed Pigeon","Common Ground-Dove"
3200,10990,"Columbidae","Plain Pigeon","Common Ground-Dove"
3200,3120,"Columbidae","Band-tailed Pigeon","Common Ground-Dove"
3200,3152,"Columbidae","African Collared-Dove","Common Ground-Dove"
3200,22860,"Columbidae","Eurasian Collared-Dove","Common Ground-Dove"
3200,3151,"Columbidae","Spotted Dove","Common Ground-Dove"
3200,31450,"Columbidae","Island Collared-Dove","Common Ground-Dove"
3200,3153,"Columbidae","Zebra Dove","Common Ground-Dove"
3200,3190,"Columbidae","White-winged Dove","Common Ground-Dove"
3200,3170,"Columbidae","Zenaida Dove","Common Ground-Dove"
3200,3160,"Columbidae","Mourning Dove","Common Ground-Dove"
3200,3160,"Columbidae","Mourning Dove (Caribbean)","Common Ground-Dove"
3200,3210,"Columbidae","Inca Dove","Common Ground-Dove"
3200,3200,"Columbidae","Common Ground-Dove","Common Ground-Dove"
3200,3201,"Columbidae","Ruddy Ground-Dove","Common Ground-Dove"
3200,3180,"Columbidae","White-tipped Dove","Common Ground-Dove"
3200,3220,"Columbidae","Key West Quail-Dove","Common Ground-Dove"
3200,11120,"Columbidae","Bridled Quail-Dove","Common Ground-Dove"
3200,3221,"Columbidae","Ruddy Quail-Dove","Common Ground-Dove"
3200,31500,"Columbidae","Nicobar Pigeon","Common Ground-Dove"
3200,91490,"Columbidae","Micronesian Pigeon","Common Ground-Dove"
3200,91480,"Columbidae","Pacific Pigeon","Common Ground-Dove"
3200,90950,"Columbidae","Palau Ground-Dove","Common Ground-Dove"
3200,90860,"Columbidae","Caroline Ground-Dove","Common Ground-Dove"
3200,90890,"Columbidae","Shy Ground-Dove","Common Ground-Dove"
3200,90880,"Columbidae","White-throated Ground-Dove","Common Ground-Dove"
3200,91180,"Columbidae","Palau Fruit-Dove","Common Ground-Dove"
3200,91160,"Columbidae","Many-colored Fruit-Dove","Common Ground-Dove"
3200,91170,"Columbidae","Purple-capped Fruit-Dove","Common Ground-Dove"
3200,91200,"Columbidae","Mariana Fruit-Dove","Common Ground-Dove"
3870,3882,"Cuculidae","Common Cuckoo","Yellow-billed Cuckoo"
3870,3881,"Cuculidae","Oriental Cuckoo","Yellow-billed Cuckoo"
3870,23040,"Cuculidae","Hodgson's Hawk-Cuckoo","Yellow-billed Cuckoo"
3870,82150,"Cuculidae","Long-tailed Koel","Yellow-billed Cuckoo"
3870,3870,"Cuculidae","Yellow-billed Cuckoo","Yellow-billed Cuckoo"
3870,3860,"Cuculidae","Mangrove Cuckoo","Yellow-billed Cuckoo"
3870,3880,"Cuculidae","Black-billed Cuckoo","Yellow-billed Cuckoo"
3870,11690,"Cuculidae","Puerto Rican Lizard-Cuckoo","Yellow-billed Cuckoo"
3870,3875,"Cuculidae","cuckoo sp.","Yellow-billed Cuckoo"
3870,23010,"Cuculidae","Chestnut-winged Cuckoo","Yellow-billed Cuckoo"
3870,3850,"Cuculidae","Greater Roadrunner","Yellow-billed Cuckoo"
3870,3830,"Cuculidae","Smooth-billed Ani","Yellow-billed Cuckoo"
