AOU,CommonName,Route Expected,MeanN,logN,Mass(g),logMass,migclass,10yr Prop,Foraging,Trophic Group
6080,Scarlet Tanager,409,3.738840674,0.572736959,29,1.462397998,neotrop,0.851,hover/glean,insectivore
5970,Blue Grosbeak,298,5.309109658,0.725021696,28.5,1.45484486,neotrop,0.846,ground glean,insectivore
7330,Oak Titmouse,13,12.67908886,1.103088046,18.25,1.261262869,resid,0.846,foliage glean,insectivore
3940,Downy Woodpecker,801,2.649490545,0.423162374,27,1.431363764,resid,0.841,bark glean,insectivore
2950,Gambel's Quail,25,23.66203563,1.374052104,170,2.230448921,resid,0.84,ground glean,granivore
2930,Scaled Quail,31,7.64021879,0.883105795,191,2.281033367,resid,0.839,ground glean,granivore
3870,Yellow-billed Cuckoo,526,4.89375893,0.689642572,64,1.806179974,neotrop,0.838,foliage glean,insectivore
6520,Yellow Warbler,704,7.935042699,0.899549268,11.5,1.06069784,neotrop,0.835,foliage glean,insectivore
4110,Gila Woodpecker,12,14.81201637,1.170614183,65.25,1.814580516,resid,0.833,bark glean,omnivore
7130,Cactus Wren,36,12.68930325,1.103437776,39,1.591064607,resid,0.833,ground glean,insectivore
5100,Brewer's Blackbird,284,23.16553697,1.364842371,63,1.799340549,short,0.824,ground glean,insectivore
6140,Tree Swallow,630,7.587802101,0.880115995,20,1.301029996,short,0.819,aerial foraging,insectivore
5920,Abert's Towhee,11,4.246583851,0.628039704,46.25,1.665111737,resid,0.818,ground glean,insct/om
7350,Black-capped Chickadee,495,7.433137517,0.871172168,11,1.041392685,resid,0.816,foliage glean,insectivore
4641,Pacific-slope Flycatcher,59,10.17031259,1.007334301,10,1,neotrop,0.814,hawks,insectivore
5060,Orchard Oriole,459,3.811221886,0.581064234,19.5,1.290034611,neotrop,0.813,foliage glean,insct/om
4430,Scissor-tailed Flycatcher,59,16.06452577,1.20586791,43,1.633468456,neotrop,0.797,hawks,insectivore
5950,Rose-breasted Grosbeak,383,3.722335734,0.570815542,46,1.662757832,neotrop,0.796,foliage glean,insectivore
5910,Canyon Towhee,28,4.559384301,0.658906199,44,1.643452676,resid,0.786,ground glean,insct/om
4280,Ruby-throated Hummingbird,561,1.573553055,0.19688139,3.5,0.544068044,neotrop,0.784,hover/glean,nectarivore
6310,White-eyed Vireo,381,7.208997163,0.857874855,11,1.041392685,neotrop,0.782,foliage glean,insectivore
6280,Yellow-throated Vireo,461,2.138930019,0.330196576,18,1.255272505,neotrop,0.781,foliage glean,insectivore
5080,Bullock's Oriole,186,4.247118888,0.628094418,34.25,1.534660576,neotrop,0.78,foliage glean,insectivore
5011,Western Meadowlark,365,52.58654888,1.72087467,112,2.049218023,short,0.778,ground glean,insct/om
6290,Blue-headed Vireo,180,3.244859608,0.511195911,17,1.230448921,neotrop,0.778,foliage glean,insectivore
4470,Western Kingbird,233,9.774968009,0.990115345,40,1.602059991,neotrop,0.773,hawks,insectivore
3131,Rock Dove,799,10.94572001,1.039244335,369,2.567026366,resid,0.771,ground glean,granivore
5130,Boat-tailed Grackle,35,31.79121105,1.502307072,165.5,2.218797998,resid,0.771,ground glean,omnivore
4670,Least Flycatcher,331,5.649399715,0.752002304,10,1,neotrop,0.77,hover/glean,insectivore
3970,Nuttall's Woodpecker,13,4.979115792,0.697152226,38,1.579783597,resid,0.769,bark glean,insectivore
6680,Townsend's Warbler,56,9.849421769,0.993410735,9,0.954242509,neotrop,0.768,foliage glean,insectivore
6070,Western Tanager,167,9.008911877,0.954672339,28,1.447158031,neotrop,0.766,foliage glean,insectivore
4960,Bronzed Cowbird,17,6.1353125,0.787836688,60,1.77815125,short,0.765,ground glean,insectivore
5590,American Tree Sparrow,17,15.25689866,1.183466262,20,1.301029996,short,0.765,ground glean,insct/om
4020,Yellow-bellied Sapsucker,207,3.563876593,0.551922657,50,1.698970004,short,0.758,bark glean,insectivore
6850,Wilson's Warbler,128,6.519428999,0.81420956,7.5,0.875061263,neotrop,0.758,foliage glean,insectivore
5780,Cassin's Sparrow,53,22.82408918,1.358393456,19,1.278753601,short,0.755,ground glean,insct/om
6730,Prairie Warbler,261,3.359077655,0.526220044,8.25,0.916453949,neotrop,0.755,foliage glean,insectivore
3200,Common Ground-Dove,73,4.870084302,0.687536479,30,1.477121255,resid,0.753,ground glean,granivore
4620,Western Wood-Pewee,262,6.385705239,0.805208868,13,1.113943352,neotrop,0.752,hawks,insectivore
6170,Northern Rough-winged Swallow,777,4.383286983,0.641799906,16,1.204119983,neotrop,0.752,aerial foraging,insectivore
5960,Black-headed Grosbeak,209,6.235867217,0.794896859,42.5,1.62838893,neotrop,0.751,foliage glean,insectivore
7510,Blue-gray Gnatcatcher,542,5.231173762,0.718599146,6,0.77815125,neotrop,0.751,foliage glean,insectivore
6740,Ovenbird,456,12.49436923,1.096714336,19,1.278753601,neotrop,0.739,ground glean,insectivore
6010,Painted Bunting,57,10.0754794,1.003265719,16,1.204119983,neotrop,0.737,ground glean,insct/om
5420,Savannah Sparrow,511,14.68427065,1.16685238,21.33,1.328990855,short,0.734,ground glean,insct/om
6100,Summer Tanager,307,4.785915751,0.679965049,28,1.447158031,neotrop,0.733,foliage glean,insectivore
4750,Black-billed Magpie,209,10.46149244,1.019593646,177.5,2.249198357,resid,0.732,ground glean,omnivore
