"stateroute","mat.point","mat.mean","mat.var","elev.point","elev.mean","elev.var","map.point","map.mean","map.var","evi.point","evi.mean","evi.var"
"42028",179.25,178.307291666667,7.49510995370369,68,68.8125,133.7625,102.833333333333,104.59375,9.07673611111112,7013.1,7578.38755153284,897907.235598366
"42029",203,203.509803921569,2.52507148692811,4,3.23529411764706,2.19117647058824,134.75,133.754901960784,3.89797794117648,6730.775,6122.32334017181,5276419.25746886
"4203",52.5833333333333,49.8106060606061,11.9445646945647,999,1076,16196.0952380952,30.75,31.5795454545455,2.28338443963444,5882.825,5422.62779248048,487091.257210631
"42030",198.083333333333,198.567708333333,1.89186921296296,2,2.5,2.26666666666667,128.833333333333,128.963541666667,1.66571180555555,1758.75,5183.49826803358,9743896.4374997
"42031",196.5,197.666666666667,1.33333333333334,4,2.875,4.65,127.583333333333,126.963541666667,1.52219328703704,7151.85,5648.19616388154,5273699.20924147
"42032",185.916666666667,187.642156862745,8.63000408496733,83,69.7647058823529,792.566176470588,136.75,135.53431372549,6.75959967320261,8178.65,7847.78241027293,293493.627826439
"42033",193.833333333333,194.119791666667,1.98145254629629,12,11,12.8,126.083333333333,126.447916666667,0.617476851851854,6749.2,7561.78642893153,1254781.06475655
"42034",196.166666666667,196.518518518519,2.35911401597676,4,5.72222222222222,18.3300653594771,125.666666666667,125.777777777778,1.10049019607843,6312.425,6232.74629977756,1981122.29722412
"42036",183.083333333333,183.754901960784,1.96915849673202,62,37.5882352941176,196.632352941176,123.333333333333,121.210784313725,3.46451184640523,8087.9,7670.83090080872,647935.218190499
"42037",177.75,179.770833333333,2.5125,90,80,186.666666666667,109.083333333333,109.645833333333,6.40324074074074,7510.2,7637.56151664337,2147913.67305807
"42038",179.666666666667,179.260416666667,2.68877314814815,28,28.6875,3.02916666666667,117.083333333333,116.692708333333,1.37566550925926,6516.925,6881.48469116599,776416.201046157
"42039",172.833333333333,172.18137254902,7.02711397058823,53,46.8823529411765,129.485294117647,112.916666666667,112.436274509804,3.79299428104575,8244.325,7954.48747969348,467537.579595189
"4204",45,36.2971014492754,201.486001317523,1208,1364.13043478261,90407.8458498024,39.0833333333333,42.8297101449275,50.1789635485288,5621.175,6032.41157682671,979130.581411949
"42040",176.5,176.736842105263,9.37983268356075,75,73.4210526315789,118.701754385965,104.916666666667,104.40350877193,7.74943144899285,7687.525,7668.39451198869,750556.622609281
"4205",18,15.6515151515152,130.837722462722,1592,1635,44739.1428571429,55.9166666666667,56.1780303030303,39.374534030784,4663.225,6260.31093989311,1215557.85222615
"42050",200.75,201.401041666667,3.14372106481481,7,4.8125,4.5625,136.333333333333,134.395833333333,2.45509259259261,7420.3,7173.93716036606,2019894.44865348
"42051",197.25,196.754901960784,0.574193218954249,4,5.82352941176471,10.4044117647059,127.166666666667,126.892156862745,2.61524714052288,6861.8,6238.78916345738,4084201.24365301
"42052",198,197.40625,2.32118055555556,1,3.75,7.13333333333333,125.333333333333,125.104166666667,2.33009259259259,6409.4,6133.84129540457,2653177.14028982
"42053",195.916666666667,195.394736842105,4.44432261208577,8,11.6315789473684,58.0233918128655,130.166666666667,131.548245614035,12.4531757634828,7088.38461538462,7308.70391376596,1738264.1102888
"42054",186.583333333333,186.161764705882,8.57158905228759,83,78.4705882352941,642.139705882353,132.416666666667,131.906862745098,4.74295343137255,7800.1,8028.83496147407,378533.234755832
"42055",193.75,194.039215686275,2.02614379084968,15,14.6470588235294,45.7426470588235,124.916666666667,126.151960784314,2.19464869281045,6757.675,6685.9484871473,576033.290843136
"42056",193.75,194.036458333333,8.5962673611111,17,21,218.4,121.25,122.40625,6.84155092592593,8072.3,7260.77241993474,669069.536385886
"42057",186.333333333333,185.513157894737,1.65220922677063,20,30.7368421052632,368.982456140351,121.333333333333,122.109649122807,8.57102826510722,6757.525,7176.15552354165,1001223.01971812
"42058",180.833333333333,181.686274509804,2.46313316993464,58,55.8235294117647,139.529411764706,120.5,120.519607843137,4.55601511437908,8268.175,8075.70437410743,192670.456406758
"42059",180.916666666667,180.838888888889,3.45582010582011,79,84.3333333333333,182.52380952381,111.833333333333,110.95,7.3281746031746,7881.625,7646.60171585251,1954234.29258122
"4206",46.0833333333333,45.4855072463768,7.63866930171278,731,751.869565217391,1110.66403162055,27.1666666666667,27.4746376811594,0.190931049626702,4037.5,4368.30062616128,330060.114636798
"42060",175.916666666667,175.955882352941,2.06781045751634,34,32.2352941176471,6.81617647058824,116.5,116.362745098039,1.20915032679739,6859.925,6732.69767784854,868668.571755964
"42061",173.333333333333,172.421568627451,4.48825571895424,54,60.2352941176471,99.3161764705882,110.416666666667,110.367647058824,2.59987745098039,7622.425,8094.32871399897,247467.34718504
"42062",178.166666666667,179.021929824561,3.10790285899934,62,63.7368421052632,175.315789473684,109.416666666667,110.09649122807,15.1892462638077,7671.275,7740.78435437638,580230.085427775
"4207",47.3333333333333,47.2619047619048,6.17103174603174,782,772.714285714286,403.314285714286,28.5,28.4087301587302,0.513822751322752,6232.7,5053.95056075363,706466.149989717
"4208",48.3333333333333,47.1136363636364,7.39520202020202,796,806.909090909091,1647.80086580087,29,29.4015151515152,1.3284632034632,4734.6,4995.67438605057,659138.487960624
"4209",38.75,38.4930555555556,5.77531199677939,1023,1005.75,2758.71739130435,34.4166666666667,34.2361111111111,2.72383252818035,5858.975,5519.73615792109,418352.924435244
"4210",28.5833333333333,21.6736111111111,217.827244363929,1271,1391.45833333333,97391.9981884058,41.1666666666667,43.2916666666667,34.3665458937198,6155.75,6605.83357287602,713382.083430583
