"comps.5","Family"
5600,"Emberizidae"
5600,"Emberizidae"
5600,"Emberizidae"
5650,"Emberizidae"
5730,"Emberizidae"
5730,"Emberizidae"
5730,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5810,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5850,"Emberizidae"
5880,"Emberizidae"
5880,"Emberizidae"
5880,"Emberizidae"
5880,"Emberizidae"
5880,"Emberizidae"
5880,"Emberizidae"
5880,"Emberizidae"
5880,"Emberizidae"
5880,"Emberizidae"
5880,"Emberizidae"
5880,"Emberizidae"
5900,"Emberizidae"
5930,"Cardinalidae"
5930,"Cardinalidae"
5930,"Cardinalidae"
5930,"Cardinalidae"
5930,"Cardinalidae"
5930,"Cardinalidae"
5930,"Cardinalidae"
5930,"Cardinalidae"
5930,"Cardinalidae"
5930,"Cardinalidae"
5930,"Cardinalidae"
5930,"Cardinalidae"
6050,"Emberizidae"
6130,"Hirundinidae"
6140,"Hirundinidae"
6140,"Hirundinidae"
6220,"Laniidae"
6220,"Laniidae"
6220,"Laniidae"
6220,"Laniidae"
6220,"Laniidae"
6240,"Vireonidae"
6270,"Vireonidae"
6370,"Parulidae"
6460,"Parulidae"
6460,"Parulidae"
6460,"Parulidae"
6460,"Parulidae"
6520,"Parulidae"
6520,"Parulidae"
6570,"Parulidae"
6630,"Parulidae"
6630,"Parulidae"
6710,"Parulidae"
6710,"Parulidae"
6710,"Parulidae"
6720,"Parulidae"
6720,"Parulidae"
6720,"Parulidae"
6750,"Parulidae"
6750,"Parulidae"
6760,"Parulidae"
6770,"Parulidae"
6810,"Parulidae"
6810,"Parulidae"
6810,"Parulidae"
6810,"Parulidae"
6810,"Parulidae"
6810,"Parulidae"
6810,"Parulidae"
6810,"Parulidae"
6810,"Parulidae"
6810,"Parulidae"
6870,"Parulidae"
6880,"Parulidae"
7030,"Mimidae"
7030,"Mimidae"
7030,"Mimidae"
7030,"Mimidae"
7030,"Mimidae"
7150,"Troglodytidae"
7150,"Troglodytidae"
7210,"Troglodytidae"
7210,"Troglodytidae"
7210,"Troglodytidae"
7210,"Troglodytidae"
7210,"Troglodytidae"
7210,"Troglodytidae"
7260,"Certhiidae"
7260,"Certhiidae"
7260,"Certhiidae"
7260,"Certhiidae"
7260,"Certhiidae"
7260,"Certhiidae"
7260,"Certhiidae"
7260,"Certhiidae"
7260,"Certhiidae"
7280,"Sittidae"
7280,"Sittidae"
7330,"Paridae"
7330,"Paridae"
7331,"Paridae"
7350,"Paridae"
7380,"Paridae"
7380,"Paridae"
7380,"Paridae"
7380,"Paridae"
7380,"Paridae"
7380,"Paridae"
7380,"Paridae"
7410,"Paridae"
7410,"Paridae"
7410,"Paridae"
7410,"Paridae"
7430,"Aegithalidae"
7430,"Aegithalidae"
7430,"Aegithalidae"
7430,"Aegithalidae"
7430,"Aegithalidae"
7430,"Aegithalidae"
7430,"Aegithalidae"
7480,"Regulidae"
7480,"Regulidae"
7480,"Regulidae"
7480,"Regulidae"
7480,"Regulidae"
7490,"Regulidae"
7490,"Regulidae"
7490,"Regulidae"
7490,"Regulidae"
7510,"Sylviidae"
7510,"Sylviidae"
7510,"Sylviidae"
7540,"Turdidae"
7540,"Turdidae"
7580,"Turdidae"
7580,"Turdidae"
7580,"Turdidae"
7590,"Turdidae"
7590,"Turdidae"
7590,"Turdidae"
7590,"Turdidae"
7590,"Turdidae"
7590,"Turdidae"
