"FocalAOU","ENV","COMP","SHARED","NONE","n","CommonName","migclass","Trophic.Group","Long","Lat","COMPSC"
4480,0.224592016838822,0.0602391326919446,0.00536134664822549,0.709807503821008,153,"Cassin's Kingbird","neotrop","insectivore",-105.6139995,28.39932841,0.211490677164991
4520,0.0787782286395698,0.195118480266439,0.0301448461599126,0.695958444934078,1731,"Great Crested Flycatcher","neotrop","insectivore",-88.69156637,40.47408231,0.712379791074439
4540,0.0889900176482019,0.105708021568042,-0.0428903481571567,0.848192308940913,336,"Ash-throated Flycatcher","neotrop","insectivore",-108.9659241,33.85787307,0.542933159437913
4560,0.0345865711428852,0.281352128434863,0.0653214159803208,0.618739884441931,1641,"Eastern Phoebe","short","insectivore",-87.20084996,35.05338052,0.890527589088927
4570,0.093338397129911,0.0031593879362508,-0.0025741058283383,0.906076320762176,534,"Say's Phoebe","short","insectivore",-115.3711285,48.70139884,0.0327405228429298
4590,0.116938643417426,0.0192062570320434,0.00417319554168671,0.859681904008843,576,"Olive-sided Flycatcher","neotrop","insectivore",-106.1363264,52.20212542,0.141072173607941
4610,0.0216609395034006,0.205755543968851,0.175106050812769,0.59747746571498,1659,"Eastern Wood-Pewee","neotrop","insectivore",-87.15105605,40.06097272,0.904752113071682
4620,0.0180699986280499,0.331230128612535,0.09531492871733,0.555384944042085,711,"Western Wood-Pewee","neotrop","insectivore",-112.3213644,44.0537733,0.948267987272722
4640,0.0903934499899807,0.0670611586399971,0.00574626837993475,0.836799122990087,171,"Cordilleran Flycatcher","neotrop","insectivore",-108.8232392,36.98518987,0.425907880521887
4641,0.0689180064624376,0.148629171207763,0.27738925074533,0.505063571584469,192,"Pacific-slope Flycatcher","neotrop","insectivore",-122.9585642,48.60365632,0.683204318251756
4650,0.1165552039025,0.161782465044165,0.00227572523351088,0.719386605819825,918,"Acadian Flycatcher","neotrop","insectivore",-88.25699197,36.73572201,0.581245311338602
4660,0.153331364741433,0.0320834640614929,-0.0152749848277883,0.829860156024863,1191,"Willow Flycatcher","neotrop","insectivore",-102.4444408,42.61092594,0.173036128062842
4670,0.112316548251665,0.261967719414316,0.215114242371312,0.410601489962707,903,"Least Flycatcher","neotrop","insectivore",-99.48598955,52.16586415,0.699916459347689
4680,0.180247885911124,0.0713235197087987,0.00774512011069792,0.740683474269379,303,"Hammond's Flycatcher","neotrop","insectivore",-120.4022873,50.10352956,0.283512029250873
4690,0.0637604209016952,0.0396895014747754,0.0302515778760568,0.866298499747473,321,"Dusky Flycatcher","neotrop","insectivore",-115.0762483,43.94339553,0.383659074487644
4691,0.0605978297497934,0.000134912219142608,0.000326917902219914,0.938940340128844,135,"Gray Flycatcher","neotrop","insectivore",-112.9449919,39.55080667,0.00222140833377182
4750,0.241244326389514,0.20176343772908,-0.0462768321341643,0.60326906801557,564,"Black-billed Magpie","resid","omnivore",-110.9461829,49.26823676,0.455439958553566
4770,0.348666237800004,0.033673776147374,0.00801355537936709,0.609646430673255,1872,"Blue Jay","short","omnivore",-96.43775794,53.04165129,0.0880728537924065
4780,0.128714503932297,0.108834431722118,0.0794225441157753,0.683028520229809,357,"Steller's Jay","resid","omnivore",-112.274993,40.00155086,0.458155838174118
4810,0.117138352296574,0.167794464740954,0.193295121841939,0.521772061120532,108,"Western Scrub-Jay","resid","omnivore",-109.8132447,34.56558907,0.588891327034661
4840,0.072460466910801,0.00201823391280442,0.0289009697314796,0.896620329444915,324,"Gray Jay","resid","omnivore",-101.0574417,57.03968652,0.0270981353123276
4880,0.14257335071103,0.073087458342597,0.292866147986484,0.491473042959889,2355,"American Crow","short","omnivore",-96.98519799,46.06061471,0.338900047084693
4900,0.0969222568334724,0.175848703174286,0.125261125370895,0.601967914621347,558,"Fish Crow","short","omnivore",-84.53801171,33.75969016,0.644675309898401
4910,0.0793411294265947,0.00487472762844751,-0.000354340918517905,0.916138483863476,246,"Clark's Nutcracker","resid","omnivore",-113.5178228,42.85694088,0.0578837264015666
4940,0.13937177271581,0.115596011575443,0.124739140573976,0.62029307513477,906,"Bobolink","neotrop","insct/om",-92.69807937,46.45183822,0.453374970084048
4950,0.162857694343251,0.00851690751359085,-0.0060334442096128,0.834658842352771,2568,"Brown-headed Cowbird","short","insectivore",-100.1721058,41.744123,0.0496976064207313
4970,0.155790599515429,0.123780023333573,-0.0451771713824853,0.765606548533484,447,"Yellow-headed Blackbird","neotrop","insectivore",-107.6039972,46.00742704,0.442750465239073
4980,0.0628130529017375,0.105893323672623,0.0910261642538893,0.74026745917175,2508,"Red-winged Blackbird","short","insectivore",-101.1606586,53.86131669,0.627678252730114
5010,0.127115303365341,0.201089568684767,-0.0543212014984883,0.726116329448381,1638,"Eastern Meadowlark","short","insct/om",-81.12351507,38.57730777,0.612695257778094
5011,0.108301729666623,0.0908924489508326,0.230489958350612,0.570315863031932,1062,"Western Meadowlark","short","insct/om",-106.777263,42.22455657,0.456300729176367
5060,0.145579671720772,0.108987327338876,0.0869842591635245,0.658448741776827,1356,"Orchard Oriole","neotrop","insct/om",-92.83755827,36.6176325,0.428128263842003
5070,0.219961536788308,0.0311502896381259,0.0531134292442187,0.695774744329347,1425,"Baltimore Oriole","neotrop","insectivore",-99.71622879,40.7080677,0.124049472625105
5080,0.124603909581906,0.00303379711604804,-0.00238036658247323,0.874742659884519,546,"Bullock's Oriole","neotrop","insectivore",-109.9489642,37.96233959,0.0237688156151795
5100,0.144020857280562,0.121284137593987,0.0325237081128481,0.702171297012603,786,"Brewer's Blackbird","short","insectivore",-110.2630263,46.53335213,0.457149846166057
5110,0.202522680173484,0.0459435284026971,0.101461540404644,0.650072251019175,2034,"Common Grackle","short","omnivore",-93.12699833,44.46903322,0.184908558254152
5120,0.0538096110485899,0.115849652579478,0.173241950057707,0.657098786314225,327,"Great-tailed Grackle","resid","omnivore",NA,NA,0.682837176715839
5170,0.00931981816091287,0.220927515971811,0.0250740451756769,0.7446786206916,684,"Purple Finch","short","granivore",-97.08660739,51.7743838,0.959522579507737
5180,0.0521739783498118,0.241985406270842,0.0288928029988315,0.676947812380514,270,"Cassin's Finch","short","granivore",-113.864327,42.89605126,0.822633643264195
5190,0.123785120590181,0.060515107136608,-0.0158481813820381,0.831547953655249,2139,"House Finch","short","granivore",-99.85021099,36.69147829,0.328350691060007
5210,0.206403884572315,0.0792449404430519,0.0778194307557264,0.636531744228907,417,"Red Crossbill","short","granivore",-83.58192055,43.44592975,0.277420852120743
5220,0.350508190590574,0.000434639820608818,0.0934863167511481,0.555570852837669,141,"White-winged Crossbill","short","granivore",-71.77765249,47.49765818,0.00123849180819443
5290,0.226640658498864,0.0417453116923408,0.214987548075965,0.516626481732831,2013,"American Goldfinch","short","granivore",-96.41104244,44.85975904,0.15554207868094
5300,0.158007024421319,0.0533176592438152,0.076524414057748,0.712150902277118,312,"Lesser Goldfinch","short","granivore",-107.0070641,31.47929129,0.252302089462974
5330,0.136720999299712,0.00738484414104681,0.0035718188378131,0.852322337721428,666,"Pine Siskin","short","granivore",-104.5273878,50.00033271,0.0512459728538536
5400,0.155513879146905,0.113051304062407,0.101888396006732,0.629546420783955,1122,"Vesper Sparrow","short","insct/om",-101.192708,46.37660914,0.42094549528521
5460,0.179097745361567,0.242369898807629,-0.0640242642196484,0.642556620050452,1293,"Grasshopper Sparrow","neotrop","insct/om",-93.87830937,40.37773975,0.575061697287328
5480,0.124745796638998,0.12161485122259,0.150481366608967,0.603157985529444,159,"Le Conte's Sparrow","short","insct/om",-99.84442288,53.04582761,0.493645605652558
5520,0.0684643926476462,0.1450417534853,0.175439674881809,0.611054178985245,903,"Lark Sparrow","neotrop","insct/om",-103.2900547,38.64434515,0.679332919039179
5540,0.33941629142678,0.0162545060184833,-0.00453705982946916,0.648866262384205,327,"White-crowned Sparrow","short","insct/om",-110.6375379,59.26881309,0.0457009856733735
5580,0.0536005271435246,0.152568735967202,0.201222980504907,0.592607756384367,399,"White-throated Sparrow","short","insct/om",-91.26839301,54.36905587,0.740016885471732
5600,0.140210829131295,0.0951995196354387,0.128375775689441,0.636213875543826,2187,"Chipping Sparrow","neotrop","insct/om",-96.5710521,31.51142141,0.404398192917896
5610,0.0909326016053443,0.128499049337382,0.37441052552674,0.406157823530534,408,"Clay-colored Sparrow","neotrop","insct/om",-103.1540621,51.66009864,0.585599428274462
5620,0.0644590252216688,0.105795918075791,-0.00296788914216388,0.832712945844704,327,"Brewer's Sparrow","neotrop","insct/om",NA,NA,0.621397041558731
5630,0.111598061121587,0.124455867944547,0.0925201642699482,0.671425906663917,1422,"Field Sparrow","short","insct/om",-89.72397299,39.32832843,0.527234892623537
5730,0.373136147162515,0.0717713935455709,0.0136512704158403,0.541441188876074,210,"Black-throated Sparrow","short","insct/om",-108.2829355,32.23135203,0.161317547981642
5780,0.101580211178318,0.289276588470784,0.177564976604394,0.431578223746504,204,"Cassin's Sparrow","short","insct/om",-103.3247241,31.83414909,0.740108880619415
5810,0.060370049318534,0.183005612919604,0.195947799212104,0.560676538549757,1893,"Song Sparrow","short","insct/om",-102.078522,48.37799185,0.751947056811855
5840,0.0746778341875793,0.02072713150713,0.0157052547884122,0.888889779516879,624,"Swamp Sparrow","short","insct/om",-90.10416394,51.74931367,0.217254221058636
5850,0.126238160635323,0.0312172034080594,0.0305440243126117,0.812000611644006,249,"Fox Sparrow","short","insct/om",-115.0350793,58.19774317,0.198260653726972
5870,0.230159477800767,0.0829205386450331,0.0803173024219116,0.606602681132288,1428,"Eastern Towhee","short","insct/om",-99.01360879,40.8156397,0.264854140441085
5880,0.0727563273001061,0.0835780661262608,-0.00681253918032072,0.850478145753954,513,"Spotted Towhee","short","insct/om",-111.1116447,41.08915792,0.534610870292121
5900,0.0366411449591803,0.234504533147863,0.0110069879587913,0.717847333934165,264,"Green-tailed Towhee","neotrop","insct/om",-112.3244769,39.77282899,0.864865465623557
5930,0.258981715766551,0.154214755542683,0.0379027934754071,0.548900735215359,1677,"Northern Cardinal","resid","insct/om",-93.23584073,34.80336765,0.373223796064971
5950,0.236152205821089,0.0880550706745766,-0.0345324262636966,0.710325149768031,1053,"Rose-breasted Grosbeak","neotrop","insectivore",-93.61998242,47.34020211,0.271601154750004
5960,0.0950567636020503,0.138336892084069,0.0200758029896254,0.746530541324255,555,"Black-headed Grosbeak","neotrop","insectivore",-109.1310033,38.46371499,0.592719162298533
5970,0.302917387712826,0.020509759265016,-0.0203431613555297,0.696916014377688,1128,"Blue Grosbeak","neotrop","insectivore",-98.39442108,33.77068122,0.0634138459206739
5980,0.285774684817595,0.0989092276597481,0.15684817475578,0.458467912766876,1698,"Indigo Bunting","neotrop","insct/om",-92.60470444,39.21087168,0.257118180541469
5990,0.13549499116821,0.00405455139122257,-0.00389118882603419,0.864341646266602,420,"Lazuli Bunting","neotrop","insct/om",NA,NA,0.0290545659760639
6010,0.0855394432325906,0.142556678457414,0.222384573628687,0.549519304681309,240,"Painted Bunting","neotrop","insct/om",-97.22078346,32.27761552,0.624985104530433
6040,0.343352728729878,0.170924180891054,-0.0389022489163597,0.524625339295428,882,"Dickcissel","neotrop","insct/om",-94.42699395,39.75786149,0.332358263988637
6050,0.126295194789689,0.305168247046463,0.321828855119822,0.246707703044026,210,"Lark Bunting","neotrop","insct/om",-103.345485,43.2058067,0.707286452237477
6070,0.137321525225895,0.00439482307139827,0.022971887216959,0.835311764485747,528,"Western Tanager","neotrop","insectivore",-114.8554686,47.7669958,0.0310114049945654
6080,0.120697215939733,0.0251848062515901,0.0118217373964421,0.842296240412235,1194,"Scarlet Tanager","neotrop","insectivore",-85.07489311,41.70992541,0.172638176200769
6100,0.299965085567775,0.000927618355237692,0.0302499168981512,0.668857379178836,798,"Summer Tanager","neotrop","insectivore",-94.240753,33.76118106,0.003082887498246
6120,0.0133318654478823,0.341226449247273,0.0248268256527149,0.62061485965213,1770,"Cliff Swallow","neotrop","insectivore",-95.49298245,50.20935302,0.96239866646663
6130,0.186409066773018,0.0220475712029163,0.0997174981780671,0.691825863845998,2466,"Barn Swallow","neotrop","insectivore",-96.14967314,55.229607,0.105765743019714
6140,0.173467488828681,0.0663723181137255,0.0534630420286002,0.706697151028993,1977,"Tree Swallow","short","insectivore",-102.2405316,52.57733147,0.27673603877468
6150,0.133195480224024,0.0760887749762586,0.0439837216389312,0.746732023160786,579,"Violet-green Swallow","neotrop","insectivore",-115.1519154,44.11768261,0.363566647206415
6160,0.0652029043867475,0.112456196967994,-0.0184717810784661,0.840812679723725,843,"Bank Swallow","neotrop","insectivore",-93.42022529,39.7608268,0.632988662615413
6170,0.0753235515599856,0.00142151749227698,-0.00135168540637447,0.924606616354112,1986,"Northern Rough-winged Swallow","neotrop","insectivore",-100.0498416,41.14835092,0.0185225905694207
6190,0.241631334305736,0,0,0.758368665694264,1695,"Cedar Waxwing","short","insct/om",-97.51646638,48.65486863,0
6220,0.0825351946918896,0,0,0.91746480530811,906,"Loggerhead Shrike","short","insectivore",NA,NA,0
6240,0.0755135613334058,0.342171476710318,0.0615050185175893,0.520809943438687,1869,"Red-eyed Vireo","neotrop","insectivore",-94.68245625,45.4945474,0.819209321724613
6270,0.116973301382495,0.157289739214028,0.0130471978871308,0.712689761516346,1686,"Warbling Vireo","neotrop","insectivore",-101.4429632,43.7429804,0.573499582269351
6280,0.0292673528071698,0.014411004812359,0.00748936705876997,0.948832275321701,1209,"Yellow-throated Vireo","neotrop","insectivore",-86.53152059,38.76950109,0.32993467698327
6290,0.0353007555111148,0.167436067732904,-0.0208739156323887,0.81813709238837,612,"Blue-headed Vireo","neotrop","insectivore",-89.80650978,51.39366762,0.825878915599729
6291,0.223862105852938,0.0276074759059146,0.0830108640067275,0.66551955423442,207,"Plumbeous Vireo","neotrop","insectivore",-108.0346247,33.84114348,0.109784554111156
6292,0.171600693002661,0.00582506678216982,0.0391463485346293,0.78342789168054,180,"Cassin's Vireo","neotrop","insectivore",-119.5863361,44.9436366,0.0328310093710972
6310,0.152075685435841,0.0518788321675389,0.231272417651516,0.564773064745104,912,"White-eyed Vireo","neotrop","insectivore",-89.1632195,34.74751548,0.254364712177766
6330,0.257615078347718,0.000301650601973791,0.0513700315739726,0.690713239476335,348,"Bell's Vireo","neotrop","insectivore",-100.2379633,34.69690596,0.00116956586415389
6360,0.0548817960696073,0.000431292684069967,0.00859597061184892,0.936090940634474,993,"Black-and-white Warbler","neotrop","insectivore",-80.29939736,48.06841713,0.00779729886339596
6370,0.294567458451096,0.0434399896078299,-0.0428811504514405,0.704873702392514,405,"Prothonotary Warbler","neotrop","insectivore",-88.34150783,36.30448666,0.128517847335295
6380,0.257651973528447,0.000609508900767886,0.0115248147624159,0.730213702808369,168,"Swainson's Warbler","neotrop","insectivore",-87.81893706,33.48181407,0.00236004569878105
6390,0.0357217542182867,0.0986676355480941,0.0240296944380737,0.841580915795545,453,"Worm-eating Warbler","neotrop","insectivore",-85.99506794,36.42833232,0.734192154005725
6410,0.0775719669880997,0.0109216618760136,-0.00360667077723238,0.915113041913119,498,"Blue-winged Warbler","neotrop","insectivore",-85.94866945,39.98619955,0.123417493623009
6450,0.165023729424759,0.458460280603869,-0.12903595336196,0.505551943333333,468,"Nashville Warbler","neotrop","insectivore",-88.40761316,48.77880553,0.735320029430777
6460,0.191654817952854,0.0976135074273718,0.0261741119984637,0.68455756262131,444,"Orange-crowned Warbler","neotrop","insectivore",-112.6035395,55.35478545,0.337449692423339
6480,0.0725579172919696,0.0939996989428192,-0.0145642717497291,0.84800665551494,1134,"Northern Parula","neotrop","insectivore",-84.78002859,39.60775671,0.56436746074891
6520,0.183666776282346,0.0743082142366741,0.0105301138939598,0.73149489558702,1962,"Yellow Warbler","neotrop","insectivore",-90.18842108,41.64905928,0.288044256100846
6540,0.115308309599019,0.149935749166505,-0.0121812641196792,0.746937205354156,336,"Black-throated Blue Warbler","neotrop","insectivore",-76.92698085,44.86052814,0.565274675196584
6570,0.0320494667258207,0.274201996988105,0.040898599831517,0.652849936454558,402,"Magnolia Warbler","neotrop","insectivore",-91.75153772,52.64156432,0.895349180254829
6590,0.0914816176184319,0.227790984706899,0.230656847615134,0.450070550059536,651,"Chestnut-sided Warbler","neotrop","insct/om",-82.8254295,47.56134375,0.713468625393624
6620,0.125735060728183,0.276205756644502,-0.0220410906031417,0.620100273230456,399,"Blackburnian Warbler","neotrop","insct/om",-81.5495005,47.15935102,0.687180163611998
6630,0.117210741960796,0.0562848750178745,-0.016239516129415,0.842743899150744,531,"Yellow-throated Warbler","neotrop","insectivore",-87.15521213,35.33599476,0.324416697078833
6650,0.0879976456676403,0.0863361607650793,-0.014672289104584,0.840338482671865,231,"Black-throated Gray Warbler","neotrop","insectivore",-114.6805499,39.84374424,0.495234759865115
6670,0.0311419282133756,0.396801008770777,0.0236368657885411,0.548420197227307,573,"Black-throated Green Warbler","neotrop","insectivore",-83.09036331,49.41248287,0.927228783274605
6710,0.0191396246291232,0.267806712576332,0.0922227439369629,0.620830918857582,915,"Pine Warbler","short","insct/om",-83.61550402,38.05201207,0.933298940786203
6730,0.0805464334921591,0.0888716931462298,0.100854557742652,0.729727315618959,690,"Prairie Warbler","neotrop","insectivore",-84.45022544,35.61712422,0.524570156155251
6740,0.0172830709395034,0.289550814831514,0.0714674695352512,0.621698644693731,1146,"Ovenbird","neotrop","insectivore",-66.12478357,48.79722903,0.943672874017567
6760,0.112593722714495,0.00636346915201876,0.000636294701392611,0.880406513432094,681,"Louisiana Waterthrush","neotrop","insectivore",-86.1896586,37.78669429,0.0534937741230429
6770,0.132603434219828,0.00872199316671712,0.0583925786284829,0.800281993984972,672,"Kentucky Warbler","neotrop","insectivore",-86.67459012,36.26318092,0.0617156680719688
6790,0.129660321898573,0.213324653919554,0.198172571571852,0.458842452610021,426,"Mourning Warbler","neotrop","insectivore",-87.24267614,50.47174987,0.621965010014527
6800,0.174179867702018,0.0897456385585658,0.050765333271769,0.685309160467647,342,"MacGillivray's Warbler","neotrop","insectivore",-117.1346291,46.97589439,0.340041551232098
6810,0.308822777699034,0.0126940964747755,0.0388843975431896,0.639598728283001,2256,"Common Yellowthroat","neotrop","insectivore",-82.67955431,36.50908497,0.0394818981348803
6830,0.283106144324659,0.000701855408116014,0.0253486344930659,0.690843365774159,1182,"Yellow-breasted Chat","neotrop","insct/om",NA,NA,0.00247299374498556
6840,0.0703787898306414,0.21449434466319,0.0430286923629993,0.67209817314317,678,"Hooded Warbler","neotrop","insectivore",-85.50920954,36.00377252,0.752946904046631
6850,0.0386469942212569,0.26041728557979,0.0320702905703655,0.668865429628588,447,"Wilson's Warbler","neotrop","insectivore",-106.6034473,58.61291086,0.870773620149598
6860,0.101775131571509,0.00400858063294714,-0.00339041461997976,0.897606702415524,321,"Canada Warbler","neotrop","insectivore",-85.58542587,50.11411084,0.0378941195143488
6870,0.156085450494863,0.000722413754974449,0.066314023906091,0.776878111844072,1140,"American Redstart","neotrop","insectivore",-77.54148303,48.3978366,0.00460699951772476
6882,0.173859795863008,0.000997610973918955,0.00833289806152752,0.816809695101545,2229,"House Sparrow","resid","insct/om",-77.44637353,36.30553771,0.00570528290431146
7020,0.0861862366252025,0.142329715416948,-0.000666144100506499,0.772150192058356,219,"Sage Thrasher","short","insectivore",-111.9406454,42.60987779,0.622843675222703
7030,0.120765108038781,0.119859474495056,0.321311017064408,0.438064400401755,1614,"Northern Mockingbird","resid","insectivore",-98.76015229,37.95755311,0.498118160800137
7040,0.273421103591026,0.0796146254821622,0.119207451748933,0.527756819177879,1899,"Gray Catbird","neotrop","insct/om",-94.4585613,42.82362332,0.225514357119523
7050,0.310131323828855,0.0427722591511359,-0.00369984612779054,0.6507962631478,1788,"Brown Thrasher","short","omnivore",-92.10086808,41.5463572,0.121200977303654
7150,0.0813360152627626,0.0732608177559187,0.0425466314566885,0.80285653552463,474,"Rock Wren","short","insectivore",-107.972073,36.49118615,0.473883043561869
7180,0.0168932928825875,0.14510245355737,0.44821606194878,0.389788191611263,1278,"Carolina Wren","resid","insectivore",-88.51392018,34.34245151,0.895717676211648
7190,0.098923979834241,0.120834446043918,0.0491329087327587,0.731108665389082,414,"Bewick's Wren","short","insectivore",-105.5389866,33.29145929,0.549851253989745
7210,0.0724649658551142,0.184196166217304,0.201334438486363,0.542004429441218,1884,"House Wren","neotrop","insectivore",-99.58754407,39.95958024,0.717662876065442
7221,0.0735029478994336,0.208595121753576,0.21304564468254,0.50485628566445,168,"Pacific Wren","short","insectivore",-122.9843288,51.08346344,0.739441861513464
7222,0.0740243604135493,0.386109409304736,0.143527778481738,0.396338451799977,411,"Winter Wren","short","insectivore",-85.0659619,50.46738033,0.839124260627794
7240,0.154160288939785,0.186119635021773,0.193422498074388,0.466297577964054,414,"Sedge Wren","short","insectivore",-92.44719179,42.36151241,0.546960375607699
7260,0.00770016380388996,0.0988808219809122,0.00467611876672512,0.888742895448473,645,"Brown Creeper","short","insectivore",-96.00794415,41.77900693,0.927752931283284
7270,0.0707816098361894,0.00480355463595389,0.0566125418076971,0.86780229372016,1782,"White-breasted Nuthatch","resid","insectivore",-99.02557571,40.62683172,0.0635515536613567
7280,0.0245709832827425,0.216224119386279,0.0175964962811208,0.741608401049857,876,"Red-breasted Nuthatch","short","insectivore",-102.4266541,50.64648293,0.897958957593436
7290,0.125838075691065,0.0497238949150942,-0.0200250825104793,0.84446311190432,300,"Brown-headed Nuthatch","resid","insectivore",-86.05318702,32.60810722,0.283227026578783
7310,0.115565484575594,0.089228865765915,0.165996027351895,0.629209622306597,1377,"Tufted Titmouse","resid","insectivore",-86.97455285,36.95415646,0.435699840435636
7350,0.262600705642257,0.00775149633559241,0.0581914763993331,0.671456321622818,1344,"Black-capped Chickadee","resid","insectivore",-101.7426913,50.46541722,0.0286718446488833
7360,0.216373832087463,0.0990357715952287,-0.0288287026536114,0.71341909897092,840,"Carolina Chickadee","resid","insectivore",-88.57610135,34.99631879,0.313990983276656
7380,0.0364832421891462,0.0144112212364227,0.0830319979272197,0.866073538647211,333,"Mountain Chickadee","resid","insectivore",-114.3727328,43.98876652,0.283158918798673
7430,0.432469972556772,0.0928345051382378,0.00966169897763001,0.46503382332736,279,"Bushtit","resid","insectivore",-108.6770411,33.41455367,0.176725135764286
7480,0.0461017929424781,0.00649221000634968,-0.00436300346596162,0.951769000517134,480,"Golden-crowned Kinglet","short","insectivore",-102.7526844,50.29885397,0.123440119449862
7510,0.221789778352455,0.00455668299565487,0.00778387576518475,0.765869662886705,1485,"Blue-gray Gnatcatcher","neotrop","insectivore",-96.4474155,33.89745982,0.0201314523254106
7540,0.186349728563869,0.0113666545483233,0.0381769347778523,0.764106682109956,288,"Townsend's Solitaire","short","insectivore",-117.7890884,48.55018628,0.057489694932733
7550,0.150791635263597,0.157295546076135,0.0419904858215077,0.64992233283876,1443,"Wood Thrush","neotrop","insectivore",-84.27844529,39.95232194,0.510555309026905
7560,0.0920631316381034,0.342580582296293,0.067562612380111,0.497793673685493,774,"Veery","neotrop","insectivore",-94.43891372,48.17642901,0.788187131927556
7580,0.0726217695517792,0.168679716005124,0.0698591102335213,0.688839404209576,552,"Swainson's Thrush","neotrop","insectivore",-103.2806637,55.47445147,0.699041349106598
7590,0.0343137431363052,0.000892381818619267,-0.000219203897695776,0.965013078942771,852,"Hermit Thrush","short","insectivore",-98.60593408,44.55013716,0.0253473456610693
7610,0.220078525845319,0.0266870576918044,0.0883244739418167,0.66490994252106,2457,"American Robin","short","insct/om",-101.5215888,49.95512665,0.108147405765722
7660,0.289014701001986,0.0782598628308089,-0.000379291613295876,0.633104727780501,1746,"Eastern Bluebird","short","insectivore",-89.88601734,37.7392722,0.213082719407809
7670,0.241416764829397,0.0159162592801009,0.0635234515683109,0.679143524322191,249,"Western Bluebird","short","insectivore",-109.7164669,34.72098316,0.0618508228206589
