Focal,Estimate,P,R2,envr2,bothp,bothr2,Comp
Eastern Towhee,-4.671996361,6.34E-80,0.314383474,0.310476759,7.83E-20,0.368487551,Savannah Sparrow
Spotted Towhee,-2.735986864,1.92E-07,0.076765528,0.065943706,2.05E-08,0.149521779,Green-tailed Towhee
Green-tailed Towhee,-4.764049867,2.72E-12,0.245511521,0.047647936,4.45E-12,0.28215257,Spotted Towhee
Northern Cardinal,-5.531647029,1.07E-143,0.442338359,0.29688448,1.34E-91,0.514658895,Rose-breasted Grosbeak
Rose-breasted Grosbeak,-4.887181262,7.03E-32,0.179123431,0.201619736,1.62E-13,0.26170086,Blue Grosbeak
Black-headed Grosbeak,-3.771158858,2.58E-11,0.113974783,0.115132385,5.81E-07,0.17388285,Blue Grosbeak
Blue Grosbeak,-5.224613891,1.23E-22,0.120064193,0.282574181,3.23E-17,0.347922009,Rose-breasted Grosbeak
Indigo Bunting,-8.41728119,5.43E-38,0.136706342,0.442622829,0.000383106,0.448834167,Pyrrhuloxia
Lazuli Bunting,-0.12700069,0.831385499,0.000163363,0.131603671,0.257904855,0.135658225,Black-headed Grosbeak
Painted Bunting,-6.061755178,3.22E-18,0.381755954,0.307921855,1.12E-11,0.487489548,Blue Grosbeak
Dickcissel,-3.410713668,4.17E-18,0.12058606,0.304450365,3.29E-41,0.490289511,Blue Grosbeak
Lark Bunting,-5.720092431,4.27E-16,0.381656556,0.448121324,6.43E-18,0.68384242,Lark Sparrow
Western Tanager,-3.873371159,0.001844664,0.027366712,0.160293219,0.178148718,0.164688006,Hepatic Tanager
Scarlet Tanager,-1.843237658,4.50E-08,0.037006544,0.132518934,1.41E-06,0.157703746,Summer Tanager
Summer Tanager,-5.313461503,1.32E-05,0.035213778,0.330214874,0.218543853,0.332141672,Hepatic Tanager
Cliff Swallow,-4.481342046,5.64E-76,0.250952148,0.03815869,1.06E-76,0.282283066,Barn Swallow
Barn Swallow,-4.493178419,1.48E-78,0.193053834,0.286126555,7.02E-38,0.354761252,Violet-green Swallow
Tree Swallow,-4.94479045,7.26E-67,0.202959856,0.226930517,9.04E-60,0.368781866,Northern Rough-winged Swallow
Violet-green Swallow,-3.133822011,2.64E-10,0.098867087,0.177179134,1.87E-10,0.260650412,Barn Swallow
Bank Swallow,-2.387633485,1.60E-16,0.11451151,0.046731101,1.13E-26,0.2239931,Tree Swallow
Northern Rough-winged Swallow,-0.884619347,2.64E-08,0.023151723,0.073971863,6.97E-13,0.109507493,Tree Swallow
Red-eyed Vireo,-4.818801553,2.62E-100,0.30476397,0.137018573,8.59E-129,0.46079542,Warbling Vireo
Warbling Vireo,-4.547660797,7.57E-34,0.122902045,0.130020495,1.73E-49,0.284661622,Blue-headed Vireo
Yellow-throated Vireo,-1.923002829,8.15E-16,0.077519542,0.036756717,1.42E-23,0.150155959,Warbling Vireo
Blue-headed Vireo,-5.288145939,1.88E-38,0.339421384,0.014426831,1.67E-40,0.366629816,Yellow-throated Vireo
Plumbeous Vireo,-4.708474384,6.73E-05,0.110618357,0.306870268,0.020780747,0.334478494,Warbling Vireo
Cassin's Vireo,-1.517951026,0.028277625,0.040117346,0.210745511,0.341064968,0.217023408,Warbling Vireo
White-eyed Vireo,-5.767525444,1.26E-60,0.359534275,0.383347986,1.68E-35,0.523140243,Warbling Vireo
Bell's Vireo,-2.521957042,8.79E-06,0.082487522,0.308983564,0.407963862,0.311078634,Yellow-throated Vireo
Black-and-white Warbler,-3.385767714,1.59E-12,0.072925331,0.063477761,9.57E-08,0.103266515,Prothonotary Warbler
Prothonotary Warbler,-1.870680999,0.000379027,0.046127415,0.251686141,6.22E-08,0.330416508,Black-and-white Warbler
Swainson's Warbler,-0.308473612,0.574491019,0.002874601,0.269176375,0.482690514,0.272581964,Louisiana Waterthrush
Worm-eating Warbler,-4.617074398,4.19E-13,0.16093332,0.059751431,8.35E-13,0.209322397,Common Yellowthroat
Blue-winged Warbler,-0.685176516,0.011830127,0.019045819,0.073965244,0.034723199,0.08656365,Pine Warbler
Nashville Warbler,-6.755527207,3.78E-54,0.539581915,0.035987738,3.47E-54,0.560880955,Yellow Warbler
Orange-crowned Warbler,-4.924858183,4.44E-22,0.2723677,0.217828857,8.41E-18,0.393945043,Yellow Warbler
Northern Parula,-6.191436911,3.68E-53,0.268456572,0.057993642,2.47E-48,0.291413023,Common Yellowthroat
Yellow Warbler,-5.235873217,3.15E-87,0.259335241,0.194196879,3.24E-40,0.296235445,Yellow-breasted Chat
Black-throated Blue Warbler,-5.26357262,1.16E-10,0.170952118,0.103126993,4.50E-12,0.28037538,American Redstart
Magnolia Warbler,-10.22041403,5.93E-28,0.363919625,0.072947983,2.89E-24,0.375453689,American Redstart
Chestnut-sided Warbler,-6.02139207,4.15E-42,0.348491488,0.322138383,3.32E-47,0.583517738,Yellow Warbler
Blackburnian Warbler,-6.816704172,2.57E-36,0.451725069,0.103693869,1.17E-35,0.507417436,Yellow Warbler
Yellow-throated Warbler,-1.355449204,0.004256597,0.02297783,0.100971143,6.24E-07,0.162984908,Prothonotary Warbler
Black-throated Gray Warbler,-2.691922998,0.000307353,0.082379523,0.073324854,4.22E-05,0.172911582,Yellow-breasted Chat
Black-throated Green Warbler,-8.427873671,1.90E-37,0.350103285,0.054778769,2.58E-50,0.477346685,Common Yellowthroat
Pine Warbler,-7.294111548,1.57E-86,0.47262895,0.111362337,3.25E-78,0.502852476,Common Yellowthroat
Prairie Warbler,-5.942451011,1.85E-21,0.179483468,0.181400918,6.53E-13,0.269567963,Common Yellowthroat
Ovenbird,-6.795773307,1.40E-73,0.351018827,0.088750527,5.64E-78,0.42547981,Common Yellowthroat
Louisiana Waterthrush,-1.286059559,0.001179113,0.023036734,0.113229961,0.061684006,0.120121854,Swainson's Warbler
Kentucky Warbler,-1.800576356,7.10E-09,0.072451836,0.190995875,0.034328983,0.199160314,Ovenbird
Mourning Warbler,-9.758518181,4.08E-30,0.36986256,0.327832699,3.57E-21,0.512602802,Common Yellowthroat
MacGillivray's Warbler,-3.929985289,1.51E-08,0.132428567,0.22494462,1.39E-05,0.288264319,Common Yellowthroat
Common Yellowthroat,-4.931406331,8.87E-53,0.14418921,0.347707165,1.41E-22,0.388046106,Orange-crowned Warbler
Yellow-breasted Chat,-3.32118529,2.74E-09,0.044021053,0.308454737,0.402092427,0.309075707,MacGillivray's Warbler
Hooded Warbler,-7.3872947,9.99E-48,0.374107542,0.11340745,6.95E-37,0.38225508,Common Yellowthroat
Wilson's Warbler,-5.458416109,1.07E-30,0.361692242,0.070717252,2.14E-28,0.388823737,Yellow Warbler
Canada Warbler,-3.072981779,3.89E-05,0.076895969,0.098384656,0.014821704,0.123818217,American Redstart
Sage Thrasher,-3.829660296,2.84E-06,0.14164168,0.085519883,1.19E-06,0.227823539,Northern Mockingbird
Northern Mockingbird,-4.844559339,6.59E-102,0.348130077,0.442076089,2.33E-39,0.525092927,Gray Catbird
Gray Catbird,-3.820254799,3.39E-45,0.145746267,0.392628531,1.13E-51,0.493491677,Brown Thrasher
Brown Thrasher,-2.013054844,3.80E-15,0.050627822,0.306431461,2.96E-21,0.356903521,Gray Catbird
Rock Wren,-2.549228974,4.43E-10,0.116731784,0.12388251,2.41E-08,0.20772199,House Wren
Carolina Wren,-5.29642912,1.34E-130,0.501409573,0.465109267,3.26E-48,0.584159321,House Wren
Bewick's Wren,-3.787717082,1.08E-13,0.182806303,0.148056499,5.90E-13,0.29723302,House Wren
House Wren,-2.418104454,3.56E-24,0.078798459,0.273799381,1.34E-10,0.297384042,Carolina Wren
Pacific Wren,-5.71824668,8.73E-15,0.422654001,0.28654724,5.12E-10,0.50527405,House Wren
Winter Wren,-6.101830044,3.61E-48,0.543052445,0.21755193,7.24E-40,0.592637598,House Wren
Sedge Wren,-4.099090304,7.48E-14,0.184960889,0.347582199,5.14E-05,0.38608952,House Wren
Brown Creeper,-1.840838282,2.35E-10,0.089642129,0.012376281,1.18E-12,0.123442294,White-breasted Nuthatch
White-breasted Nuthatch,-2.705346129,1.41E-11,0.037774104,0.127394143,0.000153447,0.137913332,Brown-headed Nuthatch
Red-breasted Nuthatch,-4.676849263,4.71E-41,0.266283815,0.042167468,5.54E-44,0.314836108,White-breasted Nuthatch
Brown-headed Nuthatch,-1.507428907,0.0146803,0.029698813,0.1058129,0.000876856,0.155536798,White-breasted Nuthatch
Tufted Titmouse,-4.427795219,1.33E-79,0.322830296,0.281561475,2.60E-41,0.411106575,Black-capped Chickadee
Black-capped Chickadee,-3.964601899,8.18E-23,0.102547212,0.320792147,0.567609913,0.321041563,Mountain Chickadee
Carolina Chickadee,-4.398170424,1.58E-10,0.070784581,0.187545076,2.16E-08,0.232276951,Black-crested Titmouse
Mountain Chickadee,-4.104594912,2.10E-06,0.097443221,0.119515159,0.0593168,0.133926426,Juniper Titmouse
Golden-crowned Kinglet,-0.318102256,0.410709958,0.002129206,0.041738776,0.144329073,0.048230968,Ruby-crowned Kinglet
Blue-gray Gnatcatcher,-4.352527191,0.000462244,0.012340559,0.229573633,0.015717739,0.234130317,Black-tailed Gnatcatcher
Townsend's Solitaire,-1.135166214,0.018268507,0.028966186,0.224525796,0.022726525,0.245918542,Mountain Bluebird
Wood Thrush,-5.377323493,1.33E-50,0.208050247,0.192782107,2.42E-37,0.319424582,Eastern Bluebird
Veery,-15.61002318,1.24E-59,0.403401156,0.159625704,2.02E-61,0.50863769,American Robin
Swainson's Thrush,-4.544100864,1.86E-23,0.238538824,0.142480853,5.66E-19,0.311160562,Hermit Thrush
Hermit Thrush,-0.471459041,0.186895142,0.003075585,0.034094535,0.301012801,0.035932909,Swainson's Thrush
American Robin,-3.546598485,3.93E-75,0.185899312,0.30840299,1.57E-84,0.451947111,Eastern Bluebird
Eastern Bluebird,-3.69336868,6.37E-60,0.205067097,0.288635387,6.45E-17,0.33028484,Veery
Western Bluebird,-2.766353788,0.000378282,0.07437468,0.30493856,0.025421071,0.326367831,American Robin
Mountain Bluebird,-3.651231262,8.43E-07,0.087316057,0.110630326,1.83E-07,0.198493134,American Robin
