sort v2019,Clements v2019 change,text for website v2019,category,page 6.0,English name,scientific name,range,order,family,extinct,extinct year,sort v2018,page 6.0
73,,,group (monotypic),4,Brown Tinamou (castaneus),Crypturellus obsoletus castaneus,Tropical e Colombia to e Ecuador and n Peru,Tinamiformes,Tinamidae (Tinamous),,,73,4
74,,,group (polytypic),,Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group],,Tinamiformes,Tinamidae (Tinamous),,,74,
75,,,subspecies,4,,Crypturellus obsoletus ochraceiventris,Subtropical central Peru (Huánuco to Cuzco),Tinamiformes,Tinamidae (Tinamous),,,75,4
76,,,subspecies,4,,Crypturellus obsoletus traylori,Subtropical se Peru (Marcapata Valley of Cuzco),Tinamiformes,Tinamidae (Tinamous),,,76,4
77,,,subspecies,4,,Crypturellus obsoletus punensis,Extreme se Peru and yungas of n Bolivia,Tinamiformes,Tinamidae (Tinamous),,,77,4
78,,,subspecies,4,,Crypturellus obsoletus cerviniventris,N Venezuela,Tinamiformes,Tinamidae (Tinamous),,,78,4
79,,,subspecies,4,,Crypturellus obsoletus knoxi,Subtropical nw Venezuela,Tinamiformes,Tinamidae (Tinamous),,,79,4
80,,,subspecies,4,,Crypturellus obsoletus griseiventris,N-central Brazil (Santarém region along Rio Tapajós ),Tinamiformes,Tinamidae (Tinamous),,,80,4
81,,,subspecies,4,,Crypturellus obsoletus hypochraceus,SW Brazil (upper Río Madeira in Rondônia),Tinamiformes,Tinamidae (Tinamous),,,81,4
82,,,subspecies,4,,Crypturellus obsoletus obsoletus,E Paraguay to se Brazil and extreme ne Argentina (Misiones),Tinamiformes,Tinamidae (Tinamous),,,82,4
83,,,species,4,Undulated Tinamou,Crypturellus undulatus,,Tinamiformes,Tinamidae (Tinamous),,,83,4
84,,,subspecies,4,,Crypturellus undulatus manapiare,S Venezuela (upper Río Ventuari in Amazonas),Tinamiformes,Tinamidae (Tinamous),,,84,4
85,,,subspecies,4,,Crypturellus undulatus simplex,SW Guyana and immediately adjacent Brazil,Tinamiformes,Tinamidae (Tinamous),,,85,4
86,,,subspecies,4,,Crypturellus undulatus yapura,"SE Colombia to e Ecuador, e Peru and nw Brazil",Tinamiformes,Tinamidae (Tinamous),,,86,4
87,,,subspecies,4,,Crypturellus undulatus vermiculatus,E Brazil (s Maranhão to Mato Grosso),Tinamiformes,Tinamidae (Tinamous),,,87,4
88,,,subspecies,4,,Crypturellus undulatus adspersus,Brazil south of the Amazon (Rio Madeira to Rio Tapajós),Tinamiformes,Tinamidae (Tinamous),,,88,4
89,,,subspecies,4,,Crypturellus undulatus undulatus,SE Peru to n Argentina,Tinamiformes,Tinamidae (Tinamous),,,89,4
90,,,species,4,Pale-browed Tinamou,Crypturellus transfasciatus,Tropical forests of w Ecuador to nw Peru,Tinamiformes,Tinamidae (Tinamous),,,90,4
91,,,species,4,Brazilian Tinamou,Crypturellus strigulosus,"Tropical s Amazonian Brazil, adjacent e Peru and nw Bolivia",Tinamiformes,Tinamidae (Tinamous),,,91,4
92,,,species,4,Gray-legged Tinamou,Crypturellus duidae,Tropical forests of e-central Colombia to s Venezuela,Tinamiformes,Tinamidae (Tinamous),,,92,4
93,,,species,3,Red-legged Tinamou,Crypturellus erythropus,,Tinamiformes,Tinamidae (Tinamous),,,93,3
94,,,subspecies,3,,Crypturellus erythropus columbianus,Tropical north-central Colombia,Tinamiformes,Tinamidae (Tinamous),,,94,3
95,,,subspecies,3,,Crypturellus erythropus saltuarius,NE Colombia (Sierra de Ocaña),Tinamiformes,Tinamidae (Tinamous),,,95,3
96,,,subspecies,3,,Crypturellus erythropus idoneus,NE Colombia and adjacent nw Venezuela,Tinamiformes,Tinamidae (Tinamous),,,96,3
97,,,subspecies,3,,Crypturellus erythropus cursitans,N Colombia east of the Andes and nw Venezuela,Tinamiformes,Tinamidae (Tinamous),,,97,3
98,,,subspecies,3,,Crypturellus erythropus spencei,N Venezuela,Tinamiformes,Tinamidae (Tinamous),,,98,3
99,,,subspecies,3,,Crypturellus erythropus margaritae,Margarita I. (off Venezuela),Tinamiformes,Tinamidae (Tinamous),,,99,3
100,,,subspecies,3,,Crypturellus erythropus erythropus,"E Venezuela to Guyana, Suriname and ne Brazil",Tinamiformes,Tinamidae (Tinamous),,,100,3
101,,,species,4,Yellow-legged Tinamou,Crypturellus noctivagus,,Tinamiformes,Tinamidae (Tinamous),,,101,4
102,,,group (monotypic),4,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele,Lowlands of ne Brazil (Piauí to Bahia and Minas Gerais),Tinamiformes,Tinamidae (Tinamous),,,102,4
103,,,group (monotypic),4,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus,Coastal se Brazil (Minas Gerais to Rio Grande do Sul),Tinamiformes,Tinamidae (Tinamous),,,103,4
104,,,species,4,Black-capped Tinamou,Crypturellus atrocapillus,,Tinamiformes,Tinamidae (Tinamous),,,104,4
105,,,subspecies,4,,Crypturellus atrocapillus atrocapillus,lowlands of southeastern Peru (central Ucayali south to Puno) and southwestern Brazil (Acre),Tinamiformes,Tinamidae (Tinamous),,,105,4
106,,,subspecies,4,,Crypturellus atrocapillus garleppi,Lowlands of n Bolivia,Tinamiformes,Tinamidae (Tinamous),,,106,4
107,,,species,4,Slaty-breasted Tinamou,Crypturellus boucardi,,Tinamiformes,Tinamidae (Tinamous),,,107,4
108,,,subspecies,4,,Crypturellus boucardi boucardi,Gulf-Caribbean lowlands of se Mexico to nw Honduras,Tinamiformes,Tinamidae (Tinamous),,,108,4
109,,,subspecies,4,,Crypturellus boucardi costaricensis,Caribbean slope of Honduras to n Costa Rica,Tinamiformes,Tinamidae (Tinamous),,,109,4
110,,,species,4,Choco Tinamou,Crypturellus kerriae,Humid foothills of extreme se Panama and nw Colombia,Tinamiformes,Tinamidae (Tinamous),,,110,4
111,,,species,4,Variegated Tinamou,Crypturellus variegatus,"Colombia to Venezuela, the Guianas, n Bolivia and Amaz. Brazil",Tinamiformes,Tinamidae (Tinamous),,,111,4
112,,,species,4,Thicket Tinamou,Crypturellus cinnamomeus,,Tinamiformes,Tinamidae (Tinamous),,,112,4
113,,,group (monotypic),4,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,Coastal w Mexico (Sinaloa to Guerrero),Tinamiformes,Tinamidae (Tinamous),,,113,4
114,,,group (polytypic),,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],,Tinamiformes,Tinamidae (Tinamous),,,114,
115,,,subspecies,4,,Crypturellus cinnamomeus soconuscensis,Pacific slope of s Mexico (Oaxaca and Chiapas),Tinamiformes,Tinamidae (Tinamous),,,115,4
116,,,subspecies,5,,Crypturellus cinnamomeus mexicanus,Atlantic coast of Mexico (Tamaulipas to Puebla),Tinamiformes,Tinamidae (Tinamous),,,116,5
117,,,subspecies,5,,Crypturellus cinnamomeus sallaei,"S Mexico (Puebla to s Veracruz, Oaxaca and Chiapas)",Tinamiformes,Tinamidae (Tinamous),,,117,5
118,,,subspecies,5,,Crypturellus cinnamomeus goldmani,SE Mexico (Yucatán Peninsula) to n Guatemala and n Belize,Tinamiformes,Tinamidae (Tinamous),,,118,5
119,,,subspecies,5,,Crypturellus cinnamomeus vicinior,Highlands of s Mexico (Chiapas) to Guatemala and c Honduras,Tinamiformes,Tinamidae (Tinamous),,,119,5
120,,,subspecies,5,,Crypturellus cinnamomeus cinnamomeus,Coastal se Mexico (Chiapas) to El Salvador and Honduras,Tinamiformes,Tinamidae (Tinamous),,,120,5
121,,,subspecies,5,,Crypturellus cinnamomeus delattrii,Pacific lowlands of Nicaragua,Tinamiformes,Tinamidae (Tinamous),,,121,5
122,,,subspecies,5,,Crypturellus cinnamomeus praepes,Lowlands of nw Costa Rica,Tinamiformes,Tinamidae (Tinamous),,,122,5
123,,,species,5,Rusty Tinamou,Crypturellus brevirostris,"northwestern Brazil, and probably adjacent Colombia; southern Guyana and southern Suriname; French Guiana and northeastern Amazonian Brazil (Amapá)",Tinamiformes,Tinamidae (Tinamous),,,123,5
124,,,species,5,Bartlett's Tinamou,Crypturellus bartletti,"Tropical w Amazonian Brazil, e Peru and n Bolivia",Tinamiformes,Tinamidae (Tinamous),,,124,5
125,,,species,5,Small-billed Tinamou,Crypturellus parvirostris,Patchily distributed Amazon basin south to ne Argentina,Tinamiformes,Tinamidae (Tinamous),,,125,5
126,,,species,5,Barred Tinamou,Crypturellus casiquiare,Extreme e Colombia and adjacent s Venezuela,Tinamiformes,Tinamidae (Tinamous),,,126,5
127,,,species,5,Tataupa Tinamou,Crypturellus tataupa,,Tinamiformes,Tinamidae (Tinamous),,,127,5
128,,,subspecies,5,,Crypturellus tataupa inops,Marañón Valley of nw Peru,Tinamiformes,Tinamidae (Tinamous),,,128,5
129,,,subspecies,5,,Crypturellus tataupa peruvianus,W-central Peru (Chanchamayo Valley of Junín),Tinamiformes,Tinamidae (Tinamous),,,129,5
130,,,subspecies,5,,Crypturellus tataupa lepidotus,"NE Brazil (Maranhão, Ceará, Piauí, Pernambuco and Bahia)",Tinamiformes,Tinamidae (Tinamous),,,130,5
131,,,subspecies,5,,Crypturellus tataupa tataupa,"E Bolivia to Paraguay, s Brazil and n Argentina",Tinamiformes,Tinamidae (Tinamous),,,131,5
133,,,species,5,Red-winged Tinamou,Rhynchotus rufescens,,Tinamiformes,Tinamidae (Tinamous),,,133,5
134,,,subspecies,5,,Rhynchotus rufescens catingae,Central and ne Brazil,Tinamiformes,Tinamidae (Tinamous),,,134,5
135,,,subspecies,5,,Rhynchotus rufescens rufescens,"SE Peru to Bolivia, e Paraguay, se Brazil and ne Argentina",Tinamiformes,Tinamidae (Tinamous),,,135,5
136,,,subspecies,5,,Rhynchotus rufescens pallescens,N Argentina (e Formosa to Río Negro),Tinamiformes,Tinamidae (Tinamous),,,136,5
137,,,species,5,Huayco Tinamou,Rhynchotus maculicollis,Andes of nw Bolivia to nw Argentina,Tinamiformes,Tinamidae (Tinamous),,,137,5
