sort v2019,Clements v2019 change,text for website v2019,category,page 6.0,English name,scientific name,range,order,family,extinct,extinct year,sort v2018,page 6.0
4596,,,subspecies,203,,Lampornis viridipallens nubivagus,Upper tropical El Salvador,Caprimulgiformes,Trochilidae (Hummingbirds),,,4579,203
4597,,,species,203,Green-breasted Mountain-gem,Lampornis sybillae,Humid montane forests of e Honduras and n-c Nicaragua,Caprimulgiformes,Trochilidae (Hummingbirds),,,4580,203
4598,name change - English name,"In accord with AOS-NACC (Chesser et al. 2019), change the English name of Lampornis amethystinus from Amethyst-throated Hummingbird to Amethyst-throated Mountain-gem.",species,203,Amethyst-throated Mountain-gem,Lampornis amethystinus,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4581,203
4599,name change - English name,Change the English name for the polytypic group Lampornis amethystinus [amethystinus Group] from Amethyst-throated Hummingbird (Amethyst-throated) to Amethyst-throated Mountain-gem (Amethyst-throated).,group (polytypic),,Amethyst-throated Mountain-gem (Amethyst-throated),Lampornis amethystinus [amethystinus Group],,Caprimulgiformes,Trochilidae (Hummingbirds),,,4582,
4600,,,subspecies,203,,Lampornis amethystinus amethystinus,Mountains of e Mexico (Nayarit to s Tamaulipas and e Oaxaca),Caprimulgiformes,Trochilidae (Hummingbirds),,,4583,203
4601,,,subspecies,203,,Lampornis amethystinus salvini,"Highlands of s Mexico (Chiapas) to Guatemala, El Salvador",Caprimulgiformes,Trochilidae (Hummingbirds),,,4584,203
4602,,,subspecies,203,,Lampornis amethystinus nobilis,Highlands of Honduras,Caprimulgiformes,Trochilidae (Hummingbirds),,,4585,203
4603,name change - English name,Change the English name for the monotypic group Lampornis amethystinus margaritae from Amethyst-throated Hummingbird (Violet-throated) to Amethyst-throated Mountain-gem (Violet-throated).,group (monotypic),203,Amethyst-throated Mountain-gem (Violet-throated),Lampornis amethystinus margaritae,"Mountains of sw Mexico (Michoacán, Guerrero and w Oaxaca)",Caprimulgiformes,Trochilidae (Hummingbirds),,,4586,203
4604,name change - English name,"In accord with AOS-NACC (Chesser et al. 2019), change the English name of Lampornis clemenciae from Blue-throated Hummingbird to Blue-throated Mountain-gem.",species,203,Blue-throated Mountain-gem,Lampornis clemenciae,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4587,203
4605,,,subspecies,203,,Lampornis clemenciae bessophilus,Mts. of sw US to nw Mexico (e Sonora and w Chihuahua),Caprimulgiformes,Trochilidae (Hummingbirds),,,4588,203
4606,,,subspecies,203,,Lampornis clemenciae clemenciae,W Texas (Chisos Mountains) to s Mexico (s Oaxaca),Caprimulgiformes,Trochilidae (Hummingbirds),,,4589,203
4607,,,species,203,White-bellied Mountain-gem,Lampornis hemileucus,Caribbean slope of n-central Costa Rica to w Panama,Caprimulgiformes,Trochilidae (Hummingbirds),,,4590,203
4608,,,species,203,Purple-throated Mountain-gem,Lampornis calolaemus,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4591,203
4609,,,subspecies,203,,Lampornis calolaemus pectoralis,Mountains of Nicaragua and nw Costa Rica,Caprimulgiformes,Trochilidae (Hummingbirds),,,4592,203
4610,,,subspecies,203,,Lampornis calolaemus calolaemus,Mountains of Costa Rica and w-central Panama,Caprimulgiformes,Trochilidae (Hummingbirds),,,4593,203
4611,,,subspecies,203,,Lampornis calolaemus homogenes,Pacific slope of extreme s Costa Rica and w Panama,Caprimulgiformes,Trochilidae (Hummingbirds),,,4594,203
4612,,,species,203,White-throated Mountain-gem,Lampornis castaneoventris,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4595,203
4613,,,group (monotypic),203,White-throated Mountain-gem (Blue-tailed),Lampornis castaneoventris castaneoventris,Montane forests of extreme w Panama,Caprimulgiformes,Trochilidae (Hummingbirds),,,4596,203
4614,,,group (monotypic),203,White-throated Mountain-gem (Gray-tailed),Lampornis castaneoventris cinereicauda,S Costa Rica (Cordillera de Talamanca),Caprimulgiformes,Trochilidae (Hummingbirds),,,4597,203
4617,,,species,203,Garnet-throated Hummingbird,Lamprolaima rhami,"Mts. of s Mexico to Guatemala, El Salvador and Honduras",Caprimulgiformes,Trochilidae (Hummingbirds),,,4599,203
4618,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Sparkling-tailed Hummingbird,Tilmatura dupontii,Oak-pine highlands of w Mexico to n Nicaragua,Caprimulgiformes,Trochilidae (Hummingbirds),,,4626,210
4619,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Amethyst Woodstar,Calliphlox amethystina,Widespread trop. South America to ne Argentina and s Brazil,Caprimulgiformes,Trochilidae (Hummingbirds),,,4634,210
4620,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Peruvian Sheartail,Thaumastura cora,Arid w Peru to extreme n Chile (Arica),Caprimulgiformes,Trochilidae (Hummingbirds),,,4608,210
4621,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,211,Short-tailed Woodstar,Myrmia micrura,Arid scrub of sw Ecuador and nw Peru,Caprimulgiformes,Trochilidae (Hummingbirds),,,4622,211
4622,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,211,Purple-collared Woodstar,Myrtis fanny,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4600,211
4623,,,subspecies,211,,Myrtis fanny fanny,W and se Ecuador to w Peru (Piura to Arequipa),Caprimulgiformes,Trochilidae (Hummingbirds),,,4601,211
4624,,,subspecies,211,,Myrtis fanny megalura,N Peru (Cajabamba to La Libertad and extreme nw Huánuco),Caprimulgiformes,Trochilidae (Hummingbirds),,,4602,211
4625,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Oasis Hummingbird,Rhodopis vesper,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4604,210
4626,,,subspecies,210,,Rhodopis vesper koepckeae,Arid nw Peru (Cerro Illescas in sw Piura),Caprimulgiformes,Trochilidae (Hummingbirds),,,4605,210
4627,,,subspecies,210,,Rhodopis vesper vesper,Arid w Peru to extreme n Chile (Tacna and Tarapacá),Caprimulgiformes,Trochilidae (Hummingbirds),,,4606,210
4628,,,subspecies,210,,Rhodopis vesper atacamensis,Arid n Chile (Atacama),Caprimulgiformes,Trochilidae (Hummingbirds),,,4607,210
4629,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,211,Chilean Woodstar,Eulidia yarrellii,Arid s Peru (Tacna and Moquegua) to n Chile (Arica),Caprimulgiformes,Trochilidae (Hummingbirds),,,4603,211
4631,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Slender-tailed Woodstar,Microstilbon burmeisteri,Arid scrub of e Bolivia and nw Argentina,Caprimulgiformes,Trochilidae (Hummingbirds),,,4623,210
4632,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,211,White-bellied Woodstar,Chaetocercus mulsant,Andes of Colombia to w Bolivia (Cochabamba),Caprimulgiformes,Trochilidae (Hummingbirds),,,4610,211
4633,,,species,211,Little Woodstar,Chaetocercus bombus,Andes of extreme sw Colombia (Nariño) to n Peru,Caprimulgiformes,Trochilidae (Hummingbirds),,,4611,211
4634,,,species,211,Gorgeted Woodstar,Chaetocercus heliodor,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4612,211
4635,,,subspecies,211,,Chaetocercus heliodor heliodor,Andes of Colombia and w Ecuador to nw Venezuela (Mérida),Caprimulgiformes,Trochilidae (Hummingbirds),,,4613,211
4636,,,subspecies,211,,Chaetocercus heliodor cleavesi,Andes of ne Ecuador,Caprimulgiformes,Trochilidae (Hummingbirds),,,4614,211
4637,,,species,211,Santa Marta Woodstar,Chaetocercus astreans,Santa Marta Mountains (ne Colombia),Caprimulgiformes,Trochilidae (Hummingbirds),,,4615,211
4638,,,species,211,Esmeraldas Woodstar,Chaetocercus berlepschi,"Lowlands of w Ecuador (Esmeraldas, Manabí and Guayas)",Caprimulgiformes,Trochilidae (Hummingbirds),,,4616,211
4639,,,species,211,Rufous-shafted Woodstar,Chaetocercus jourdanii,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4617,211
4640,,,subspecies,211,,Chaetocercus jourdanii jourdanii,Mountains of ne Venezuela (Cumaná); Trinidad,Caprimulgiformes,Trochilidae (Hummingbirds),,,4618,211
4641,,,subspecies,211,,Chaetocercus jourdanii rosae,Mountains of n Venezuela (Zulia to Distrito Federal),Caprimulgiformes,Trochilidae (Hummingbirds),,,4619,211
4642,,,subspecies,211,,Chaetocercus jourdanii andinus,Andes of ne Colombia to w Venezuela (Lara to Táchira),Caprimulgiformes,Trochilidae (Hummingbirds),,,4620,211
4644,name change - scientific name; sequence,"Change the scientific name of Magenta-throated Woodstar from Calliphlox bryantae to Philodice bryantae (McGuire et al. 2014, Licona-Vera and Ornelas 2017, Clark et al. 2018). The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Magenta-throated Woodstar,Philodice bryantae,Highlands of n Costa Rica and w Panama,Caprimulgiformes,Trochilidae (Hummingbirds),,,4632,210
4645,name change - scientific name; sequence,"Change the scientific name of Purple-throated Woodstar from Calliphlox mitchellii to Philodice mitchellii (McGuire et al. 2014, Licona-Vera and Ornelas 2017, Clark et al. 2018). ",species,210,Purple-throated Woodstar,Philodice mitchellii,Tropical e Panama (Darién) to w Colombia and sw Ecuador,Caprimulgiformes,Trochilidae (Hummingbirds),,,4633,210
4647,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Slender Sheartail,Doricha enicura,"Highlands of s Mexico (Chiapas) to w Honduras, El Salvador",Caprimulgiformes,Trochilidae (Hummingbirds),,,4624,210
4648,,,species,210,Mexican Sheartail,Doricha eliza,Disjunct in arid s Mexico (Veracruz and Yucatán Peninsula),Caprimulgiformes,Trochilidae (Hummingbirds),,,4625,210
4649,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Lucifer Hummingbird,Calothorax lucifer,Arid mountains of sw US and n Mexico; winters to s Mexico,Caprimulgiformes,Trochilidae (Hummingbirds),,,4627,210
4650,,,species,210,Beautiful Hummingbird,Calothorax pulcher,Arid scrub of s Mexico (Guerrero and s Puebla to e Oaxaca),Caprimulgiformes,Trochilidae (Hummingbirds),,,4628,210
4652,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Ruby-throated Hummingbird,Archilochus colubris,E Canada and US; winters Mexico to Panama,Caprimulgiformes,Trochilidae (Hummingbirds),,,4636,210
4653,,,species,210,Black-chinned Hummingbird,Archilochus alexandri,Arid sw British Columbia to nw Mexico; winters to s Mexico,Caprimulgiformes,Trochilidae (Hummingbirds),,,4637,210
4657,name change - scientific name; sequence,"In accord with AOS-NACC (Chesser et al. 2019), Bahama Woodstar Calliphlox lyrura and Inagua Woodstar Calliphlox evelynae are placed in the genus Nesophlox based on genetic data that Calliphlox is polyphyletic and that Bahama and Inagua woodstars are not closely related to true Calliphlox (McGuire et al. 2014, Licona-Vera and Ornelas 2017). The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Bahama Woodstar,Nesophlox evelynae,Bahamas,Caprimulgiformes,Trochilidae (Hummingbirds),,,4630,210
4658,name change - scientific name,"In accord with AOS-NACC (Chesser et al. 2019), Bahama Woodstar Calliphlox lyrura and Inagua Woodstar Calliphlox evelynae are placed in the genus Nesophlox based on genetic data that Calliphlox is polyphyletic and that Bahama and Inagua woodstars are not closely related to true Calliphlox (McGuire et al. 2014, Licona-Vera and Ornelas 2017). ",species,210,Inagua Woodstar,Nesophlox lyrura,Great Inagua I. (Bahamas),Caprimulgiformes,Trochilidae (Hummingbirds),,,4631,210
4659,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Vervain Hummingbird,Mellisuga minima,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4640,210
4660,,,subspecies,210,,Mellisuga minima minima,Jamaica,Caprimulgiformes,Trochilidae (Hummingbirds),,,4641,210
4661,,,subspecies,210,,Mellisuga minima vielloti,"Hispaniola, Gonâve, Tortue, Saona, Catalina and Île-à-Vache",Caprimulgiformes,Trochilidae (Hummingbirds),,,4642,210
4662,,,species,210,Bee Hummingbird,Mellisuga helenae,Cuba and Isle of Pines,Caprimulgiformes,Trochilidae (Hummingbirds),,,4643,210
4663,sequence,"The sequence of genera of bee hummingbirds is revised, following McGuire et al. (2014), Licona-Vera and Ornelas (2017), and Clark et al. (2018).",species,210,Anna's Hummingbird,Calypte anna,Arid sw British Columbia to nw Baja; winters to n Mexico,Caprimulgiformes,Trochilidae (Hummingbirds),,,4644,210
4666,,,species,210,Costa's Hummingbird,Calypte costae,Arid sw US to s Baja California and nw Mexico,Caprimulgiformes,Trochilidae (Hummingbirds),,,4647,210
4670,,,species,210,Bumblebee Hummingbird,Atthis heloisa,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4651,210
4671,,,subspecies,210,,Atthis heloisa margarethae,Mts. of nw Mexico (se Sinaloa and sw Chihuahua to Jalisco),Caprimulgiformes,Trochilidae (Hummingbirds),,,4652,210
4672,,,subspecies,210,,Atthis heloisa heloisa,Highlands of Mexico (c Tamaulipas to Guerrero and Oaxaca),Caprimulgiformes,Trochilidae (Hummingbirds),,,4653,210
4673,,,species,210,Wine-throated Hummingbird,Atthis ellioti,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4654,210
4674,,,subspecies,210,,Atthis ellioti ellioti,Montane forests of s Mexico (Chiapas) and Guatemala,Caprimulgiformes,Trochilidae (Hummingbirds),,,4655,210
4675,,,subspecies,210,,Atthis ellioti selasphoroides,Humid montane forests of Honduras,Caprimulgiformes,Trochilidae (Hummingbirds),,,4656,210
4676,,,species,211,Broad-tailed Hummingbird,Selasphorus platycercus,Mountains of sw US to Mexico and Guatemala,Caprimulgiformes,Trochilidae (Hummingbirds),,,4657,211
4677,,,species,211,Rufous Hummingbird,Selasphorus rufus,Alaska to nw US; winters to s Mexico,Caprimulgiformes,Trochilidae (Hummingbirds),,,4658,211
4680,,,species,211,Allen's Hummingbird,Selasphorus sasin,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4661,211
4681,,,subspecies,211,,Selasphorus sasin sasin,S Oregon to s California; winters to central Mexico,Caprimulgiformes,Trochilidae (Hummingbirds),,,4662,211
4682,,,subspecies,211,,Selasphorus sasin sedentarius,Channel Islands (off s California) and adjacent mainland,Caprimulgiformes,Trochilidae (Hummingbirds),,,4663,211
4685,,,species,211,Volcano Hummingbird,Selasphorus flammula,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4666,211
4686,,,group (monotypic),211,Volcano Hummingbird (Purple-throated),Selasphorus flammula flammula,Costa Rica (Volcán Irazú and Volcán Turrialba),Caprimulgiformes,Trochilidae (Hummingbirds),,,4667,211
4687,,,group (monotypic),211,Volcano Hummingbird (Heliotrope-throated),Selasphorus flammula torridus,Sierra de Talamanca (Costa Rica) and Volcán Barú (w Panama),Caprimulgiformes,Trochilidae (Hummingbirds),,,4668,211
4688,,,group (monotypic),211,Volcano Hummingbird (Rose-throated),Selasphorus flammula simoni,"Costa Rica (Volcán Poás, Volcán Barba and Cerros de Escazú)",Caprimulgiformes,Trochilidae (Hummingbirds),,,4669,211
4689,,,species,211,Glow-throated Hummingbird,Selasphorus ardens,Mountains of w Panama (Chiriquí and Veraguas),Caprimulgiformes,Trochilidae (Hummingbirds),,,4670,211
4690,,,species,211,Scintillant Hummingbird,Selasphorus scintilla,Humid montane forests of Costa Rica and w Panama,Caprimulgiformes,Trochilidae (Hummingbirds),,,4671,211
4691,,,species,211,Calliope Hummingbird,Selasphorus calliope,Mts. of Br. Columbia to sw US and n Baja; winters to s Mexico,Caprimulgiformes,Trochilidae (Hummingbirds),,,4672,211
4698,,,species,197,Western Emerald,Chlorostilbon melanorhynchus,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4679,197
4699,,,subspecies,197,,Chlorostilbon melanorhynchus melanorhynchus,Andes of sw Colombia (Nariño) and w Ecuador,Caprimulgiformes,Trochilidae (Hummingbirds),,,4680,197
4700,,,subspecies,197,,Chlorostilbon melanorhynchus pumilus,Pacific slope of w Colombia and w Ecuador,Caprimulgiformes,Trochilidae (Hummingbirds),,,4681,197
4701,,,species,197,Red-billed Emerald,Chlorostilbon gibsoni,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4682,197
4702,,,subspecies,197,,Chlorostilbon gibsoni gibsoni,Colombia (upper Magdalena Valley),Caprimulgiformes,Trochilidae (Hummingbirds),,,4683,197
4703,,,subspecies,197,,Chlorostilbon gibsoni chrysogaster,Lowlands of n Colombia (Cartagena to Santa Marta),Caprimulgiformes,Trochilidae (Hummingbirds),,,4684,197
4704,,,subspecies,197,,Chlorostilbon gibsoni nitens,Arid coast of extreme ne Colombia and nw Venezuela,Caprimulgiformes,Trochilidae (Hummingbirds),,,4685,197
4705,,,species,197,Blue-tailed Emerald,Chlorostilbon mellisugus,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4686,197
4706,,,subspecies,197,,Chlorostilbon mellisugus caribaeus,"NE Venezuela, Curaçao, Aruba, Bonaire, Trinidad, Margarita I.",Caprimulgiformes,Trochilidae (Hummingbirds),,,4687,197
4707,,,subspecies,197,,Chlorostilbon mellisugus duidae,Tepuis of s Venezuela (Mt. Duida),Caprimulgiformes,Trochilidae (Hummingbirds),,,4688,197
4708,,,subspecies,197,,Chlorostilbon mellisugus subfurcatus,S Venezuela to Guyana and nw Brazil (Rio Branco region),Caprimulgiformes,Trochilidae (Hummingbirds),,,4689,197
4709,,,subspecies,197,,Chlorostilbon mellisugus mellisugus,"Suriname, French Guiana and lower Amazonian Brazil",Caprimulgiformes,Trochilidae (Hummingbirds),,,4690,197
4710,,,subspecies,197,,Chlorostilbon mellisugus phoeopygus,Upper Amazon and tributaries from Colombia to Bolivia,Caprimulgiformes,Trochilidae (Hummingbirds),,,4691,197
4711,,,subspecies,197,,Chlorostilbon mellisugus peruanus,E Peru and e Bolivia,Caprimulgiformes,Trochilidae (Hummingbirds),,,4692,197
4712,,,species,197,Golden-crowned Emerald,Chlorostilbon auriceps,"W Mexico (s Sinaloa to Durango, Guerrero and Oaxaca)",Caprimulgiformes,Trochilidae (Hummingbirds),,,4693,197
4713,,,species,197,Cozumel Emerald,Chlorostilbon forficatus,SE Mexico (Cozumel I. and rarely Isla Mujeres),Caprimulgiformes,Trochilidae (Hummingbirds),,,4694,197
4714,,,species,197,Canivet's Emerald,Chlorostilbon canivetii,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4695,197
4715,,,group (monotypic),197,Canivet's Emerald (Canivet's),Chlorostilbon canivetii canivetii,"SE Mexico (Tamaulipas) to Belize, n Guatemala and Nicaragua",Caprimulgiformes,Trochilidae (Hummingbirds),,,4696,197
4716,,,group (polytypic),,Canivet's Emerald (Salvin's),Chlorostilbon canivetii salvini/osberti,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4697,
4717,,,subspecies,197,,Chlorostilbon canivetii osberti,"SE Mexico (se Chiapas) to Honduras, Holbox, Bay and Hog is.",Caprimulgiformes,Trochilidae (Hummingbirds),,,4698,197
4718,,,subspecies,197,,Chlorostilbon canivetii salvini,Highlands of Pacific slope of nw Costa Rica,Caprimulgiformes,Trochilidae (Hummingbirds),,,4699,197
4719,,,species,197,Garden Emerald,Chlorostilbon assimilis,Pacific slope of sw Costa Rica and Panama; Coiba and Pearl is.,Caprimulgiformes,Trochilidae (Hummingbirds),,,4700,197
4720,,,species,197,Chiribiquete Emerald,Chlorostilbon olivaresi,SE Colombia (Sierra de Chiribiquete),Caprimulgiformes,Trochilidae (Hummingbirds),,,4701,197
4721,,,species,197,Cuban Emerald,Chlorostilbon ricordii,"Cuba, Isle of Pines, Grand Bahama, Great Abaco and Andros",Caprimulgiformes,Trochilidae (Hummingbirds),,,4702,197
4722,,,species,700,Brace's Emerald,Chlorostilbon bracei,,Caprimulgiformes,Trochilidae (Hummingbirds),1,1877,4703,700
4723,,,group (monotypic),700,Brace's Emerald (Brace's),Chlorostilbon bracei bracei,Formerly n Bahamas. Extinct; last reported 1877,Caprimulgiformes,Trochilidae (Hummingbirds),1,1877,4704,700
4724,,,group (monotypic),addition (2017),Brace's Emerald (Caribbean),Chlorostilbon bracei elegans,"Formerly the Caribbean; extinct. Distribution unknown, possibly occurred on Jamaica or in the Bahamas. Known from a single specimen from 1860",Caprimulgiformes,Trochilidae (Hummingbirds),1,1860,4705,addition (2017)
4725,,,species,197,Hispaniolan Emerald,Chlorostilbon swainsonii,Primarily montane forests of Hispaniola,Caprimulgiformes,Trochilidae (Hummingbirds),,,4706,197
4726,,,species,197,Puerto Rican Emerald,Chlorostilbon maugaeus,Puerto Rico (primarily in montane forests),Caprimulgiformes,Trochilidae (Hummingbirds),,,4707,197
4727,,,species,197,Glittering-bellied Emerald,Chlorostilbon lucidus,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4708,197
4728,,,subspecies,197,,Chlorostilbon lucidus pucherani,E Brazil (Maranhão and Ceará to Paraná),Caprimulgiformes,Trochilidae (Hummingbirds),,,4709,197
4729,,,subspecies,197,,Chlorostilbon lucidus lucidus,E Bolivia to Paraguay and w-central Brazil (Mato Grosso),Caprimulgiformes,Trochilidae (Hummingbirds),,,4710,197
4730,,,subspecies,197,,Chlorostilbon lucidus igneus,NW Argentina (Jujuy and Chaco to Mendoza and San Luis),Caprimulgiformes,Trochilidae (Hummingbirds),,,4711,197
4731,,,subspecies,197,,Chlorostilbon lucidus berlepschi,S Brazil (Rio Grande do Sul) to Uruguay and ne Argentina,Caprimulgiformes,Trochilidae (Hummingbirds),,,4712,197
4732,,,species,197,Coppery Emerald,Chlorostilbon russatus,northeastern Colombia (Sierra Nevada de Santa Marta) and the Serranía de Perijá (ColombiaVenezuela),Caprimulgiformes,Trochilidae (Hummingbirds),,,4713,197
4733,,,species,197,Narrow-tailed Emerald,Chlorostilbon stenurus,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4714,197
4734,,,subspecies,197,,Chlorostilbon stenurus stenurus,Andes of northeastern Colombia and northwestern Venezuela,Caprimulgiformes,Trochilidae (Hummingbirds),,,4715,197
4735,,,subspecies,197,,Chlorostilbon stenurus ignotus,Coastal mts. of n Venezuela to highlands of extreme se Lara,Caprimulgiformes,Trochilidae (Hummingbirds),,,4716,197
4736,,,species,197,Green-tailed Emerald,Chlorostilbon alice,"Mts. of n Venezuela (Falcón to Lara, Sucre and n Monagas)",Caprimulgiformes,Trochilidae (Hummingbirds),,,4717,197
4737,,,species,197,Short-tailed Emerald,Chlorostilbon poortmani,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4718,197
4738,,,subspecies,197,,Chlorostilbon poortmani euchloris,"Eastern Andes of Colombia (west slope from Santander to Huila, and east slope in Norte de Santander)",Caprimulgiformes,Trochilidae (Hummingbirds),,,4719,197
4739,,,subspecies,197,,Chlorostilbon poortmani poortmani,E slope of Eastern Andes of Colombia and nw Venezuela,Caprimulgiformes,Trochilidae (Hummingbirds),,,4720,197
4741,,,species,197,Blue-chinned Sapphire,Chlorestes notata,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4722,197
4742,,,subspecies,197,,Chlorestes notata notata,"N Colombia to Venezuela, Trinidad, Tobago, Guianas, e Brazil",Caprimulgiformes,Trochilidae (Hummingbirds),,,4723,197
4743,,,subspecies,197,,Chlorestes notata puruensis,SE Colombia to ne Peru and nw Brazil,Caprimulgiformes,Trochilidae (Hummingbirds),,,4724,197
4744,,,subspecies,197,,Chlorestes notata obsoleta,NE Peru (lower Río Ucayali near mouth of Río Napo),Caprimulgiformes,Trochilidae (Hummingbirds),,,4725,197
4745,,,species,198,Dusky Hummingbird,Cynanthus sordidus,Mountains of central Mexico (Michoacán to Oaxaca),Caprimulgiformes,Trochilidae (Hummingbirds),,,4726,198
4746,,,species,198,Broad-billed Hummingbird,Cynanthus latirostris,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4727,198
4747,,,group (polytypic),,Broad-billed Hummingbird (Northern),Cynanthus latirostris [latirostris Group],,Caprimulgiformes,Trochilidae (Hummingbirds),,,4728,
4748,,,subspecies,198,,Cynanthus latirostris magicus,Arid sw US to nw Mexico (Nayarit),Caprimulgiformes,Trochilidae (Hummingbirds),,,4729,198
4749,,,subspecies,198,,Cynanthus latirostris latirostris,E Mexico (San Luis Potosí and Tamaulipas to n Veracruz),Caprimulgiformes,Trochilidae (Hummingbirds),,,4730,198
4750,,,subspecies,198,,Cynanthus latirostris propinquus,Central Mexico (Guanajuato to Michoacán),Caprimulgiformes,Trochilidae (Hummingbirds),,,4731,198
4751,,,group (monotypic),198,Broad-billed Hummingbird (Doubleday's),Cynanthus latirostris doubledayi,"S Mexico (Guerrero, Oaxaca and Chiapas)",Caprimulgiformes,Trochilidae (Hummingbirds),,,4732,198
4752,,,group (monotypic),198,Broad-billed Hummingbird (Tres Marias Is.),Cynanthus latirostris lawrencei,Tres Marías Islands (off w Mexico),Caprimulgiformes,Trochilidae (Hummingbirds),,,4733,198
4754,,,species,198,Blue-headed Hummingbird,Cyanophaia bicolor,Lesser Antilles (mountains of Dominica and Martinique),Caprimulgiformes,Trochilidae (Hummingbirds),,,4735,198
4755,,,species,196,Antillean Crested Hummingbird,Orthorhyncus cristatus,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4736,196
4756,,,group (monotypic),196,Antillean Crested Hummingbird (Lesser Antilles),Orthorhyncus cristatus exilis,"E Puerto Rico, Virgin Islands and Lesser Antilles to St. Lucia",Caprimulgiformes,Trochilidae (Hummingbirds),,,4737,196
4757,,,group (monotypic),196,Antillean Crested Hummingbird (St. Vincent),Orthorhyncus cristatus ornatus,St. Vincent (Lesser Antilles),Caprimulgiformes,Trochilidae (Hummingbirds),,,4738,196
4758,,,group (monotypic),196,Antillean Crested Hummingbird (Barbados),Orthorhyncus cristatus cristatus,Barbados (Lesser Antilles),Caprimulgiformes,Trochilidae (Hummingbirds),,,4739,196
4759,,,group (monotypic),196,Antillean Crested Hummingbird (Grenadines and Grenada),Orthorhyncus cristatus emigrans,Lesser Antilles (Grenadines and Grenada),Caprimulgiformes,Trochilidae (Hummingbirds),,,4740,196
4760,,,species,196,Violet-headed Hummingbird,Klais guimeti,,Caprimulgiformes,Trochilidae (Hummingbirds),,,4741,196
4761,,,subspecies,196,,Klais guimeti merrittii,E Honduras to e Panama,Caprimulgiformes,Trochilidae (Hummingbirds),,,4742,196
4762,,,subspecies,196,,Klais guimeti guimeti,coastal ranges and Andes of Venezuela south along east slope of Andes of Colombia and Ecuador to northern Peru,Caprimulgiformes,Trochilidae (Hummingbirds),,,4743,196
4763,,,subspecies,196,,Klais guimeti pallidiventris,E Peru to w-central Bolivia,Caprimulgiformes,Trochilidae (Hummingbirds),,,4744,196
