"Focal","focalAOU","Competitor","compAOU","FocalArea","CompArea","area_overlap"
"Xanthocephalus xanthocephalus","4970","Agelaius phoeniceus","4980","4771448.66197803","13768565.541706","4768929.28232786"
"Icterus cucullatus","5050","Icterus parisorum","5040","1181288.17951041","1844582.62237866","422659.175627283"
"Icterus cucullatus","5050","Icterus bullockii","5080","1181288.17951041","3654495.36741894","657036.169157824"
"Icterus parisorum","5040","Icterus cucullatus","5050","1844582.62237866","1181288.17951041","422659.175627283"
"Icterus parisorum","5040","Icterus bullockii","5080","1844582.62237866","3654495.36741894","1105699.52540831"
"Loxia leucoptera","5220","Carpodacus purpureus","5170","15846855.8610868","4552927.64380169","3567249.39446945"
"Loxia leucoptera","5220","Loxia curvirostra","5210","15846855.8610868","24505165.5768499","10672812.3542961"
"Loxia curvirostra","5210","Carpodacus purpureus","5170","24505165.5768499","4552927.64380169","3486000.80929687"
"Loxia curvirostra","5210","Loxia leucoptera","5220","24505165.5768499","15846855.8610868","10672812.3542962"
"Carpodacus cassinii","5180","Carpodacus mexicanus","5190","1507191.6708933","7559356.09992718","1022461.88808515"
"Carduelis pinus","5330","Carduelis psaltria","5300","8163072.20483679","3928067.15323746","1871517.90241405"
"Carduelis psaltria","5300","Carduelis pinus","5330","3928067.15323746","8163072.20483679","1871517.90241404"
"Calamospiza melanocorys","6050","Calcarius ornatus","5380","1660954.01252565","799108.953395708","730779.109548155"
"Calamospiza melanocorys","6050","Chondestes grammacus","5520","1660954.01252565","5633306.05649123","1505797.919335"
"Calcarius ornatus","5380","Rhynchophanes mccownii","5390","799108.953395708","686197.742569414","491275.979732782"
"Calcarius ornatus","5380","Calamospiza melanocorys","6050","799108.953395708","1660954.01252565","730779.109548155"
"Anthus spragueii","7000","Pooecetes gramineus","5400","1236827.45084502","6629775.05818193","1089356.38833691"
"Ammodramus leconteii","5480","Passerculus sandwichensis","5420","2899312.43378845","14173809.8099877","2899312.43212252"
"Ammodramus leconteii","5480","Spizella passerina","5600","2899312.43378845","13395245.5750865","2804996.91244123"
"Junco hyemalis","5660","Passerculus sandwichensis","5420","10673941.1649189","14173809.8099877","10029605.8183658"
"Junco hyemalis","5660","Melospiza melodia","5810","10673941.1649189","10467092.5338424","7417007.19549155"
"Chondestes grammacus","5520","Ammodramus bairdii","5450","5633306.05649123","830086.931430825","552734.614947159"
"Ammodramus savannarum","5460","Ammodramus bairdii","5450","5217422.36345113","830086.931430825","672257.043092644"
"Ammodramus savannarum","5460","Spizella passerina","5600","5217422.36345113","13395245.5750865","4471992.82333455"
"Ammodramus bairdii","5450","Ammodramus savannarum","5460","830086.931430825","5217422.36345113","672257.043092643"
"Ammodramus bairdii","5450","Chondestes grammacus","5520","830086.931430825","5633306.05649123","552734.61494716"
"Ammodramus nelsoni","5491","Ammodramus leconteii","5480","1354770.93408504","2899312.43378845","1108504.46793069"
"Ammodramus nelsoni","5491","Spizella passerina","5600","1354770.93408504","13395245.5750865","1251954.41563685"
"Passerella iliaca","5850","Zonotrichia leucophrys","5540","7594105.57569288","7442753.5511471","5622411.01173486"
"Passerella iliaca","5850","Melospiza lincolnii","5830","7594105.57569288","7630598.85274487","5200838.96837769"
"Melospiza lincolnii","5830","Zonotrichia leucophrys","5540","7630598.85274487","7442753.5511471","4470366.02874862"
"Melospiza lincolnii","5830","Melospiza georgiana","5840","7630598.85274487","6095604.66530068","4195332.92623938"
"Melospiza lincolnii","5830","Passerella iliaca","5850","7630598.85274487","7594105.57569288","5200838.96837766"
"Zonotrichia leucophrys","5540","Zonotrichia atricapilla","5570","7442753.5511471","1987991.98421269","1785618.42021241"
"Zonotrichia leucophrys","5540","Melospiza lincolnii","5830","7442753.5511471","7630598.85274487","4470366.02874863"
"Zonotrichia leucophrys","5540","Passerella iliaca","5850","7442753.5511471","7594105.57569288","5622411.01173486"
"Melospiza georgiana","5840","Zonotrichia albicollis","5580","6095604.66530068","5764727.72858605","4846568.23944896"
"Melospiza georgiana","5840","Melospiza lincolnii","5830","6095604.66530068","7630598.85274487","4195332.92623938"
"Amphispiza bilineata","5730","Spizella atrogularis","5650","2452623.02669974","804989.10012114","589423.514153132"
"Amphispiza bilineata","5730","Aimophila ruficeps","5800","2452623.02669974","1184960.36958178","556423.305688676"
"Aimophila ruficeps","5800","Spizella atrogularis","5650","1184960.36958178","804989.10012114","421769.9740785"
"Spizella atrogularis","5650","Amphispiza bilineata","5730","804989.10012114","2452623.02669974","589423.514153132"
"Spizella atrogularis","5650","Aimophila ruficeps","5800","804989.10012114","1184960.36958178","421769.9740785"
"Amphispiza belli","5740","Melospiza melodia","5810","1095012.82273199","10467092.5338424","1031967.27966566"
"Pooecetes gramineus","5400","Melospiza melodia","5810","6629775.05818193","10467092.5338424","6214808.72526199"
"Pooecetes gramineus","5400","Anthus spragueii","7000","6629775.05818193","1236827.45084502","1089356.38833691"
"Melozone crissalis","5911","Pipilo maculatus","5880","362321.950148014","3662633.88628235","181657.608067404"
"Pipilo chlorurus","5900","Pipilo maculatus","5880","1742818.0859202","3662633.88628235","1558429.8253636"
"Pipilo maculatus","5880","Pipilo chlorurus","5900","3662633.88628235","1742818.0859202","1558429.8253636"
"Cardinalis sinuatus","5940","Cardinalis cardinalis","5930","1519359.54943169","5851611.19601087","1325011.63791614"
"Cardinalis sinuatus","5940","Passerina caerulea","5970","1519359.54943169","5299068.78344072","1319940.47033955"
"Riparia riparia","6160","Petrochelidon pyrrhonota","6120","36808138.5529615","12213969.6120951","8048543.6278626"
"Riparia riparia","6160","Tachycineta bicolor","6140","36808138.5529615","12033933.1520744","9366039.55485211"
"Tachycineta thalassina","6150","Hirundo rustica","6130","6110195.55754842","52168253.9103607","4918818.88288849"
"Tachycineta thalassina","6150","Stelgidopteryx serripennis","6170","6110195.55754842","10005664.6583418","3831412.81108299"
"Mimus polyglottos","7030","Lanius ludovicianus","6220","10150915.5226004","8858017.12959289","8305925.74327194"
"Mimus polyglottos","7030","Oreoscoptes montanus","7020","10150915.5226004","1997217.99378416","1929120.10896737"
"Mimus polyglottos","7030","Dumetella carolinensis","7040","10150915.5226004","6834017.9292553","6020316.06392644"
"Mimus polyglottos","7030","Toxostoma rufum","7050","10150915.5226004","5693489.6508236","5039250.68951969"
"Mimus polyglottos","7030","Toxostoma bendirei","7080","10150915.5226004","822803.582862235","822803.147217211"
"Mimus polyglottos","7030","Toxostoma redivivum","7100","10150915.5226004","210489.200366987","210488.904647353"
"Vireo philadelphicus","6260","Vireo olivaceus","6240","2770151.24904056","12016843.3378712","2515945.85864114"
"Vireo philadelphicus","6260","Vireo solitarius","6290","2770151.24904056","3376033.95659494","2064879.44142554"
"Vireo plumbeus","6291","Vireo gilvus","6270","1299919.83131205","8830552.48599025","1179854.89611946"
"Vireo cassinii","6292","Vireo gilvus","6270","1036899.59231062","8830552.48599025","574642.146516532"
"Vireo cassinii","6292","Vireo huttoni","6320","1036899.59231062","1214666.12199834","280305.350183442"
"Vireo huttoni","6320","Vireo gilvus","6270","1214666.12199834","8830552.48599025","346830.642427617"
"Vireo huttoni","6320","Vireo cassinii","6292","1214666.12199834","1036899.59231062","280305.350183443"
"Vireo bellii","6330","Vireo gilvus","6270","2636542.06466996","8830552.48599025","1799736.38898582"
"Vireo bellii","6330","Vireo flavifrons","6280","2636542.06466996","3168270.54089186","751091.536832206"
"Protonotaria citrea","6370","Mniotilta varia","6360","2227814.66884559","5404732.40195432","1281706.67464791"
"Protonotaria citrea","6370","Dendroica dominica","6630","2227814.66884559","1928938.51856388","1647857.95101453"
"Protonotaria citrea","6370","Dendroica pinus","6710","2227814.66884559","2077585.70678404","998296.676059229"
"Dendroica dominica","6630","Mniotilta varia","6360","1928938.51856388","5404732.40195432","1257427.64107827"
"Dendroica dominica","6630","Protonotaria citrea","6370","1928938.51856388","2227814.66884559","1647857.95101453"
"Dendroica dominica","6630","Dendroica pinus","6710","1928938.51856388","2077585.70678404","1122778.02155848"
"Mniotilta varia","6360","Protonotaria citrea","6370","5404732.40195432","2227814.66884559","1281706.67464791"
"Mniotilta varia","6360","Dendroica dominica","6630","5404732.40195432","1928938.51856388","1257427.64107828"
"Mniotilta varia","6360","Dendroica pinus","6710","5404732.40195432","2077585.70678404","1526449.35923126"
"Oporornis formosus","6770","Limnothlypis swainsonii","6380","1970059.23328642","1142684.10592155","1014747.41019039"
"Oporornis formosus","6770","Seiurus aurocapilla","6740","1970059.23328642","5560914.94524943","1221284.14220809"
"Oporornis formosus","6770","Parkesia noveboracensis","6750","1970059.23328642","7678079.69445045","109868.707053644"
"Oporornis formosus","6770","Parkesia motacilla","6760","1970059.23328642","2411617.91812905","1828138.09130313"
"Parkesia noveboracensis","6750","Limnothlypis swainsonii","6380","7678079.69445045","1142684.10592155","12070.8874520954"
"Parkesia noveboracensis","6750","Dendroica palmarum","6720","7678079.69445045","3388741.73074759","3262094.19105979"
"Parkesia noveboracensis","6750","Seiurus aurocapilla","6740","7678079.69445045","5560914.94524943","3152688.47154509"
"Parkesia noveboracensis","6750","Parkesia motacilla","6760","7678079.69445045","2411617.91812905","375914.098850258"
"Parkesia noveboracensis","6750","Oporornis formosus","6770","7678079.69445045","1970059.23328642","109868.707053644"
"Parkesia noveboracensis","6750","Oporornis agilis","6780","7678079.69445045","1196589.36140084","1050216.79377979"
"Parkesia motacilla","6760","Limnothlypis swainsonii","6380","2411617.91812905","1142684.10592155","913859.881131031"
"Parkesia motacilla","6760","Seiurus aurocapilla","6740","2411617.91812905","5560914.94524943","1721801.5806424"
"Parkesia motacilla","6760","Parkesia noveboracensis","6750","2411617.91812905","7678079.69445045","375914.098850258"
"Parkesia motacilla","6760","Oporornis formosus","6770","2411617.91812905","1970059.23328642","1828138.09130314"
"Parkesia motacilla","6760","Oporornis agilis","6780","2411617.91812905","1196589.36140084","2543.36829164914"
"Vermivora cyanoptera","6410","Helmitheros vermivorum","6390","1784803.48893932","1754212.46454789","998641.958727923"
"Vermivora cyanoptera","6410","Parula americana","6480","1784803.48893932","3366089.02404895","1118888.9738011"
"Vermivora cyanoptera","6410","Dendroica petechia","6520","1784803.48893932","15523411.5295267","1728167.79677761"
"Vermivora cyanoptera","6410","Dendroica pinus","6710","1784803.48893932","2077585.70678404","602720.012003759"
"Vermivora cyanoptera","6410","Dendroica discolor","6730","1784803.48893932","1647483.80263172","850606.014682672"
"Vermivora cyanoptera","6410","Geothlypis trichas","6810","1784803.48893932","12866759.2375821","1784336.77386907"
"Vermivora cyanoptera","6410","Wilsonia citrina","6840","1784803.48893932","2009439.59827428","987146.708578893"
"Helmitheros vermivorum","6390","Vermivora cyanoptera","6410","1754212.46454789","1784803.48893932","998641.958727923"
"Helmitheros vermivorum","6390","Parula americana","6480","1754212.46454789","3366089.02404895","1647212.46591921"
"Helmitheros vermivorum","6390","Dendroica petechia","6520","1754212.46454789","15523411.5295267","1135237.02942331"
"Helmitheros vermivorum","6390","Dendroica pinus","6710","1754212.46454789","2077585.70678404","1050588.61917714"
"Helmitheros vermivorum","6390","Dendroica discolor","6730","1754212.46454789","1647483.80263172","1332812.89567459"
"Helmitheros vermivorum","6390","Geothlypis trichas","6810","1754212.46454789","12866759.2375821","1754203.94757281"
"Helmitheros vermivorum","6390","Wilsonia citrina","6840","1754212.46454789","2009439.59827428","1553974.79368881"
"Dendroica nigrescens","6650","Vermivora luciae","6430","1798857.25760877","391355.086474992","192403.298066453"
"Dendroica nigrescens","6650","Dendroica petechia","6520","1798857.25760877","15523411.5295267","1624709.95314273"
"Dendroica nigrescens","6650","Dendroica graciae","6640","1798857.25760877","1123772.00425037","522813.325947443"
"Dendroica nigrescens","6650","Myioborus pictus","6880","1798857.25760877","1126013.68371578","225272.590215877"
"Cardellina rubrifrons","6900","Vermivora luciae","6430","393332.995143169","391355.086474992","106065.966671407"
"Cardellina rubrifrons","6900","Dendroica graciae","6640","393332.995143169","1123772.00425037","243571.536989763"
"Cardellina rubrifrons","6900","Myioborus pictus","6880","393332.995143169","1126013.68371578","364273.511184393"
"Vermivora celata","6460","Vermivora virginiae","6440","7846143.64808195","336864.696904857","234469.708433035"
"Vermivora celata","6460","Vermivora peregrina","6470","7846143.64808195","4841798.79960179","3830543.12178001"
"Vermivora celata","6460","Dendroica tigrina","6500","7846143.64808195","2597215.17394992","1847695.79608234"
"Vermivora celata","6460","Dendroica petechia","6520","7846143.64808195","15523411.5295267","7738363.80900178"
"Vermivora celata","6460","Dendroica coronata","6550","7846143.64808195","10280159.9077172","7415467.56412672"
"Vermivora celata","6460","Dendroica pensylvanica","6590","7846143.64808195","2441176.29908873","822190.553836666"
"Vermivora celata","6460","Dendroica castanea","6600","7846143.64808195","2702365.02228157","1851633.18583516"
"Vermivora celata","6460","Dendroica striata","6610","7846143.64808195","6439953.99315025","4462959.02642807"
"Vermivora celata","6460","Dendroica fusca","6620","7846143.64808195","2046866.85865663","592316.059657812"
"Vermivora celata","6460","Dendroica virens","6670","7846143.64808195","3323344.54537512","1557148.45391859"
"Vermivora celata","6460","Dendroica townsendi","6680","7846143.64808195","1406150.85982242","1348257.64104061"
"Vermivora celata","6460","Oporornis philadelphia","6790","7846143.64808195","2728129.13802747","1217579.40392596"
"Vermivora celata","6460","Geothlypis trichas","6810","7846143.64808195","12866759.2375821","5464497.50373018"
"Vermivora celata","6460","Wilsonia pusilla","6850","7846143.64808195","7993254.4402918","5990068.34118718"
"Vermivora peregrina","6470","Vermivora ruficapilla","6450","4841798.79960179","2791025.83495612","1732395.75250541"
"Vermivora peregrina","6470","Vermivora celata","6460","4841798.79960179","7846143.64808195","3830543.12178002"
"Vermivora peregrina","6470","Dendroica tigrina","6500","4841798.79960179","2597215.17394992","2476211.05708541"
"Vermivora peregrina","6470","Dendroica petechia","6520","4841798.79960179","15523411.5295267","4840489.5003236"
"Vermivora peregrina","6470","Dendroica coronata","6550","4841798.79960179","10280159.9077172","4601282.89121293"
"Vermivora peregrina","6470","Dendroica pensylvanica","6590","4841798.79960179","2441176.29908873","1568500.04658397"
"Vermivora peregrina","6470","Dendroica castanea","6600","4841798.79960179","2702365.02228157","2613999.30533836"
"Vermivora peregrina","6470","Dendroica striata","6610","4841798.79960179","6439953.99315025","3459032.67477362"
"Vermivora peregrina","6470","Dendroica fusca","6620","4841798.79960179","2046866.85865663","1386282.52305755"
"Vermivora peregrina","6470","Dendroica virens","6670","4841798.79960179","3323344.54537512","2382247.56145659"
"Vermivora peregrina","6470","Dendroica townsendi","6680","4841798.79960179","1406150.85982242","470535.688611925"
"Vermivora peregrina","6470","Oporornis philadelphia","6790","4841798.79960179","2728129.13802747","2051342.22030391"
"Vermivora peregrina","6470","Geothlypis trichas","6810","4841798.79960179","12866759.2375821","3860584.12658351"
"Vermivora peregrina","6470","Wilsonia pusilla","6850","4841798.79960179","7993254.4402918","4080726.36223328"
"Dendroica striata","6610","Vermivora ruficapilla","6450","6439953.99315025","2791025.83495612","774345.357531882"
"Dendroica striata","6610","Vermivora celata","6460","6439953.99315025","7846143.64808195","4462959.0264281"
"Dendroica striata","6610","Vermivora peregrina","6470","6439953.99315025","4841798.79960179","3459032.67477362"
"Dendroica striata","6610","Dendroica tigrina","6500","6439953.99315025","2597215.17394992","1524234.7186137"
"Dendroica striata","6610","Dendroica petechia","6520","6439953.99315025","15523411.5295267","5933922.79708126"
"Dendroica striata","6610","Dendroica coronata","6550","6439953.99315025","10280159.9077172","5569609.00264233"
"Dendroica striata","6610","Dendroica pensylvanica","6590","6439953.99315025","2441176.29908873","569533.018944383"
"Dendroica striata","6610","Dendroica castanea","6600","6439953.99315025","2702365.02228157","1696015.09652654"
"Dendroica striata","6610","Dendroica fusca","6620","6439953.99315025","2046866.85865663","450062.644216771"
"Dendroica striata","6610","Dendroica virens","6670","6439953.99315025","3323344.54537512","1624718.05721981"
"Dendroica striata","6610","Dendroica townsendi","6680","6439953.99315025","1406150.85982242","559190.788215582"
"Dendroica striata","6610","Oporornis philadelphia","6790","6439953.99315025","2728129.13802747","1187563.35574522"
"Dendroica striata","6610","Geothlypis trichas","6810","6439953.99315025","12866759.2375821","2892829.29753277"
"Dendroica striata","6610","Wilsonia pusilla","6850","6439953.99315025","7993254.4402918","5624552.16166807"
"Dendroica castanea","6600","Vermivora ruficapilla","6450","2702365.02228157","2791025.83495612","1667626.01488649"
"Dendroica castanea","6600","Vermivora celata","6460","2702365.02228157","7846143.64808195","1851633.18583515"
"Dendroica castanea","6600","Vermivora peregrina","6470","2702365.02228157","4841798.79960179","2613999.30533834"
"Dendroica castanea","6600","Dendroica tigrina","6500","2702365.02228157","2597215.17394992","1922297.02653701"
"Dendroica castanea","6600","Dendroica petechia","6520","2702365.02228157","15523411.5295267","2702301.2744426"
"Dendroica castanea","6600","Dendroica coronata","6550","2702365.02228157","10280159.9077172","2702210.20003519"
"Dendroica castanea","6600","Dendroica pensylvanica","6590","2702365.02228157","2441176.29908873","1500561.62779512"
"Dendroica castanea","6600","Dendroica striata","6610","2702365.02228157","6439953.99315025","1696015.09652655"
"Dendroica castanea","6600","Dendroica fusca","6620","2702365.02228157","2046866.85865663","1373230.6232875"
"Dendroica castanea","6600","Dendroica virens","6670","2702365.02228157","3323344.54537512","2008615.89597665"
"Dendroica castanea","6600","Oporornis philadelphia","6790","2702365.02228157","2728129.13802747","1654631.381489"
"Dendroica castanea","6600","Geothlypis trichas","6810","2702365.02228157","12866759.2375821","2300927.61604047"
"Dendroica castanea","6600","Wilsonia pusilla","6850","2702365.02228157","7993254.4402918","2281258.55714758"
"Dendroica fusca","6620","Vermivora ruficapilla","6450","2046866.85865663","2791025.83495612","1823665.40294312"
"Dendroica fusca","6620","Vermivora celata","6460","2046866.85865663","7846143.64808195","592316.059657811"
"Dendroica fusca","6620","Vermivora peregrina","6470","2046866.85865663","4841798.79960179","1386282.52305755"
"Dendroica fusca","6620","Dendroica tigrina","6500","2046866.85865663","2597215.17394992","1219230.30647936"
"Dendroica fusca","6620","Dendroica petechia","6520","2046866.85865663","15523411.5295267","2045562.88668768"
"Dendroica fusca","6620","Dendroica coronata","6550","2046866.85865663","10280159.9077172","1744928.3380069"
"Dendroica fusca","6620","Dendroica pensylvanica","6590","2046866.85865663","2441176.29908873","1918931.88360165"
"Dendroica fusca","6620","Dendroica castanea","6600","2046866.85865663","2702365.02228157","1373230.6232875"
"Dendroica fusca","6620","Dendroica striata","6610","2046866.85865663","6439953.99315025","450062.644216772"
"Dendroica fusca","6620","Dendroica virens","6670","2046866.85865663","3323344.54537512","1849568.83626059"
"Dendroica fusca","6620","Oporornis philadelphia","6790","2046866.85865663","2728129.13802747","1590465.83062515"
"Dendroica fusca","6620","Geothlypis trichas","6810","2046866.85865663","12866759.2375821","2035894.84921908"
"Dendroica fusca","6620","Wilsonia pusilla","6850","2046866.85865663","7993254.4402918","1011096.90089258"
"Oporornis philadelphia","6790","Vermivora ruficapilla","6450","2728129.13802747","2791025.83495612","1820167.27588536"
"Oporornis philadelphia","6790","Vermivora celata","6460","2728129.13802747","7846143.64808195","1217579.40392596"
"Oporornis philadelphia","6790","Vermivora peregrina","6470","2728129.13802747","4841798.79960179","2051342.22030391"
"Oporornis philadelphia","6790","Dendroica tigrina","6500","2728129.13802747","2597215.17394992","1783305.54877014"
"Oporornis philadelphia","6790","Dendroica petechia","6520","2728129.13802747","15523411.5295267","2727928.25735264"
"Oporornis philadelphia","6790","Dendroica coronata","6550","2728129.13802747","10280159.9077172","2421236.80124584"
"Oporornis philadelphia","6790","Dendroica pensylvanica","6590","2728129.13802747","2441176.29908873","1820393.2720988"
"Oporornis philadelphia","6790","Dendroica castanea","6600","2728129.13802747","2702365.02228157","1654631.38148902"
"Oporornis philadelphia","6790","Dendroica striata","6610","2728129.13802747","6439953.99315025","1187563.35574522"
"Oporornis philadelphia","6790","Dendroica fusca","6620","2728129.13802747","2046866.85865663","1590465.83062515"
"Oporornis philadelphia","6790","Dendroica virens","6670","2728129.13802747","3323344.54537512","2223424.62468139"
"Oporornis philadelphia","6790","Geothlypis trichas","6810","2728129.13802747","12866759.2375821","2659598.0860094"
"Oporornis philadelphia","6790","Wilsonia pusilla","6850","2728129.13802747","7993254.4402918","1563175.55110024"
"Dendroica tigrina","6500","Vermivora ruficapilla","6450","2597215.17394992","2791025.83495612","1408217.94936572"
"Dendroica tigrina","6500","Vermivora celata","6460","2597215.17394992","7846143.64808195","1847695.79608233"
"Dendroica tigrina","6500","Vermivora peregrina","6470","2597215.17394992","4841798.79960179","2476211.0570854"
"Dendroica tigrina","6500","Dendroica petechia","6520","2597215.17394992","15523411.5295267","2597155.15341519"
"Dendroica tigrina","6500","Dendroica coronata","6550","2597215.17394992","10280159.9077172","2549478.55551991"
"Dendroica tigrina","6500","Dendroica pensylvanica","6590","2597215.17394992","2441176.29908873","1383611.53294467"
"Dendroica tigrina","6500","Dendroica castanea","6600","2597215.17394992","2702365.02228157","1922297.02653701"
"Dendroica tigrina","6500","Dendroica striata","6610","2597215.17394992","6439953.99315025","1524234.7186137"
"Dendroica tigrina","6500","Dendroica fusca","6620","2597215.17394992","2046866.85865663","1219230.30647936"
"Dendroica tigrina","6500","Dendroica virens","6670","2597215.17394992","3323344.54537512","1821813.02616129"
"Dendroica tigrina","6500","Oporornis philadelphia","6790","2597215.17394992","2728129.13802747","1783305.54877014"
"Dendroica tigrina","6500","Geothlypis trichas","6810","2597215.17394992","12866759.2375821","2211797.86151391"
"Dendroica tigrina","6500","Wilsonia pusilla","6850","2597215.17394992","7993254.4402918","2003883.90164627"
"Vermivora ruficapilla","6450","Vermivora celata","6460","2791025.83495612","7846143.64808195","1379804.20417705"
