Focal Common Name,Focal Scientific Name,Focal AOU,Competitor Common Name,Competitor Scientific Name,Competitor AOU,Main Competitor (1)
Yellow-bellied Sapsucker,Sphyrapicus varius,4020,Eurasian three-toed woodpecker,Picoides tridactylus,4010,0
Yellow-bellied Sapsucker,Sphyrapicus varius,4020,Red-headed Woodpecker,Melanerpes erythrocephalus,4060,0
Yellow-bellied Sapsucker,Sphyrapicus varius,4020,Red-bellied Woodpecker,Melanerpes carolinus,4090,0
Nuttall's Woodpecker,Dryobates nuttallii,3970,Hairy Woodpecker,Leuconotopicus villosus,3930,1
Nuttall's Woodpecker,Dryobates nuttallii,3970,Downy Woodpecker,Dryobates pubescens,3940,0
Nuttall's Woodpecker,Dryobates nuttallii,3970,Ladder-backed Woodpecker,Dryobates scalaris,3960,0
Nuttall's Woodpecker,Dryobates nuttallii,3970,White-headed Woodpecker,Leuconotopicus albolarvatus,3990,0
Nuttall's Woodpecker,Dryobates nuttallii,3970,Black-backed Woodpecker,Picoides arcticus,4000,0
Nuttall's Woodpecker,Dryobates nuttallii,3970,Red-breasted Sapsucker,Sphyrapicus ruber,4030,0
Nuttall's Woodpecker,Dryobates nuttallii,3970,Williamson's Sapsucker,Sphyrapicus thyroideus,4040,0
Red-bellied Woodpecker,Melanerpes carolinus,4090,Hairy Woodpecker,Leuconotopicus villosus,3930,0
Red-bellied Woodpecker,Melanerpes carolinus,4090,Red-cockaded Woodpecker,Leuconotopicus borealis,3950,0
Red-bellied Woodpecker,Melanerpes carolinus,4090,Black-backed Woodpecker,Picoides arcticus,4000,0
Red-bellied Woodpecker,Melanerpes carolinus,4090,Yellow-bellied Sapsucker,Sphyrapicus varius,4020,0
Red-bellied Woodpecker,Melanerpes carolinus,4090,Red-headed Woodpecker,Melanerpes erythrocephalus,4060,1
Red-bellied Woodpecker,Melanerpes carolinus,4090,Golden-fronted Woodpecker,Melanerpes aurifrons,4100,0
Red-bellied Woodpecker,Melanerpes carolinus,4090,Northern Flicker,Colaptes auratus,4120,0
Golden-fronted Woodpecker,Melanerpes aurifrons,4100,Hairy Woodpecker,Leuconotopicus villosus,3930,0
Golden-fronted Woodpecker,Melanerpes aurifrons,4100,Red-headed Woodpecker,Melanerpes erythrocephalus,4060,0
Golden-fronted Woodpecker,Melanerpes aurifrons,4100,Acorn Woodpecker,Melanerpes formicivorus,4070,1
Golden-fronted Woodpecker,Melanerpes aurifrons,4100,Red-bellied Woodpecker,Melanerpes carolinus,4090,0
Golden-fronted Woodpecker,Melanerpes aurifrons,4100,Northern Flicker,Colaptes auratus,4120,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Hairy Woodpecker,Leuconotopicus villosus,3930,1
Hairy Woodpecker,Leuconotopicus villosus,3930,Red-cockaded Woodpecker,Leuconotopicus borealis,3950,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Nuttall's Woodpecker,Dryobates nuttallii,3970,0
Hairy Woodpecker,Leuconotopicus villosus,3930,White-headed Woodpecker,Leuconotopicus albolarvatus,3990,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Black-backed Woodpecker,Picoides arcticus,4000,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Eurasian three-toed woodpecker,Picoides tridactylus,4010,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Yellow-bellied Sapsucker,Sphyrapicus varius,4020,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Red-naped Sapsucker,Sphyrapicus nuchalis,4021,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Red-breasted Sapsucker,Sphyrapicus ruber,4030,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Williamson's Sapsucker,Sphyrapicus thyroideus,4040,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Red-headed Woodpecker,Melanerpes erythrocephalus,4060,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Acorn Woodpecker,Melanerpes formicivorus,4070,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Lewis's Woodpecker,Melanerpes lewis,4080,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Red-bellied Woodpecker,Melanerpes carolinus,4090,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Golden-fronted Woodpecker,Melanerpes aurifrons,4100,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Gila Woodpecker,Melanerpes uropygialis,4110,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Northern Flicker,Colaptes auratus,4120,0
Hairy Woodpecker,Leuconotopicus villosus,3930,Gilded Flicker,Colaptes chrysoides,4140,0
Ladder-backed Woodpecker,Dryobates scalaris,3960,Downy Woodpecker,Dryobates pubescens,3940,1
Ladder-backed Woodpecker,Dryobates scalaris,3960,Nuttall's Woodpecker,Dryobates nuttallii,3970,0
Ladder-backed Woodpecker,Dryobates scalaris,3960,Red-naped Sapsucker,Sphyrapicus nuchalis,4021,0
Downy Woodpecker,Dryobates pubescens,3940,Red-cockaded Woodpecker,Leuconotopicus borealis,3950,0
Downy Woodpecker,Dryobates pubescens,3940,Ladder-backed Woodpecker,Dryobates scalaris,3960,0
Downy Woodpecker,Dryobates pubescens,3940,Nuttall's Woodpecker,Dryobates nuttallii,3970,0
Downy Woodpecker,Dryobates pubescens,3940,Yellow-bellied Sapsucker,Sphyrapicus varius,4020,1
Downy Woodpecker,Dryobates pubescens,3940,Red-naped Sapsucker,Sphyrapicus nuchalis,4021,0
Downy Woodpecker,Dryobates pubescens,3940,Red-breasted Sapsucker,Sphyrapicus ruber,4030,0
Downy Woodpecker,Dryobates pubescens,3940,Williamson's Sapsucker,Sphyrapicus thyroideus,4040,0
Red-breasted Sapsucker,Sphyrapicus ruber,4030,Nuttall's Woodpecker,Dryobates nuttallii,3970,0
Red-breasted Sapsucker,Sphyrapicus ruber,4030,Acorn Woodpecker,Melanerpes formicivorus,4070,1
Red-naped Sapsucker,Sphyrapicus nuchalis,4021,Williamson's Sapsucker,Sphyrapicus thyroideus,4040,1
Red-headed Woodpecker,Melanerpes erythrocephalus,4060,Red-bellied Woodpecker,Melanerpes carolinus,4090,0
Red-headed Woodpecker,Melanerpes erythrocephalus,4060,Northern Flicker,Colaptes auratus,4120,1
Broad-tailed Hummingbird,Selasphorus platycercus,4320,Black-chinned Hummingbird,Archilochus alexandri,4290,1
Black-chinned Hummingbird,Archilochus alexandri,4290,Broad-tailed Hummingbird,Selasphorus platycercus,4320,1
Calliope Hummingbird,Selasphorus calliope,4360,Rufous Hummingbird,Selasphorus rufus,4330,1
Anna's Hummingbird,Calypte anna,4310,Allen's Hummingbird,Selasphorus sasin,4340,1
Rufous Hummingbird,Selasphorus rufus,4330,Calliope Hummingbird,Selasphorus calliope,4360,1
Western Kingbird,Tyrannus verticalis,4470,Rose-throated Becard,Pachyramphus aglaiae,4411,0
Western Kingbird,Tyrannus verticalis,4470,Scissor-tailed Flycatcher,Tyrannus forficatus,4430,0
Western Kingbird,Tyrannus verticalis,4470,Eastern Kingbird,Tyrannus tyrannus,4440,0
Western Kingbird,Tyrannus verticalis,4470,Thick-billed Kingbird,Tyrannus crassirostris,4451,0
Western Kingbird,Tyrannus verticalis,4470,Tropical Kingbird,Tyrannus melancholicus,4460,0
Western Kingbird,Tyrannus verticalis,4470,Couch's Kingbird,Tyrannus couchii,4461,0
Western Kingbird,Tyrannus verticalis,4470,Cassin's Kingbird,Tyrannus vociferans,4480,0
Western Kingbird,Tyrannus verticalis,4470,Great Kiskadee,Pitangus sulphuratus,4490,0
Western Kingbird,Tyrannus verticalis,4470,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,4510,0
Western Kingbird,Tyrannus verticalis,4470,Great Crested Flycatcher,Myiarchus crinitus,4520,0
Western Kingbird,Tyrannus verticalis,4470,Brown-crested Flycatcher,Myiarchus tyrannulus,4530,0
Western Kingbird,Tyrannus verticalis,4470,Ash-throated Flycatcher,Myiarchus cinerascens,4540,0
Western Kingbird,Tyrannus verticalis,4470,Dusky-capped Flycatcher,Myiarchus tuberculifer,4550,0
Western Kingbird,Tyrannus verticalis,4470,Eastern Phoebe,Sayornis phoebe,4560,0
Western Kingbird,Tyrannus verticalis,4470,Say's Phoebe,Sayornis saya,4570,1
Western Kingbird,Tyrannus verticalis,4470,Olive-sided Flycatcher,Contopus cooperi,4590,0
Western Kingbird,Tyrannus verticalis,4470,Greater Pewee,Contopus pertinax,4600,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Scissor-tailed Flycatcher,Tyrannus forficatus,4430,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Eastern Kingbird,Tyrannus tyrannus,4440,1
Great Crested Flycatcher,Myiarchus crinitus,4520,Gray Kingbird,Tyrannus dominicensis,4450,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Couch's Kingbird,Tyrannus couchii,4461,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Western Kingbird,Tyrannus verticalis,4470,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Cassin's Kingbird,Tyrannus vociferans,4480,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Great Kiskadee,Pitangus sulphuratus,4490,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Brown-crested Flycatcher,Myiarchus tyrannulus,4530,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Ash-throated Flycatcher,Myiarchus cinerascens,4540,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Eastern Phoebe,Sayornis phoebe,4560,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Say's Phoebe,Sayornis saya,4570,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Black Phoebe,Sayornis nigricans,4580,0
Great Crested Flycatcher,Myiarchus crinitus,4520,Olive-sided Flycatcher,Contopus cooperi,4590,0
Eastern Kingbird,Tyrannus tyrannus,4440,Scissor-tailed Flycatcher,Tyrannus forficatus,4430,0
Eastern Kingbird,Tyrannus tyrannus,4440,Gray Kingbird,Tyrannus dominicensis,4450,0
Eastern Kingbird,Tyrannus tyrannus,4440,Couch's Kingbird,Tyrannus couchii,4461,0
Eastern Kingbird,Tyrannus tyrannus,4440,Western Kingbird,Tyrannus verticalis,4470,0
Eastern Kingbird,Tyrannus tyrannus,4440,Cassin's Kingbird,Tyrannus vociferans,4480,0
Eastern Kingbird,Tyrannus tyrannus,4440,Great Kiskadee,Pitangus sulphuratus,4490,0
Eastern Kingbird,Tyrannus tyrannus,4440,Great Crested Flycatcher,Myiarchus crinitus,4520,1
Eastern Kingbird,Tyrannus tyrannus,4440,Brown-crested Flycatcher,Myiarchus tyrannulus,4530,0
Eastern Kingbird,Tyrannus tyrannus,4440,Ash-throated Flycatcher,Myiarchus cinerascens,4540,0
Eastern Kingbird,Tyrannus tyrannus,4440,Olive-sided Flycatcher,Contopus cooperi,4590,0
Scissor-tailed Flycatcher,Tyrannus forficatus,4430,Eastern Kingbird,Tyrannus tyrannus,4440,1
Scissor-tailed Flycatcher,Tyrannus forficatus,4430,Tropical Kingbird,Tyrannus melancholicus,4460,0
Scissor-tailed Flycatcher,Tyrannus forficatus,4430,Couch's Kingbird,Tyrannus couchii,4461,0
Scissor-tailed Flycatcher,Tyrannus forficatus,4430,Western Kingbird,Tyrannus verticalis,4470,0
Scissor-tailed Flycatcher,Tyrannus forficatus,4430,Cassin's Kingbird,Tyrannus vociferans,4480,0
Scissor-tailed Flycatcher,Tyrannus forficatus,4430,Great Kiskadee,Pitangus sulphuratus,4490,0
Scissor-tailed Flycatcher,Tyrannus forficatus,4430,Great Crested Flycatcher,Myiarchus crinitus,4520,0
Scissor-tailed Flycatcher,Tyrannus forficatus,4430,Brown-crested Flycatcher,Myiarchus tyrannulus,4530,0
Scissor-tailed Flycatcher,Tyrannus forficatus,4430,Ash-throated Flycatcher,Myiarchus cinerascens,4540,0
Scissor-tailed Flycatcher,Tyrannus forficatus,4430,Olive-sided Flycatcher,Contopus cooperi,4590,0
Eastern Phoebe,Sayornis phoebe,4560,Western Kingbird,Tyrannus verticalis,4470,0
Eastern Phoebe,Sayornis phoebe,4560,Great Crested Flycatcher,Myiarchus crinitus,4520,1
Eastern Phoebe,Sayornis phoebe,4560,Ash-throated Flycatcher,Myiarchus cinerascens,4540,0
Eastern Phoebe,Sayornis phoebe,4560,Say's Phoebe,Sayornis saya,4570,0
Eastern Phoebe,Sayornis phoebe,4560,Olive-sided Flycatcher,Contopus cooperi,4590,0
Eastern Phoebe,Sayornis phoebe,4560,Eastern Wood-Pewee,Contopus virens,4610,0
Eastern Phoebe,Sayornis phoebe,4560,Western Wood-Pewee,Contopus sordidulus,4620,0
Eastern Phoebe,Sayornis phoebe,4560,Yellow-bellied Flycatcher,Empidonax flaviventris,4630,0
Eastern Phoebe,Sayornis phoebe,4560,Cordilleran Flycatcher,Empidonax occidentalis,4640,0
Eastern Phoebe,Sayornis phoebe,4560,Acadian Flycatcher,Empidonax virescens,4650,0
Eastern Phoebe,Sayornis phoebe,4560,Willow Flycatcher,Empidonax traillii,4660,0
Eastern Phoebe,Sayornis phoebe,4560,Alder Flycatcher,Empidonax alnorum,4661,0
Eastern Phoebe,Sayornis phoebe,4560,Least Flycatcher,Empidonax minimus,4670,0
Eastern Phoebe,Sayornis phoebe,4560,Hammond's Flycatcher,Empidonax hammondii,4680,0
Eastern Phoebe,Sayornis phoebe,4560,Vermilion Flycatcher,Pyrocephalus rubinus,4710,0
Say's Phoebe,Sayornis saya,4570,Western Kingbird,Tyrannus verticalis,4470,1
Say's Phoebe,Sayornis saya,4570,Ash-throated Flycatcher,Myiarchus cinerascens,4540,0
Olive-sided Flycatcher,Contopus cooperi,4590,Western Kingbird,Tyrannus verticalis,4470,1
Ash-throated Flycatcher,Myiarchus cinerascens,4540,Cassin's Kingbird,Tyrannus vociferans,4480,0
Ash-throated Flycatcher,Myiarchus cinerascens,4540,Say's Phoebe,Sayornis saya,4570,1
Eastern Wood-Pewee,Contopus virens,4610,Ash-throated Flycatcher,Myiarchus cinerascens,4540,0
Eastern Wood-Pewee,Contopus virens,4610,Eastern Phoebe,Sayornis phoebe,4560,1
Eastern Wood-Pewee,Contopus virens,4610,Say's Phoebe,Sayornis saya,4570,0
Eastern Wood-Pewee,Contopus virens,4610,Western Wood-Pewee,Contopus sordidulus,4620,0
Eastern Wood-Pewee,Contopus virens,4610,Yellow-bellied Flycatcher,Empidonax flaviventris,4630,0
Eastern Wood-Pewee,Contopus virens,4610,Acadian Flycatcher,Empidonax virescens,4650,0
Eastern Wood-Pewee,Contopus virens,4610,Willow Flycatcher,Empidonax traillii,4660,0
Eastern Wood-Pewee,Contopus virens,4610,Alder Flycatcher,Empidonax alnorum,4661,0
Eastern Wood-Pewee,Contopus virens,4610,Least Flycatcher,Empidonax minimus,4670,0
Eastern Wood-Pewee,Contopus virens,4610,Vermilion Flycatcher,Pyrocephalus rubinus,4710,0
Cassin's Kingbird,Tyrannus vociferans,4480,Ash-throated Flycatcher,Myiarchus cinerascens,4540,1
Western Wood-Pewee,Contopus sordidulus,4620,Dusky-capped Flycatcher,Myiarchus tuberculifer,4550,0
Western Wood-Pewee,Contopus sordidulus,4620,Eastern Phoebe,Sayornis phoebe,4560,0
Western Wood-Pewee,Contopus sordidulus,4620,Say's Phoebe,Sayornis saya,4570,1
Western Wood-Pewee,Contopus sordidulus,4620,Black Phoebe,Sayornis nigricans,4580,0
Western Wood-Pewee,Contopus sordidulus,4620,Eastern Wood-Pewee,Contopus virens,4610,0
Western Wood-Pewee,Contopus sordidulus,4620,Yellow-bellied Flycatcher,Empidonax flaviventris,4630,0
Western Wood-Pewee,Contopus sordidulus,4620,Cordilleran Flycatcher,Empidonax occidentalis,4640,0
Western Wood-Pewee,Contopus sordidulus,4620,Pacific-slope Flycatcher,Empidonax difficilis,4641,0
Western Wood-Pewee,Contopus sordidulus,4620,Willow Flycatcher,Empidonax traillii,4660,0
Western Wood-Pewee,Contopus sordidulus,4620,Alder Flycatcher,Empidonax alnorum,4661,0
Western Wood-Pewee,Contopus sordidulus,4620,Least Flycatcher,Empidonax minimus,4670,0
Western Wood-Pewee,Contopus sordidulus,4620,Hammond's Flycatcher,Empidonax hammondii,4680,0
Western Wood-Pewee,Contopus sordidulus,4620,Dusky Flycatcher,Empidonax oberholseri,4690,0
Western Wood-Pewee,Contopus sordidulus,4620,Gray Flycatcher,Empidonax wrightii,4691,0
Western Wood-Pewee,Contopus sordidulus,4620,Buff-breasted Flycatcher,Empidonax fulvifrons,4700,0
Western Wood-Pewee,Contopus sordidulus,4620,Vermilion Flycatcher,Pyrocephalus rubinus,4710,0
Western Wood-Pewee,Contopus sordidulus,4620,Northern beardless tyrannulet,Camptostoma imberbe,4720,0
Least Flycatcher,Empidonax minimus,4670,Eastern Phoebe,Sayornis phoebe,4560,0
Least Flycatcher,Empidonax minimus,4670,Eastern Wood-Pewee,Contopus virens,4610,0
Least Flycatcher,Empidonax minimus,4670,Western Wood-Pewee,Contopus sordidulus,4620,0
Least Flycatcher,Empidonax minimus,4670,Yellow-bellied Flycatcher,Empidonax flaviventris,4630,0
Least Flycatcher,Empidonax minimus,4670,Cordilleran Flycatcher,Empidonax occidentalis,4640,0
Least Flycatcher,Empidonax minimus,4670,Pacific-slope Flycatcher,Empidonax difficilis,4641,0
Least Flycatcher,Empidonax minimus,4670,Acadian Flycatcher,Empidonax virescens,4650,0
Least Flycatcher,Empidonax minimus,4670,Willow Flycatcher,Empidonax traillii,4660,0
Least Flycatcher,Empidonax minimus,4670,Alder Flycatcher,Empidonax alnorum,4661,1
Least Flycatcher,Empidonax minimus,4670,Hammond's Flycatcher,Empidonax hammondii,4680,0
Least Flycatcher,Empidonax minimus,4670,Dusky Flycatcher,Empidonax oberholseri,4690,0
Vermilion Flycatcher,Pyrocephalus rubinus,4710,Black Phoebe,Sayornis nigricans,4580,1
Pacific-slope Flycatcher,Empidonax difficilis,4641,Black Phoebe,Sayornis nigricans,4580,0
Pacific-slope Flycatcher,Empidonax difficilis,4641,Western Wood-Pewee,Contopus sordidulus,4620,1
Pacific-slope Flycatcher,Empidonax difficilis,4641,Yellow-bellied Flycatcher,Empidonax flaviventris,4630,0
Pacific-slope Flycatcher,Empidonax difficilis,4641,Cordilleran Flycatcher,Empidonax occidentalis,4640,0
Pacific-slope Flycatcher,Empidonax difficilis,4641,Willow Flycatcher,Empidonax traillii,4660,0
Pacific-slope Flycatcher,Empidonax difficilis,4641,Alder Flycatcher,Empidonax alnorum,4661,0
Pacific-slope Flycatcher,Empidonax difficilis,4641,Least Flycatcher,Empidonax minimus,4670,0
Pacific-slope Flycatcher,Empidonax difficilis,4641,Hammond's Flycatcher,Empidonax hammondii,4680,0
Pacific-slope Flycatcher,Empidonax difficilis,4641,Dusky Flycatcher,Empidonax oberholseri,4690,0
Pacific-slope Flycatcher,Empidonax difficilis,4641,Gray Flycatcher,Empidonax wrightii,4691,0
Pacific-slope Flycatcher,Empidonax difficilis,4641,Vermilion Flycatcher,Pyrocephalus rubinus,4710,0
Acadian Flycatcher,Empidonax virescens,4650,Eastern Wood-Pewee,Contopus virens,4610,1
Acadian Flycatcher,Empidonax virescens,4650,Yellow-bellied Flycatcher,Empidonax flaviventris,4630,0
Acadian Flycatcher,Empidonax virescens,4650,Willow Flycatcher,Empidonax traillii,4660,0
Acadian Flycatcher,Empidonax virescens,4650,Alder Flycatcher,Empidonax alnorum,4661,0
Acadian Flycatcher,Empidonax virescens,4650,Least Flycatcher,Empidonax minimus,4670,0
Alder Flycatcher,Empidonax alnorum,4661,Western Wood-Pewee,Contopus sordidulus,4620,0
Alder Flycatcher,Empidonax alnorum,4661,Yellow-bellied Flycatcher,Empidonax flaviventris,4630,1
Alder Flycatcher,Empidonax alnorum,4661,Acadian Flycatcher,Empidonax virescens,4650,0
Alder Flycatcher,Empidonax alnorum,4661,Willow Flycatcher,Empidonax traillii,4660,0
Alder Flycatcher,Empidonax alnorum,4661,Least Flycatcher,Empidonax minimus,4670,0
Hammond's Flycatcher,Empidonax hammondii,4680,Cordilleran Flycatcher,Empidonax occidentalis,4640,0
Hammond's Flycatcher,Empidonax hammondii,4680,Dusky Flycatcher,Empidonax oberholseri,4690,1
Gray Flycatcher,Empidonax wrightii,4691,Cordilleran Flycatcher,Empidonax occidentalis,4640,0
Gray Flycatcher,Empidonax wrightii,4691,Dusky Flycatcher,Empidonax oberholseri,4690,1
Willow Flycatcher,Empidonax traillii,4660,Alder Flycatcher,Empidonax alnorum,4661,1
American Redstart,Setophaga ruticilla,6870,Least Flycatcher,Empidonax minimus,4670,1
American Redstart,Setophaga ruticilla,6870,Black-throated Blue Warbler,Dendroica caerulescens,6540,0
American Redstart,Setophaga ruticilla,6870,Magnolia Warbler,Dendroica magnolia,6570,0
American Redstart,Setophaga ruticilla,6870,Canada Warbler,Wilsonia canadensis,6860,0
Dusky Flycatcher,Empidonax oberholseri,4690,Hammond's Flycatcher,Empidonax hammondii,4680,1
Dusky Flycatcher,Empidonax oberholseri,4690,Gray Flycatcher,Empidonax wrightii,4691,0
Cordilleran Flycatcher,Empidonax occidentalis,4640,Hammond's Flycatcher,Empidonax hammondii,4680,1
Cordilleran Flycatcher,Empidonax occidentalis,4640,Gray Flycatcher,Empidonax wrightii,4691,0
Black Phoebe,Sayornis nigricans,4580,Vermilion Flycatcher,Pyrocephalus rubinus,4710,1
Pinyon Jay,Gymnorhinus cyanocephalus,4920,Black-billed Magpie,Pica pica,4750,1
Black-billed Magpie,Pica pica,4750,Yellow-billed Magpie,Pica nuttalli,4760,0
Black-billed Magpie,Pica pica,4750,Steller's Jay,Cyanocitta stelleri,4780,1
Black-billed Magpie,Pica pica,4750,Western Scrub-Jay,Aphelocoma californica,4812,0
Black-billed Magpie,Pica pica,4750,Clark's Nutcracker,Nucifraga columbiana,4910,0
Black-billed Magpie,Pica pica,4750,Pinyon Jay,Gymnorhinus cyanocephalus,4920,0
Gray Jay,Perisoreus canadensis,4840,Steller's Jay,Cyanocitta stelleri,4780,1
Gray Jay,Perisoreus canadensis,4840,Clark's Nutcracker,Nucifraga columbiana,4910,0
Western Scrub-Jay,Aphelocoma californica,4812,Steller's Jay,Cyanocitta stelleri,4780,1
Western Scrub-Jay,Aphelocoma californica,4812,Gray Jay,Perisoreus canadensis,4840,0
Western Scrub-Jay,Aphelocoma californica,4812,Clark's Nutcracker,Nucifraga columbiana,4910,0
Blue Jay,Cyanocitta cristata,4770,Florida Scrub-Jay,Aphelocoma coerulescens,4790,0
Blue Jay,Cyanocitta cristata,4770,Western Scrub-Jay,Aphelocoma californica,4812,0
Blue Jay,Cyanocitta cristata,4770,Gray Jay,Perisoreus canadensis,4840,1
Blue Jay,Cyanocitta cristata,4770,Clark's Nutcracker,Nucifraga columbiana,4910,0
Blue Jay,Cyanocitta cristata,4770,Pinyon Jay,Gymnorhinus cyanocephalus,4920,0
Steller's Jay,Cyanocitta stelleri,4780,Western Scrub-Jay,Aphelocoma californica,4812,0
Steller's Jay,Cyanocitta stelleri,4780,Gray Jay,Perisoreus canadensis,4840,0
Steller's Jay,Cyanocitta stelleri,4780,Clark's Nutcracker,Nucifraga columbiana,4910,1
Clark's Nutcracker,Nucifraga columbiana,4910,Gray Jay,Perisoreus canadensis,4840,1
American Crow,Corvus brachyrhynchos,4880,Chihuahuan Raven,Corvus cryptoleucus,4870,0
American Crow,Corvus brachyrhynchos,4880,Fish Crow,Corvus ossifragus,4900,1
Fish Crow,Corvus ossifragus,4900,American Crow,Corvus brachyrhynchos,4880,1
Red-winged Blackbird,Agelaius phoeniceus,4980,Bobolink,Dolichonyx oryzivorus,4940,0
Red-winged Blackbird,Agelaius phoeniceus,4980,Brown-headed Cowbird,Molothrus ater,4950,1
Red-winged Blackbird,Agelaius phoeniceus,4980,Bronzed Cowbird,Molothrus aeneus,4960,0
Red-winged Blackbird,Agelaius phoeniceus,4980,Shiny Cowbird,Molothrus bonariensis,4961,0
Red-winged Blackbird,Agelaius phoeniceus,4980,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,4970,0
Red-winged Blackbird,Agelaius phoeniceus,4980,Tricolored Blackbird,Agelaius tricolor,5000,0
Red-winged Blackbird,Agelaius phoeniceus,4980,Eastern Meadowlark,Sturnella magna,5010,0
Red-winged Blackbird,Agelaius phoeniceus,4980,Altamira Oriole,Icterus gularis,5031,0
Red-winged Blackbird,Agelaius phoeniceus,4980,Spot-breasted Oriole,Icterus pectoralis,5032,0
Red-winged Blackbird,Agelaius phoeniceus,4980,Scott's Oriole,Icterus parisorum,5040,0
Red-winged Blackbird,Agelaius phoeniceus,4980,Baltimore Oriole,Icterus galbula,5070,0
Red-winged Blackbird,Agelaius phoeniceus,4980,Bullock's Oriole,Icterus bullockii,5080,0
