Focal AOU,Environment Occupancy ,Competition Occupancy,Shared Occupancy,None Occupancy,Total Variance Occupancy,Environment Abundance,Competition Abundance,Shared Abundance,None Abundance,Total Variance Abundance,Rc,n
6291,0.223862106,0.027607476,0.083010864,0.665519554,0.334480446,0.090195097,0.12876141,0.21380849,0.668388937,0.432764997,0.109784554,207
6292,0.171600693,0.005825067,0.039146349,0.783427892,0.216572108,0.09839613,0.018945189,0.056621878,0.839156925,0.173963197,0.032831009,180
6310,0.152075685,0.051878832,0.231272418,0.564773065,0.435226935,0.01771754,0.166413899,0.284142231,0.646261397,0.46827367,0.254364712,912
6330,0.257615078,0.000301651,0.051370032,0.690713239,0.309286761,0.13618093,0.004825342,0.087020284,0.776497135,0.228026557,0.001169566,348
6360,0.054881796,0.000431293,0.008595971,0.936090941,0.063909059,0.031478502,0.011353303,0.021249158,0.946841047,0.064080964,0.007797299,993
6370,0.294567458,0.04343999,-0.04288115,0.704873702,0.295126298,0.241934018,0.083903802,-0.036919444,0.751545437,0.288918376,0.128517847,405
6380,0.257651974,0.000609509,0.011524815,0.730213703,0.269786297,0.061717517,0.058497375,0.048590713,0.889082262,0.168805604,0.002360046,168
6390,0.035721754,0.098667636,0.024029694,0.841580916,0.158419084,0.027031112,0.488018912,0.387193366,0.487107886,0.90224339,0.734192154,453
6410,0.077571967,0.010921662,-0.003606671,0.915113042,0.084886958,0.063371098,0.156167858,0.12458845,0.801118789,0.344127407,0.123417494,498
6450,0.165023729,0.458460281,-0.129035953,0.505551943,0.494448057,0.143094465,0.442251076,-0.124712338,0.523157593,0.460633203,0.735320029,468
6460,0.191654818,0.097613507,0.026174112,0.684557563,0.315442437,0.086136687,0.175484666,0.088757275,0.72749253,0.350378629,0.337449692,444
6480,0.072557917,0.093999699,-0.014564272,0.848006656,0.151993344,0.05905831,0.226513073,0.122932544,0.724009448,0.408503926,0.564367461,1134
6520,0.183666776,0.074308214,0.010530114,0.731494896,0.268505104,0.050559977,0.162458837,0.080880818,0.794250991,0.293899632,0.288044256,1962
6540,0.11530831,0.149935749,-0.012181264,0.746937205,0.253062795,0.020874011,0.239028024,0.155470427,0.673719813,0.415372461,0.565274675,336
6570,0.032049467,0.274201997,0.0408986,0.652849936,0.347150064,0.024034248,0.296878152,0.071927998,0.629835757,0.392840398,0.89534918,402
6590,0.091481618,0.227790985,0.230656848,0.45007055,0.54992945,0.020198081,0.504113687,0.39181691,0.360194025,0.916128678,0.713468625,651
6620,0.125735061,0.276205757,-0.022041091,0.620100273,0.379899727,0.109938018,0.568673388,0.237932506,0.375923719,0.916543912,0.687180164,399
6630,0.117210742,0.056284875,-0.016239516,0.842743899,0.157256101,0.061016728,0.042694509,-0.021536581,0.904234978,0.082174657,0.324416697,531
6650,0.087997646,0.086336161,-0.014672289,0.840338483,0.159661517,0.125581979,0.225302259,0.161606625,0.626475236,0.512490863,0.49523476,231
6670,0.031141928,0.396801009,0.023636866,0.548420197,0.451579803,0.019027618,0.723509568,0.320329241,0.263842131,1.062866428,0.927228783,573
6710,0.019139625,0.267806713,0.092222744,0.620830919,0.379169081,0.011844836,0.356629071,0.173658192,0.546690259,0.542132099,0.933298941,915
6730,0.080546433,0.088871693,0.100854558,0.729727316,0.270272684,0.040512782,0.211040444,0.229185723,0.641429801,0.48073895,0.524570156,690
6740,0.017283071,0.289550815,0.07146747,0.621698645,0.378301355,0.029687728,0.527917954,0.268274606,0.412486852,0.825880288,0.943672874,1146
6760,0.112593723,0.006363469,0.000636295,0.880406513,0.119593487,0.052474232,0.002781108,-0.005911827,0.947074126,0.049343513,0.053493774,681
6770,0.132603434,0.008721993,0.058392579,0.800281994,0.199718006,0.09567664,0.023063527,0.069902091,0.825699276,0.188642259,0.061715668,672
6790,0.129660322,0.213324654,0.198172572,0.458842453,0.541157547,0.060040821,0.450680436,0.35300627,0.373628255,0.863727527,0.62196501,426
6800,0.174179868,0.089745639,0.050765333,0.68530916,0.31469084,0.179712015,0.149702909,0.111688874,0.618853472,0.441103798,0.340041551,342
6810,0.308822778,0.012694096,0.038884398,0.639598728,0.360401272,0.118864445,0.049141211,0.08326553,0.785175929,0.251271185,0.039481898,2256
6830,0.283106144,0.000701855,0.025348634,0.690843366,0.309156634,0.139617343,0.004948811,0.03955984,0.820120962,0.184125994,0.002472994,1182
6840,0.07037879,0.214494345,0.043028692,0.672098173,0.327901827,0.050693692,0.381006982,0.260787108,0.474024855,0.692487782,0.752946904,678
6850,0.038646994,0.260417286,0.032070291,0.66886543,0.33113457,0.063200993,0.398569107,0.1381433,0.538238421,0.5999134,0.87077362,447
6860,0.101775132,0.004008581,-0.003390415,0.897606702,0.102393298,0.087892757,0.015384721,0.050407493,0.857691169,0.153684971,0.03789412,321
6870,0.15608545,0.000722414,0.066314024,0.776878112,0.223121888,0.043011775,0.003331692,0.006993469,0.949272342,0.053336936,0.004607,1140
6882,0.173859796,0.000997611,0.008332898,0.816809695,0.183190305,0.06002155,3.64E-05,0.001271758,0.937709082,0.061329701,0.005705283,2229
7020,0.086186237,0.142329715,-0.000666144,0.772150192,0.227849808,0.036787191,0.037454641,-0.106992251,0.927875344,-0.032750418,0.622843675,219
7030,0.120765108,0.119859474,0.321311017,0.4380644,0.5619356,0.019830141,0.295113382,0.400326921,0.459983464,0.715270443,0.498118161,1614
7040,0.273421104,0.079614625,0.119207452,0.527756819,0.472243181,0.120992006,0.057232051,0.050725463,0.748667906,0.228949519,0.225514357,1899
7050,0.310131324,0.042772259,-0.003699846,0.650796263,0.349203737,0.176563177,0.036438176,0.008307897,0.772356667,0.22130925,0.121200977,1788
7150,0.081336015,0.073260818,0.042546631,0.802856536,0.197143464,0.050391567,0.069475982,0.020172944,0.856174672,0.140040493,0.473883044,474
