"FocalAOU","main_g_non_e","Comp_count","nulle","Null"
6010,1,131,0.00757575757575758,"Null"
6040,0,189,0,"Null"
6050,0,150,0,"Null"
6070,0,207,0,"Null"
6080,0,150,0,"Null"
6100,0,190,0,"Null"
6120,1,274,0.00363636363636364,"Null"
6130,1,271,0.00367647058823529,"Null"
6140,0,240,0,"Null"
6150,0,204,0,"Null"
6160,0,229,0,"Null"
6170,2,266,0.00749063670411985,"Null"
6240,0,227,0,"Null"
6270,0,255,0,"Null"
6280,2,171,0.0116279069767442,"Null"
6290,2,152,0.0130718954248366,"Null"
6291,0,143,0,"Null"
6292,1,167,0.00595238095238095,"Null"
6310,1,150,0.00662251655629139,"Null"
6330,0,169,0,"Null"
6360,1,186,0.0053475935828877,"Null"
6370,1,111,0.00892857142857143,"Null"
6380,0,98,0,"Null"
6390,1,122,0.00813008130081301,"Null"
6410,4,127,0.03125,"Null"
6450,3,197,0.0151515151515152,"Null"
6460,3,198,0.0150753768844221,"Null"
6480,6,159,0.0375,"Null"
6520,10,264,0.0377358490566038,"Null"
6540,0,130,0,"Null"
6570,0,150,0,"Null"
6590,11,144,0.0758620689655172,"Null"
6620,1,135,0.00735294117647059,"Null"
6630,0,124,0,"Null"
6650,0,173,0,"Null"
6670,5,144,0.0344827586206897,"Null"
6710,3,152,0.0196078431372549,"Null"
6730,5,129,0.0384615384615385,"Null"
6740,3,184,0.0162162162162162,"Null"
6760,2,131,0.0151515151515152,"Null"
6770,1,125,0.00793650793650794,"Null"
6790,4,135,0.0294117647058824,"Null"
6800,0,160,0,"Null"
6810,8,266,0.0299625468164794,"Null"
6830,5,251,0.0198412698412698,"Null"
6840,2,130,0.0152671755725191,"Null"
6850,3,206,0.0144927536231884,"Null"
6860,2,138,0.0143884892086331,"Null"
6870,2,200,0.00995024875621891,"Null"
6882,0,273,0,"Null"
7020,0,133,0,"Null"
7030,0,262,0,"Null"
7040,0,222,0,"Null"
7050,1,208,0.00478468899521531,"Null"
7150,0,209,0,"Null"
7180,0,166,0,"Null"
7190,0,227,0,"Null"
7210,1,257,0.00387596899224806,"Null"
7221,0,136,0,"Null"
7222,0,135,0,"Null"
7240,0,150,0,"Null"
7260,1,228,0.00436681222707424,"Null"
7270,0,261,0,"Null"
7280,0,235,0,"Null"
7310,1,150,0.00662251655629139,"Null"
7350,2,224,0.00888888888888889,"Null"
7360,1,145,0.00684931506849315,"Null"
7380,0,172,0,"Null"
7430,2,194,0.0102564102564103,"Null"
7480,0,209,0,"Null"
7510,0,250,0,"Null"
7540,1,161,0.00617283950617284,"Null"
7550,0,152,0,"Null"
7560,2,195,0.0102040816326531,"Null"
7580,0,216,0,"Null"
7590,0,238,0,"Null"
7610,2,270,0.00738007380073801,"Null"
7660,0,197,0,"Null"
7670,0,169,0,"Null"
7680,0,195,0,"Null"
