"focalAOU","Focal","FocalSciName","CompAOU","Competitor","CompSciName","Family","mainCompetitor"
4120,"Northern Flicker","Colaptes auratus",4090,"Red-bellied Woodpecker","Melanerpes carolinus","Picidae",0
4120,"Northern Flicker","Colaptes auratus",4100,"Golden-fronted Woodpecker","Melanerpes aurifrons","Picidae",0
4120,"Northern Flicker","Colaptes auratus",4140,"Gilded Flicker","Colaptes chrysoides","Picidae",0
4290,"Black-chinned Hummingbird","Archilochus alexandri",4320,"Broad-tailed Hummingbird","Selasphorus platycercus","Trochilidae",1
4310,"Anna's Hummingbird","Calypte anna",4340,"Allen's Hummingbird","Selasphorus sasin","Trochilidae",1
4320,"Broad-tailed Hummingbird","Selasphorus platycercus",4290,"Black-chinned Hummingbird","Archilochus alexandri","Trochilidae",1
4330,"Rufous Hummingbird","Selasphorus rufus",4360,"Calliope Hummingbird","Selasphorus calliope","Trochilidae",1
4360,"Calliope Hummingbird","Selasphorus calliope",4330,"Rufous Hummingbird","Selasphorus rufus","Trochilidae",1
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus",4440,"Eastern Kingbird","Tyrannus tyrannus","Tyrannidae",1
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus",4460,"Tropical Kingbird","Tyrannus melancholicus","Tyrannidae",0
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus",4461,"Couch's Kingbird","Tyrannus couchii","Tyrannidae",0
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus",4470,"Western Kingbird","Tyrannus verticalis","Tyrannidae",0
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus",4480,"Cassin's Kingbird","Tyrannus vociferans","Tyrannidae",0
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus",4490,"Great Kiskadee","Pitangus sulphuratus","Tyrannidae",0
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus",4520,"Great Crested Flycatcher","Myiarchus crinitus","Tyrannidae",0
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus",4530,"Brown-crested Flycatcher","Myiarchus tyrannulus","Tyrannidae",0
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus",4540,"Ash-throated Flycatcher","Myiarchus cinerascens","Tyrannidae",0
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus",4590,"Olive-sided Flycatcher","Contopus cooperi","Tyrannidae",0
4440,"Eastern Kingbird","Tyrannus tyrannus",4520,"Great Crested Flycatcher","Myiarchus crinitus","Tyrannidae",1
