AOU,CommonName,Competitor
6500,Cape May Warbler,Blackburnian Warbler
6500,Cape May Warbler,Common Yellowthroat
6500,Cape May Warbler,Yellow Warbler
6500,Cape May Warbler,Yellow-rumped Warbler
6500,Cape May Warbler,Chestnut-sided Warbler
6500,Cape May Warbler,Wilson's Warbler
6500,Cape May Warbler,Black-throated Green Warbler
6500,Cape May Warbler,Mourning Warbler
5180,Cassin's Finch,House Finch
4480,Cassin's Kingbird,Ash-throated Flycatcher
6292,Cassin's Vireo,Warbling Vireo
6292,Cassin's Vireo,Hutton's Vireo
7410,Chestnut-backed Chickadee,Oak Titmouse
7410,Chestnut-backed Chickadee,Bushtit
5380,Chestnut-collared Longspur,McCown's Longspur
5380,Chestnut-collared Longspur,Lark Bunting
4870,Chihuahuan Raven,Common Raven
4910,Clark's Nutcracker,Gray Jay
6780,Connecticut Warbler,Northern Waterthrush
6780,Connecticut Warbler,Louisiana Waterthrush
6780,Connecticut Warbler,Ovenbird
4640,Cordilleran Flycatcher,Gray Flycatcher
4640,Cordilleran Flycatcher,Hammond's Flycatcher
5660,Dark-eyed Junco,Song Sparrow
5660,Dark-eyed Junco,Savannah Sparrow
4690,Dusky Flycatcher,Hammond's Flycatcher
4690,Dusky Flycatcher,Gray Flycatcher
5140,Evening Grosbeak,American Goldfinch
5850,Fox Sparrow,Lincoln's Sparrow
5850,Fox Sparrow,White-crowned Sparrow
7480,Golden-crowned Kinglet,Ruby-crowned Kinglet
5460,Grasshopper Sparrow,Baird's Sparrow
5460,Grasshopper Sparrow,Chipping Sparrow
4691,Gray Flycatcher,Cordilleran Flycatcher
4691,Gray Flycatcher,Dusky Flycatcher
4840,Gray Jay,Steller's Jay
4840,Gray Jay,Clark's Nutcracker
2881,Gray Partridge,Ring-necked Pheasant
2881,Gray Partridge,Ruffed Grouse
2881,Gray Partridge,Spruce Grouse
5120,Great-tailed Grackle,Brown-headed Cowbird
5120,Great-tailed Grackle,Red-winged Blackbird
5900,Green-tailed Towhee,Spotted Towhee
4680,Hammond's Flycatcher,Cordilleran Flycatcher
4680,Hammond's Flycatcher,Dusky Flycatcher
7590,Hermit Thrush,Townsend's Solitaire
7590,Hermit Thrush,Swainson's Thrush
6690,Hermit Warbler,Yellow-breasted Chat
6690,Hermit Warbler,Black-throated Gray Warbler
6690,Hermit Warbler,Common Yellowthroat
6690,Hermit Warbler,Yellow Warbler
6690,Hermit Warbler,Yellow-rumped Warbler
6690,Hermit Warbler,MacGillivray's Warbler
5050,Hooded Oriole,Scott's Oriole
5050,Hooded Oriole,Bullock's Oriole
6840,Hooded Warbler,Yellow-breasted Chat
6840,Hooded Warbler,Prairie Warbler
6840,Hooded Warbler,Common Yellowthroat
6320,Hutton's Vireo,Cassin's Vireo
6320,Hutton's Vireo,Warbling Vireo
3210,Inca Dove,White-winged Dove
3210,Inca Dove,Mourning Dove
3210,Inca Dove,Common Ground-Dove
7331,Juniper Titmouse,Mountain Chickadee
6770,Kentucky Warbler,Swainson's Warbler
6770,Kentucky Warbler,Louisiana Waterthrush
6770,Kentucky Warbler,Northern Waterthrush
6770,Kentucky Warbler,Ovenbird
6050,Lark Bunting,Chestnut-collared Longspur
6050,Lark Bunting,Grasshopper Sparrow
6050,Lark Bunting,Lark Sparrow
6050,Lark Bunting,Brewer's Sparrow
5520,Lark Sparrow,Baird's Sparrow
5520,Lark Sparrow,Chipping Sparrow
5520,Lark Sparrow,Brewer's Sparrow
5990,Lazuli Bunting,Black-headed Grosbeak
5480,Le Conte's Sparrow,Savannah Sparrow
5480,Le Conte's Sparrow,Chipping Sparrow
5300,Lesser Goldfinch,House Finch
5300,Lesser Goldfinch,Pine Siskin
5830,Lincoln's Sparrow,White-crowned Sparrow
5830,Lincoln's Sparrow,Swamp Sparrow
5830,Lincoln's Sparrow,Fox Sparrow
6220,Loggerhead Shrike,American Kestrel
6760,Louisiana Waterthrush,Swainson's Warbler
6760,Louisiana Waterthrush,Palm Warbler
6760,Louisiana Waterthrush,Northern Waterthrush
6760,Louisiana Waterthrush,Kentucky Warbler
6760,Louisiana Waterthrush,Connecticut Warbler
6760,Louisiana Waterthrush,Ovenbird
6430,Lucy's Warbler,Yellow Warbler
6430,Lucy's Warbler,Painted Redstart
6430,Lucy's Warbler,Grace's Warbler
6430,Lucy's Warbler,Black-throated Gray Warbler
6430,Lucy's Warbler,Yellow-breasted Chat
6430,Lucy's Warbler,Red-faced Warbler
6800,MacGillivray's Warbler,Hermit Warbler
6800,MacGillivray's Warbler,Yellow-breasted Chat
6800,MacGillivray's Warbler,Black-throated Gray Warbler
6800,MacGillivray's Warbler,Townsend's Warbler
6800,MacGillivray's Warbler,Common Yellowthroat
6800,MacGillivray's Warbler,Yellow Warbler
6800,MacGillivray's Warbler,Yellow-rumped Warbler
6570,Magnolia Warbler,Black-throated Blue Warbler
6570,Magnolia Warbler,Canada Warbler
6570,Magnolia Warbler,American Redstart
7680,Mountain Bluebird,Townsend's Solitaire
7680,Mountain Bluebird,American Robin
7380,Mountain Chickadee,Juniper Titmouse
2920,Mountain Quail,California Quail
6790,Mourning Warbler,Blackburnian Warbler
6790,Mourning Warbler,Blackpoll Warbler
6790,Mourning Warbler,Bay-breasted Warbler
6790,Mourning Warbler,Tennessee Warbler
6790,Mourning Warbler,Orange-crowned Warbler
6790,Mourning Warbler,Nashville Warbler
6790,Mourning Warbler,Cape May Warbler
6790,Mourning Warbler,Common Yellowthroat
6790,Mourning Warbler,Yellow Warbler
6790,Mourning Warbler,Yellow-rumped Warbler
6790,Mourning Warbler,Chestnut-sided Warbler
6790,Mourning Warbler,Wilson's Warbler
6790,Mourning Warbler,Black-throated Green Warbler
6450,Nashville Warbler,Orange-crowned Warbler
6450,Nashville Warbler,Tennessee Warbler
6450,Nashville Warbler,Cape May Warbler
6450,Nashville Warbler,Bay-breasted Warbler
6450,Nashville Warbler,Blackpoll Warbler
6450,Nashville Warbler,Blackburnian Warbler
6450,Nashville Warbler,Common Yellowthroat
6450,Nashville Warbler,Yellow Warbler
6450,Nashville Warbler,Yellow-rumped Warbler
6450,Nashville Warbler,Chestnut-sided Warbler
6450,Nashville Warbler,Wilson's Warbler
6450,Nashville Warbler,Black-throated Green Warbler
6450,Nashville Warbler,Townsend's Warbler
6450,Nashville Warbler,Mourning Warbler
5491,Nelson's Sharp-tailed Sparrow,Le Conte's Sparrow
5491,Nelson's Sharp-tailed Sparrow,Chipping Sparrow
7030,Northern Mockingbird,Gray Catbird
7030,Northern Mockingbird,Brown Thrasher
7030,Northern Mockingbird,Sage Thrasher
7030,Northern Mockingbird,Phainopepla
7030,Northern Mockingbird,Loggerhead Shrike
7030,Northern Mockingbird,Bendire's Thrasher
7030,Northern Mockingbird,California Thrasher
6750,Northern Waterthrush,Swainson's Warbler
6750,Northern Waterthrush,Palm Warbler
6750,Northern Waterthrush,Louisiana Waterthrush
6750,Northern Waterthrush,Kentucky Warbler
6750,Northern Waterthrush,Connecticut Warbler
6750,Northern Waterthrush,Ovenbird
4890,Northwestern Crow,Common Raven
4890,Northwestern Crow,Black-billed Magpie
4590,Olive-sided Flycatcher,Western Wood-Pewee
4590,Olive-sided Flycatcher,Western Kingbird
6460,Orange-crowned Warbler,Virginia's Warbler
6460,Orange-crowned Warbler,Tennessee Warbler
6460,Orange-crowned Warbler,Cape May Warbler
6460,Orange-crowned Warbler,Bay-breasted Warbler
6460,Orange-crowned Warbler,Blackpoll Warbler
6460,Orange-crowned Warbler,Blackburnian Warbler
6460,Orange-crowned Warbler,Common Yellowthroat
6460,Orange-crowned Warbler,Yellow Warbler
6460,Orange-crowned Warbler,Yellow-rumped Warbler
6460,Orange-crowned Warbler,Chestnut-sided Warbler
6460,Orange-crowned Warbler,Wilson's Warbler
6460,Orange-crowned Warbler,Black-throated Green Warbler
6460,Orange-crowned Warbler,Townsend's Warbler
6460,Orange-crowned Warbler,Mourning Warbler
6720,Palm Warbler,Northern Waterthrush
6720,Palm Warbler,Louisiana Waterthrush
6720,Palm Warbler,Ovenbird
6260,Philadelphia Vireo,Blue-headed Vireo
6260,Philadelphia Vireo,Red-eyed Vireo
5330,Pine Siskin,Lesser Goldfinch
5330,Pine Siskin,Red Crossbill
4920,Pinyon Jay,Black-billed Magpie
6291,Plumbeous Vireo,Warbling Vireo
6370,Prothonotary Warbler,Yellow-throated Warbler
6370,Prothonotary Warbler,Black-and-white Warbler
6370,Prothonotary Warbler,Pine Warbler
5940,Pyrrhuloxia,Northern Cardinal
5940,Pyrrhuloxia,Blue Grosbeak
5210,Red Crossbill,White-winged Crossbill
5210,Red Crossbill,Purple Finch
7280,Red-breasted Nuthatch,Brown Creeper
7280,Red-breasted Nuthatch,White-breasted Nuthatch
4030,Red-breasted Sapsucker,Nuttall's Woodpecker
4030,Red-breasted Sapsucker,Acorn Woodpecker
6900,Red-faced Warbler,Lucy's Warbler
6900,Red-faced Warbler,Painted Redstart
6900,Red-faced Warbler,Grace's Warbler
4060,Red-headed Woodpecker,Red-bellied Woodpecker
4060,Red-headed Woodpecker,Northern Flicker
4021,Red-naped Sapsucker,Williamson's Sapsucker
3091,Ring-necked Pheasant,Gray Partridge
3091,Ring-necked Pheasant,Wild Turkey
7150,Rock Wren,Bewick's Wren
7150,Rock Wren,House Wren
7490,Ruby-crowned Kinglet,Golden-crowned Kinglet
3000,Ruffed Grouse,Spruce Grouse
3000,Ruffed Grouse,Gray Partridge
4330,Rufous Hummingbird,Calliope Hummingbird
5800,Rufous-crowned Sparrow,Black-chinned Sparrow
5740,Sage Sparrow,Song Sparrow
7020,Sage Thrasher,Northern Mockingbird
7020,Sage Thrasher,Bendire's Thrasher
4570,Say's Phoebe,Western Kingbird
4570,Say's Phoebe,Ash-throated Flycatcher
5040,Scott's Oriole,Bullock's Oriole
5040,Scott's Oriole,Hooded Oriole
7240,Sedge Wren,Winter Wren
7240,Sedge Wren,House Wren
5880,Spotted Towhee,Green-tailed Towhee
7000,Sprague's Pipit,Vesper Sparrow
4780,Steller's Jay,Western Scrub-Jay
4780,Steller's Jay,Clark's Nutcracker
4780,Steller's Jay,Gray Jay
7580,Swainson's Thrush,Hermit Thrush
6380,Swainson's Warbler,Northern Waterthrush
6380,Swainson's Warbler,Louisiana Waterthrush
6380,Swainson's Warbler,Kentucky Warbler
6380,Swainson's Warbler,Ovenbird
5840,Swamp Sparrow,Lincoln's Sparrow
5840,Swamp Sparrow,White-throated Sparrow
6470,Tennessee Warbler,Orange-crowned Warbler
6470,Tennessee Warbler,Nashville Warbler
6470,Tennessee Warbler,Cape May Warbler
6470,Tennessee Warbler,Bay-breasted Warbler
6470,Tennessee Warbler,Blackpoll Warbler
6470,Tennessee Warbler,Blackburnian Warbler
6470,Tennessee Warbler,Common Yellowthroat
6470,Tennessee Warbler,Yellow Warbler
6470,Tennessee Warbler,Yellow-rumped Warbler
6470,Tennessee Warbler,Chestnut-sided Warbler
6470,Tennessee Warbler,Wilson's Warbler
6470,Tennessee Warbler,Black-throated Green Warbler
6470,Tennessee Warbler,Townsend's Warbler
6470,Tennessee Warbler,Mourning Warbler
7540,Townsend's Solitaire,Mountain Bluebird
7540,Townsend's Solitaire,Hermit Thrush
7630,Varied Thrush,Gray-cheeked Thrush
7630,Varied Thrush,Swainson's Thrush
7630,Varied Thrush,Hermit Thrush
4240,Vaux's Swift,Black Swift
4710,Vermilion Flycatcher,Black Phoebe
5400,Vesper Sparrow,Song Sparrow
5400,Vesper Sparrow,Brewer's Sparrow
5400,Vesper Sparrow,Sprague's Pipit
6150,Violet-green Swallow,Northern Rough-winged Swallow
6150,Violet-green Swallow,Barn Swallow
6440,Virginia's Warbler,Orange-crowned Warbler
7670,Western Bluebird,Hermit Thrush
7670,Western Bluebird,American Robin
4812,Western Scrub-Jay,Steller's Jay
4812,Western Scrub-Jay,Gray Jay
4812,Western Scrub-Jay,Clark's Nutcracker
5540,White-crowned Sparrow,Golden-crowned Sparrow
5540,White-crowned Sparrow,Lincoln's Sparrow
5540,White-crowned Sparrow,Fox Sparrow
5220,White-winged Crossbill,Red Crossbill
5220,White-winged Crossbill,Purple Finch
3100,Wild Turkey,Ring-necked Pheasant
4660,Willow Flycatcher,Alder Flycatcher
7222,Winter Wren,House Wren
7221,Pacific Wren,House Wren
7222,Winter Wren,Marsh Wren
7221,Pacific Wren,Marsh Wren
7222,Winter Wren,Sedge Wren
6390,Worm-eating Warbler,Blue-winged Warbler
6390,Worm-eating Warbler,Pine Warbler
6390,Worm-eating Warbler,Northern Parula
6390,Worm-eating Warbler,Prairie Warbler
6390,Worm-eating Warbler,Yellow Warbler
6390,Worm-eating Warbler,Common Yellowthroat
6390,Worm-eating Warbler,Yellow-breasted Chat
6390,Worm-eating Warbler,Hooded Warbler
7420,Wrentit,Oak Titmouse
7420,Wrentit,Bushtit
6830,Yellow-breasted Chat,Hooded Warbler
6830,Yellow-breasted Chat,Worm-eating Warbler
6830,Yellow-breasted Chat,Blue-winged Warbler
6830,Yellow-breasted Chat,Lucy's Warbler
6830,Yellow-breasted Chat,Black-throated Gray Warbler
6830,Yellow-breasted Chat,Hermit Warbler
6830,Yellow-breasted Chat,MacGillivray's Warbler
4970,Yellow-headed Blackbird,Red-winged Blackbird
6630,Yellow-throated Warbler,Black-and-white Warbler
6630,Yellow-throated Warbler,Prothonotary Warbler
6630,Yellow-throated Warbler,Pine Warbler
4560,Eastern Phoebe,Gray Kingbird
4949,Brown-headed Cowbird,Eastern Meadowlark
4950,Brown-headed Cowbird,Western Meadowlark
4960,Bronzed Cowbird,Great-tailed Grackle
5011,Western Meadowlark,Great-tailed Grackle
5080,Bullock's Oriole,Great-tailed Grackle
6110,Purple Martin,Cliff Swallow
6130,Barn Swallow,Cliff Swallow
6140,Tree Swallow,Cliff Swallow
6170,Northern Rough-winged Swallow,Cliff Swallow
7610,American Robin,Northern Wheatear
2890,Northern Bobwhite,Scaled Quail
2930,Scaled Quail,Gambel's Quail
2930,Scaled Quail,Northern Bobwhite
2930,Scaled Quail,Montezuma Quail
2940,California Quail,Mountain Quail
2950,Gambel's Quail,Scaled Quail
2950,Gambel's Quail,Montezuma Quail
3131,Rock Pigeon,Red-billed Pigeon
3131,Rock Pigeon,Band-tailed Pigeon
3131,Rock Pigeon,Eurasian Collared-Dove
3131,Rock Pigeon,White-winged Dove
3131,Rock Pigeon,Mourning Dove
3131,Rock Pigeon,Inca Dove
3131,Rock Pigeon,Common Ground-Dove
3160,Mourning Dove,Rock Pigeon
3160,Mourning Dove,Band-tailed Pigeon
3160,Mourning Dove,Eurasian Collared-Dove
3160,Mourning Dove,White-winged Dove
3160,Mourning Dove,Inca Dove
3160,Mourning Dove,Common Ground-Dove
3190,White-winged Dove,Rock Pigeon
3190,White-winged Dove,Band-tailed Pigeon
3190,White-winged Dove,Eurasian Collared-Dove
3190,White-winged Dove,Mourning Dove
3190,White-winged Dove,Inca Dove
3190,White-winged Dove,Common Ground-Dove
3200,Common Ground-Dove,Rock Pigeon
3200,Common Ground-Dove,Eurasian Collared-Dove
3200,Common Ground-Dove,White-winged Dove
3200,Common Ground-Dove,Mourning Dove
3200,Common Ground-Dove,Inca Dove
3200,Common Ground-Dove,White-tipped Dove
3870,Yellow-billed Cuckoo,Black-billed Cuckoo
3870,Yellow-billed Cuckoo,Greater Roadrunner
3930,Hairy Woodpecker,Lewis's Woodpecker
3930,Hairy Woodpecker,Red-headed Woodpecker
3930,Hairy Woodpecker,Acorn Woodpecker
3930,Hairy Woodpecker,Gila Woodpecker
3930,Hairy Woodpecker,Golden-fronted Woodpecker
3930,Hairy Woodpecker,Red-bellied Woodpecker
3930,Hairy Woodpecker,Williamson's Sapsucker
3930,Hairy Woodpecker,Yellow-bellied Sapsucker
3930,Hairy Woodpecker,Red-naped Sapsucker
3930,Hairy Woodpecker,Red-breasted Sapsucker
3930,Hairy Woodpecker,Ladder-backed Woodpecker
3930,Hairy Woodpecker,Nuttall's Woodpecker
3930,Hairy Woodpecker,Downy Woodpecker
3930,Hairy Woodpecker,Arizona Woodpecker
3930,Hairy Woodpecker,Red-cockaded Woodpecker
3930,Hairy Woodpecker,White-headed Woodpecker
3930,Hairy Woodpecker,American Three-toed Woodpecker
3930,Hairy Woodpecker,Black-backed Woodpecker
3930,Hairy Woodpecker,Northern Flicker
3930,Hairy Woodpecker,Gilded Flicker
3930,Hairy Woodpecker,Pileated Woodpecker
3940,Downy Woodpecker,Lewis's Woodpecker
3940,Downy Woodpecker,Red-headed Woodpecker
3940,Downy Woodpecker,Acorn Woodpecker
3940,Downy Woodpecker,Golden-fronted Woodpecker
3940,Downy Woodpecker,Red-bellied Woodpecker
3940,Downy Woodpecker,Williamson's Sapsucker
3940,Downy Woodpecker,Yellow-bellied Sapsucker
3940,Downy Woodpecker,Red-naped Sapsucker
3940,Downy Woodpecker,Red-breasted Sapsucker
3940,Downy Woodpecker,Ladder-backed Woodpecker
3940,Downy Woodpecker,Nuttall's Woodpecker
3940,Downy Woodpecker,Hairy Woodpecker
3940,Downy Woodpecker,Red-cockaded Woodpecker
3940,Downy Woodpecker,White-headed Woodpecker
3940,Downy Woodpecker,American Three-toed Woodpecker
3940,Downy Woodpecker,Black-backed Woodpecker
3940,Downy Woodpecker,Northern Flicker
3940,Downy Woodpecker,Pileated Woodpecker
3960,Ladder-backed Woodpecker,Lewis's Woodpecker
3960,Ladder-backed Woodpecker,Red-headed Woodpecker
3960,Ladder-backed Woodpecker,Acorn Woodpecker
3960,Ladder-backed Woodpecker,Gila Woodpecker
3960,Ladder-backed Woodpecker,Golden-fronted Woodpecker
3960,Ladder-backed Woodpecker,Red-bellied Woodpecker
3960,Ladder-backed Woodpecker,Red-naped Sapsucker
3960,Ladder-backed Woodpecker,Nuttall's Woodpecker
3960,Ladder-backed Woodpecker,Downy Woodpecker
3960,Ladder-backed Woodpecker,Hairy Woodpecker
3960,Ladder-backed Woodpecker,Arizona Woodpecker
3960,Ladder-backed Woodpecker,White-headed Woodpecker
3960,Ladder-backed Woodpecker,American Three-toed Woodpecker
3960,Ladder-backed Woodpecker,Northern Flicker
3960,Ladder-backed Woodpecker,Gilded Flicker
3960,Ladder-backed Woodpecker,Pileated Woodpecker
3970,Nuttall's Woodpecker,Lewis's Woodpecker
3970,Nuttall's Woodpecker,Acorn Woodpecker
3970,Nuttall's Woodpecker,Williamson's Sapsucker
3970,Nuttall's Woodpecker,Red-breasted Sapsucker
3970,Nuttall's Woodpecker,Ladder-backed Woodpecker
3970,Nuttall's Woodpecker,Downy Woodpecker
3970,Nuttall's Woodpecker,Hairy Woodpecker
3970,Nuttall's Woodpecker,White-headed Woodpecker
3970,Nuttall's Woodpecker,Black-backed Woodpecker
3970,Nuttall's Woodpecker,Northern Flicker
3970,Nuttall's Woodpecker,Pileated Woodpecker
4020,Yellow-bellied Sapsucker,Red-headed Woodpecker
4020,Yellow-bellied Sapsucker,Red-bellied Woodpecker
4020,Yellow-bellied Sapsucker,Downy Woodpecker
4020,Yellow-bellied Sapsucker,Hairy Woodpecker
4020,Yellow-bellied Sapsucker,American Three-toed Woodpecker
4020,Yellow-bellied Sapsucker,Black-backed Woodpecker
4020,Yellow-bellied Sapsucker,Northern Flicker
4020,Yellow-bellied Sapsucker,Pileated Woodpecker
4050,Pileated Woodpecker,Lewis's Woodpecker
4050,Pileated Woodpecker,Red-headed Woodpecker
4050,Pileated Woodpecker,Acorn Woodpecker
4050,Pileated Woodpecker,Golden-fronted Woodpecker
4050,Pileated Woodpecker,Red-bellied Woodpecker
4050,Pileated Woodpecker,Williamson's Sapsucker
4050,Pileated Woodpecker,Yellow-bellied Sapsucker
4050,Pileated Woodpecker,Red-naped Sapsucker
4050,Pileated Woodpecker,Red-breasted Sapsucker
4050,Pileated Woodpecker,Ladder-backed Woodpecker
4050,Pileated Woodpecker,Nuttall's Woodpecker
4050,Pileated Woodpecker,Downy Woodpecker
4050,Pileated Woodpecker,Hairy Woodpecker
4050,Pileated Woodpecker,Red-cockaded Woodpecker
4050,Pileated Woodpecker,White-headed Woodpecker
4050,Pileated Woodpecker,American Three-toed Woodpecker
4050,Pileated Woodpecker,Black-backed Woodpecker
4050,Pileated Woodpecker,Northern Flicker
4090,Red-bellied Woodpecker,Red-headed Woodpecker
4090,Red-bellied Woodpecker,Golden-fronted Woodpecker
4090,Red-bellied Woodpecker,Yellow-bellied Sapsucker
4090,Red-bellied Woodpecker,Ladder-backed Woodpecker
4090,Red-bellied Woodpecker,Downy Woodpecker
4090,Red-bellied Woodpecker,Hairy Woodpecker
4090,Red-bellied Woodpecker,Red-cockaded Woodpecker
4090,Red-bellied Woodpecker,Black-backed Woodpecker
4090,Red-bellied Woodpecker,Northern Flicker
4090,Red-bellied Woodpecker,Pileated Woodpecker
4100,Golden-fronted Woodpecker,Red-headed Woodpecker
4100,Golden-fronted Woodpecker,Acorn Woodpecker
4100,Golden-fronted Woodpecker,Red-bellied Woodpecker
4100,Golden-fronted Woodpecker,Red-naped Sapsucker
4100,Golden-fronted Woodpecker,Ladder-backed Woodpecker
4100,Golden-fronted Woodpecker,Downy Woodpecker
4100,Golden-fronted Woodpecker,Hairy Woodpecker
4100,Golden-fronted Woodpecker,Northern Flicker
4100,Golden-fronted Woodpecker,Pileated Woodpecker
4110,Gila Woodpecker,Acorn Woodpecker
4110,Gila Woodpecker,Red-naped Sapsucker
4110,Gila Woodpecker,Ladder-backed Woodpecker
4110,Gila Woodpecker,Hairy Woodpecker
4110,Gila Woodpecker,Arizona Woodpecker
4110,Gila Woodpecker,Northern Flicker
4110,Gila Woodpecker,Gilded Flicker
4120,Northern Flicker,Lewis's Woodpecker
4120,Northern Flicker,Red-headed Woodpecker
4120,Northern Flicker,Acorn Woodpecker
4120,Northern Flicker,Gila Woodpecker
4120,Northern Flicker,Golden-fronted Woodpecker
4120,Northern Flicker,Red-bellied Woodpecker
4120,Northern Flicker,Williamson's Sapsucker
4120,Northern Flicker,Yellow-bellied Sapsucker
4120,Northern Flicker,Red-naped Sapsucker
