Focal.AOU,Focal.Common.Name,Focal.Scientitic.Name,Focal.Family,Competitor.AOU,Competitor.Common.Name,Competitor.Scientific.Name,Most.Widespread.Competitor,maxCompetitor
4880,American Crow,Corvus brachyrhynchos,Corvidae,4870,Chihuahuan Raven,Corvus cryptoleucus,0,0
4880,American Crow,Corvus brachyrhynchos,Corvidae,4900,Fish Crow,Corvus ossifragus,1,0
4880,American Crow,Corvus brachyrhynchos,Corvidae,4750,Black-billed Magpie,Pica pica,0,1
4750,Black-billed Magpie,Pica pica,Corvidae,4770,Blue Jay,Cyanocitta cristata,0,1
4750,Black-billed Magpie,Pica pica,Corvidae,4812,Western Scrub-Jay,Aphelocoma californica,0,0
4750,Black-billed Magpie,Pica pica,Corvidae,4820,Mexican Jay,Aphelocoma ultramarina,0,0
4750,Black-billed Magpie,Pica pica,Corvidae,4780,Steller's Jay,Cyanocitta stelleri,1,0
4750,Black-billed Magpie,Pica pica,Corvidae,4920,Pinyon Jay,Gymnorhinus cyanocephalus,0,0
4750,Black-billed Magpie,Pica pica,Corvidae,4910,Clark's Nutcracker,Nucifraga columbiana,0,0
4750,Black-billed Magpie,Pica pica,Corvidae,4760,Yellow-billed Magpie,Pica nuttalli,0,0
4770,Blue Jay,Cyanocitta cristata,Corvidae,4812,Western Scrub-Jay,Aphelocoma californica,0,0
4770,Blue Jay,Cyanocitta cristata,Corvidae,4790,Florida Scrub-Jay,Aphelocoma coerulescens,0,0
4770,Blue Jay,Cyanocitta cristata,Corvidae,4920,Pinyon Jay,Gymnorhinus cyanocephalus,0,0
4770,Blue Jay,Cyanocitta cristata,Corvidae,4910,Clark's Nutcracker,Nucifraga columbiana,0,0
4770,Blue Jay,Cyanocitta cristata,Corvidae,4840,Gray Jay,Perisoreus canadensis,1,0
4770,Blue Jay,Cyanocitta cristata,Corvidae,4750,Black-billed Magpie,Pica pica,0,1
4910,Clark's Nutcracker,Nucifraga columbiana,Corvidae,4840,Gray Jay,Perisoreus canadensis,1,1
4900,Fish Crow,Corvus ossifragus,Corvidae,4880,American Crow,Corvus brachyrhynchos,1,0
4900,Fish Crow,Corvus ossifragus,Corvidae,4770,Blue Jay,Cyanocitta cristata,0,1
4840,Gray Jay,Perisoreus canadensis,Corvidae,4780,Steller's Jay,Cyanocitta stelleri,1,1
4840,Gray Jay,Perisoreus canadensis,Corvidae,4910,Clark's Nutcracker,Nucifraga columbiana,0,0
4920,Pinyon Jay,Gymnorhinus cyanocephalus,Corvidae,4750,Black-billed Magpie,Pica pica,1,0
4780,Steller's Jay,Cyanocitta stelleri,Corvidae,4812,Western Scrub-Jay,Aphelocoma californica,0,0
4780,Steller's Jay,Cyanocitta stelleri,Corvidae,4910,Clark's Nutcracker,Nucifraga columbiana,1,1
4780,Steller's Jay,Cyanocitta stelleri,Corvidae,4840,Gray Jay,Perisoreus canadensis,0,0
4812,Western Scrub-Jay,Aphelocoma californica,Corvidae,4780,Steller's Jay,Cyanocitta stelleri,1,1
4812,Western Scrub-Jay,Aphelocoma californica,Corvidae,4910,Clark's Nutcracker,Nucifraga columbiana,0,0
4812,Western Scrub-Jay,Aphelocoma californica,Corvidae,4840,Gray Jay,Perisoreus canadensis,0,0
3880,Black-billed Cuckoo,Coccyzus erythropthalmus,Cuculidae,3870,Yellow-billed Cuckoo,Coccyzus americanus,1,1
3870,Yellow-billed Cuckoo,Coccyzus americanus,Cuculidae,3880,Black-billed Cuckoo,Coccyzus erythropthalmus,1,1
5920,Abert's Towhee,Melozone aberti,Emberizidae,6050,Lark Bunting,Calamospiza melanocorys,0,0
5920,Abert's Towhee,Melozone aberti,Emberizidae,5520,Lark Sparrow,Chondestes grammacus,0,0
5920,Abert's Towhee,Melozone aberti,Emberizidae,5910,Canyon Towhee,Melozone fuscus,1,0
5920,Abert's Towhee,Melozone aberti,Emberizidae,5850,Fox Sparrow,Passerella iliaca,0,0
5920,Abert's Towhee,Melozone aberti,Emberizidae,5900,Green-tailed Towhee,Pipilo chlorurus,0,0
5920,Abert's Towhee,Melozone aberti,Emberizidae,5880,Spotted Towhee,Pipilo maculatus,0,0
5920,Abert's Towhee,Melozone aberti,Emberizidae,5400,Vesper Sparrow,Pooecetes gramineus,0,0
5920,Abert's Towhee,Melozone aberti,Emberizidae,5580,White-throated Sparrow,Zonotrichia albicollis,0,0
5920,Abert's Towhee,Melozone aberti,Emberizidae,5540,White-crowned Sparrow,Zonotrichia leucophrys,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5490,Saltmarsh Sharp-tailed Sparrow,Ammodramus caudacutus,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5480,Le Conte's Sparrow,Ammodramus leconteii,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5500,Seaside Sparrow,Ammodramus maritimus,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5491,Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5740,Sage Sparrow,Amphispiza belli,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,6050,Lark Bunting,Calamospiza melanocorys,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5360,Lapland Longspur,Calcarius lapponicus,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5380,Chestnut-collared Longspur,Calcarius ornatus,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5370,Smith's Longspur,Calcarius pictus,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5677,Dark-eyed Junco,Junco hyemalis,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5840,Swamp Sparrow,Melospiza georgiana,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5830,Lincoln's Sparrow,Melospiza lincolnii,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5810,Song Sparrow,Melospiza melodia,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5420,Savannah Sparrow,Passerculus sandwichensis,1,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5850,Fox Sparrow,Passerella iliaca,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5400,Vesper Sparrow,Pooecetes gramineus,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5390,McCown's Longspur,Rhynchophanes mccownii,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5600,Chipping Sparrow,Spizella passerina,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5630,Field Sparrow,Spizella pusilla,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5580,White-throated Sparrow,Zonotrichia albicollis,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5570,Golden-crowned Sparrow,Zonotrichia atricapilla,0,0
5590,American Tree Sparrow,Spizella arborea,Emberizidae,5540,White-crowned Sparrow,Zonotrichia leucophrys,0,0
5450,Baird's Sparrow,Ammodramus bairdii,Emberizidae,5460,Grasshopper Sparrow,Ammodramus savannarum,1,0
5450,Baird's Sparrow,Ammodramus bairdii,Emberizidae,5520,Lark Sparrow,Chondestes grammacus,0,0
5650,Black-chinned Sparrow,Spizella atrogularis,Emberizidae,5800,Rufous-crowned Sparrow,Aimophila ruficeps,0,0
5650,Black-chinned Sparrow,Spizella atrogularis,Emberizidae,5730,Black-throated Sparrow,Amphispiza bilineata,1,0
5730,Black-throated Sparrow,Amphispiza bilineata,Emberizidae,5800,Rufous-crowned Sparrow,Aimophila ruficeps,0,0
5730,Black-throated Sparrow,Amphispiza bilineata,Emberizidae,5650,Black-chinned Sparrow,Spizella atrogularis,1,1
5620,Brewer's Sparrow,Spizella breweri,Emberizidae,5520,Lark Sparrow,Chondestes grammacus,0,1
5911,California Towhee,Melozone crissalis,Emberizidae,5880,Spotted Towhee,Pipilo maculatus,1,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,5860,Olive Sparrow,Arremonops rufivirgatus,0,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,6050,Lark Bunting,Calamospiza melanocorys,0,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,5520,Lark Sparrow,Chondestes grammacus,1,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,5920,Abert's Towhee,Melozone aberti,0,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,5850,Fox Sparrow,Passerella iliaca,0,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,5900,Green-tailed Towhee,Pipilo chlorurus,0,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,5870,Eastern Towhee,Pipilo erythrophthalmus,0,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,5880,Spotted Towhee,Pipilo maculatus,0,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,5400,Vesper Sparrow,Pooecetes gramineus,0,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,5390,McCown's Longspur,Rhynchophanes mccownii,0,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,5580,White-throated Sparrow,Zonotrichia albicollis,0,0
5910,Canyon Towhee,Melozone fuscus,Emberizidae,5540,White-crowned Sparrow,Zonotrichia leucophrys,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5800,Rufous-crowned Sparrow,Aimophila ruficeps,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5450,Baird's Sparrow,Ammodramus bairdii,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5460,Grasshopper Sparrow,Ammodramus savannarum,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5740,Sage Sparrow,Amphispiza belli,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5730,Black-throated Sparrow,Amphispiza bilineata,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5860,Olive Sparrow,Arremonops rufivirgatus,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,6050,Lark Bunting,Calamospiza melanocorys,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5520,Lark Sparrow,Chondestes grammacus,1,1
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5677,Dark-eyed Junco,Junco hyemalis,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5700,Yellow-eyed Junco,Junco phaeonotus,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5840,Swamp Sparrow,Melospiza georgiana,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5830,Lincoln's Sparrow,Melospiza lincolnii,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5810,Song Sparrow,Melospiza melodia,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5420,Savannah Sparrow,Passerculus sandwichensis,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5850,Fox Sparrow,Passerella iliaca,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5760,Botteri's Sparrow,Peucaea botterii,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5790,Rufous-winged Sparrow,Peucaea carpalis,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5900,Green-tailed Towhee,Pipilo chlorurus,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5400,Vesper Sparrow,Pooecetes gramineus,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5390,McCown's Longspur,Rhynchophanes mccownii,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5650,Black-chinned Sparrow,Spizella atrogularis,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5620,Brewer's Sparrow,Spizella breweri,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5610,Clay-colored Sparrow,Spizella pallida,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5600,Chipping Sparrow,Spizella passerina,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5630,Field Sparrow,Spizella pusilla,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5580,White-throated Sparrow,Zonotrichia albicollis,0,0
5780,Cassin's Sparrow,Peucaea cassinii,Emberizidae,5540,White-crowned Sparrow,Zonotrichia leucophrys,0,0
5380,Chestnut-collared Longspur,Calcarius ornatus,Emberizidae,6050,Lark Bunting,Calamospiza melanocorys,1,0
5380,Chestnut-collared Longspur,Calcarius ornatus,Emberizidae,5390,McCown's Longspur,Rhynchophanes mccownii,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5520,Lark Sparrow,Chondestes grammacus,0,1
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5800,Rufous-crowned Sparrow,Aimophila ruficeps,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5450,Baird's Sparrow,Ammodramus bairdii,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5490,Saltmarsh Sharp-tailed Sparrow,Ammodramus caudacutus,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5470,Henslow's Sparrow,Ammodramus henslowii,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5480,Le Conte's Sparrow,Ammodramus leconteii,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5500,Seaside Sparrow,Ammodramus maritimus,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5491,Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5460,Grasshopper Sparrow,Ammodramus savannarum,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5740,Sage Sparrow,Amphispiza belli,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5730,Black-throated Sparrow,Amphispiza bilineata,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5860,Olive Sparrow,Arremonops rufivirgatus,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5380,Chestnut-collared Longspur,Calcarius ornatus,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5677,Dark-eyed Junco,Junco hyemalis,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5700,Yellow-eyed Junco,Junco phaeonotus,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5840,Swamp Sparrow,Melospiza georgiana,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5830,Lincoln's Sparrow,Melospiza lincolnii,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5810,Song Sparrow,Melospiza melodia,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5420,Savannah Sparrow,Passerculus sandwichensis,1,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5750,Bachman's Sparrow,Peucaea aestivalis,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5760,Botteri's Sparrow,Peucaea botterii,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5790,Rufous-winged Sparrow,Peucaea carpalis,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5780,Cassin's Sparrow,Peucaea cassinii,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5390,McCown's Longspur,Rhynchophanes mccownii,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5590,American Tree Sparrow,Spizella arborea,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5650,Black-chinned Sparrow,Spizella atrogularis,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5620,Brewer's Sparrow,Spizella breweri,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5610,Clay-colored Sparrow,Spizella pallida,0,0
5600,Chipping Sparrow,Spizella passerina,Emberizidae,5630,Field Sparrow,Spizella pusilla,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5800,Rufous-crowned Sparrow,Aimophila ruficeps,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5450,Baird's Sparrow,Ammodramus bairdii,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5470,Henslow's Sparrow,Ammodramus henslowii,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5480,Le Conte's Sparrow,Ammodramus leconteii,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5491,Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5460,Grasshopper Sparrow,Ammodramus savannarum,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5740,Sage Sparrow,Amphispiza belli,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5730,Black-throated Sparrow,Amphispiza bilineata,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5860,Olive Sparrow,Arremonops rufivirgatus,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5380,Chestnut-collared Longspur,Calcarius ornatus,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5677,Dark-eyed Junco,Junco hyemalis,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5840,Swamp Sparrow,Melospiza georgiana,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5830,Lincoln's Sparrow,Melospiza lincolnii,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5810,Song Sparrow,Melospiza melodia,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5420,Savannah Sparrow,Passerculus sandwichensis,1,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5790,Rufous-winged Sparrow,Peucaea carpalis,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5780,Cassin's Sparrow,Peucaea cassinii,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5390,McCown's Longspur,Rhynchophanes mccownii,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5650,Black-chinned Sparrow,Spizella atrogularis,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5620,Brewer's Sparrow,Spizella breweri,0,0
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5600,Chipping Sparrow,Spizella passerina,0,1
5610,Clay-colored Sparrow,Spizella pallida,Emberizidae,5630,Field Sparrow,Spizella pusilla,0,0
5677,Dark-eyed Junco,Junco hyemalis,Emberizidae,5810,Song Sparrow,Melospiza melodia,0,0
5677,Dark-eyed Junco,Junco hyemalis,Emberizidae,5420,Savannah Sparrow,Passerculus sandwichensis,1,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5500,Seaside Sparrow,Ammodramus maritimus,0,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,6050,Lark Bunting,Calamospiza melanocorys,0,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5360,Lapland Longspur,Calcarius lapponicus,0,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5370,Smith's Longspur,Calcarius pictus,0,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5520,Lark Sparrow,Chondestes grammacus,0,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5810,Song Sparrow,Melospiza melodia,1,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5910,Canyon Towhee,Melozone fuscus,0,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5420,Savannah Sparrow,Passerculus sandwichensis,0,1
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5850,Fox Sparrow,Passerella iliaca,0,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5880,Spotted Towhee,Pipilo maculatus,0,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5400,Vesper Sparrow,Pooecetes gramineus,0,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5390,McCown's Longspur,Rhynchophanes mccownii,0,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5580,White-throated Sparrow,Zonotrichia albicollis,0,0
5870,Eastern Towhee,Pipilo erythrophthalmus,Emberizidae,5540,White-crowned Sparrow,Zonotrichia leucophrys,0,0
5630,Field Sparrow,Spizella pusilla,Emberizidae,5800,Rufous-crowned Sparrow,Aimophila ruficeps,0,0
5630,Field Sparrow,Spizella pusilla,Emberizidae,5450,Baird's Sparrow,Ammodramus bairdii,0,0
5630,Field Sparrow,Spizella pusilla,Emberizidae,5490,Saltmarsh Sharp-tailed Sparrow,Ammodramus caudacutus,0,0
5630,Field Sparrow,Spizella pusilla,Emberizidae,5470,Henslow's Sparrow,Ammodramus henslowii,0,0
5630,Field Sparrow,Spizella pusilla,Emberizidae,5480,Le Conte's Sparrow,Ammodramus leconteii,0,0
5630,Field Sparrow,Spizella pusilla,Emberizidae,5500,Seaside Sparrow,Ammodramus maritimus,0,0
5630,Field Sparrow,Spizella pusilla,Emberizidae,5491,Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni,0,0
