"","Focal","focalAOU","Competitor","compAOU","FocalArea","CompArea","area_overlap"
"50","Icterus parisorum","5040","Icterus_cucullatus","5050","1844582.62237865","1181288.1795104","422659.175627267"
"51","Icterus parisorum","5040","Icterus_bullockii","5080","1844582.62237865","3654495.36741893","1105699.52540831"
"52","Loxia leucoptera","5220","Carpodacus_purpureus","5170","15846855.8610866","4552927.64380168","3567249.39446944"
"53","Loxia leucoptera","5220","Loxia_curvirostra","5210","15846855.8610866","24505165.5768502","10672812.354296"
"54","Loxia curvirostra","5210","Carpodacus_purpureus","5170","24505165.5768502","4552927.64380168","3486000.8092969"
"55","Loxia curvirostra","5210","Loxia_leucoptera","5220","24505165.5768502","15846855.8610866","10672812.3542961"
"56","Carpodacus cassinii","5180","Carpodacus_mexicanus","5190","1507191.6708933","7559356.09992723","1022461.88808521"
"57","Carduelis pinus","5330","Carduelis_psaltria","5300","8163072.20483699","3928067.15323745","1871517.9024141"
"58","Carduelis psaltria","5300","Carduelis_pinus","5330","3928067.15323745","8163072.20483699","1871517.9024141"
"59","Calamospiza melanocorys","6050","Calcarius_ornatus","5380","1660954.01252565","799108.953395708","730779.109548155"
"60","Calamospiza melanocorys","6050","Chondestes_grammacus","5520","1660954.01252565","5633306.05649123","1505797.919335"
"61","Calcarius ornatus","5380","Rhynchophanes_mccownii","5390","799108.953395708","686197.742569414","491275.979732782"
"62","Calcarius ornatus","5380","Calamospiza_melanocorys","6050","799108.953395708","1660954.01252565","730779.109548155"
"63","Anthus spragueii","7000","Pooecetes_gramineus","5400","1236827.45084502","6629775.05818192","1089356.38833691"
"64","Ammodramus leconteii","5480","Passerculus_sandwichensis","5420","2899312.43378845","14173809.8099877","2899312.43212253"
"65","Ammodramus leconteii","5480","Spizella_passerina","5600","2899312.43378845","13395245.5750865","2804996.91244123"
"66","Junco hyemalis","5660","Passerculus_sandwichensis","5420","10673941.1649189","14173809.8099877","10029605.8183658"
"67","Junco hyemalis","5660","Melospiza_melodia","5810","10673941.1649189","10467092.5338424","7417007.19549162"
"68","Chondestes grammacus","5520","Ammodramus_bairdii","5450","5633306.05649123","830086.931430825","552734.614947159"
"69","Ammodramus savannarum","5460","Ammodramus_bairdii","5450","5217422.3634511","830086.931430825","672257.043092644"
"70","Ammodramus savannarum","5460","Spizella_passerina","5600","5217422.3634511","13395245.5750865","4471992.82333451"
"71","Ammodramus bairdii","5450","Ammodramus_savannarum","5460","830086.931430825","5217422.3634511","672257.043092643"
"72","Ammodramus bairdii","5450","Chondestes_grammacus","5520","830086.931430825","5633306.05649123","552734.61494716"
"73","Ammodramus nelsoni","5491","Ammodramus_leconteii","5480","1354770.93408503","2899312.43378845","1108504.46793069"
"74","Ammodramus nelsoni","5491","Spizella_passerina","5600","1354770.93408503","13395245.5750865","1251954.41563684"
"75","Melospiza lincolnii","5830","Zonotrichia_leucophrys","5540","7630598.85274487","7442753.5511471","4470366.02874861"
"76","Melospiza lincolnii","5830","Melospiza_georgiana","5840","7630598.85274487","6095604.66530065","4195332.92623937"
"77","Melospiza lincolnii","5830","Passerella_iliaca","5850","7630598.85274487","7594105.57569293","5200838.9683777"
"78","Passerella iliaca","5850","Zonotrichia_leucophrys","5540","7594105.57569293","7442753.5511471","5622411.01173485"
"79","Passerella iliaca","5850","Melospiza_lincolnii","5830","7594105.57569293","7630598.85274487","5200838.96837773"
"80","Zonotrichia leucophrys","5540","Zonotrichia_atricapilla","5570","7442753.5511471","1987991.98421269","1785618.42021241"
"81","Zonotrichia leucophrys","5540","Melospiza_lincolnii","5830","7442753.5511471","7630598.85274487","4470366.02874863"
"82","Zonotrichia leucophrys","5540","Passerella_iliaca","5850","7442753.5511471","7594105.57569293","5622411.01173485"
"83","Melospiza georgiana","5840","Zonotrichia_albicollis","5580","6095604.66530065","5764727.72858602","4846568.23944893"
"84","Melospiza georgiana","5840","Melospiza_lincolnii","5830","6095604.66530065","7630598.85274487","4195332.92623937"
"85","Amphispiza bilineata","5730","Spizella_atrogularis","5650","2452623.02669972","804989.10012114","589423.514153132"
"86","Amphispiza bilineata","5730","Aimophila_ruficeps","5800","2452623.02669972","1184960.36958177","556423.305688676"
"87","Aimophila ruficeps","5800","Spizella_atrogularis","5650","1184960.36958177","804989.10012114","421769.9740785"
"88","Spizella atrogularis","5650","Amphispiza_bilineata","5730","804989.10012114","2452623.02669972","589423.514153132"
"89","Spizella atrogularis","5650","Aimophila_ruficeps","5800","804989.10012114","1184960.36958177","421769.9740785"
"90","Pooecetes gramineus","5400","Melospiza_melodia","5810","6629775.05818192","10467092.5338424","6214808.72526197"
"91","Pooecetes gramineus","5400","Anthus_spragueii","7000","6629775.05818192","1236827.45084502","1089356.38833691"
"92","Amphispiza belli","5740","Melospiza_melodia","5810","1095012.82273199","10467092.5338424","1031967.27966566"
"93","Pipilo chlorurus","5900","Pipilo_maculatus","5880","1742818.0859202","3662633.88628235","1558429.8253636"
"94","Melozone crissalis","5911","Pipilo_maculatus","5880","362321.950147988","3662633.88628235","181657.608067393"
"95","Pipilo maculatus","5880","Pipilo_chlorurus","5900","3662633.88628235","1742818.0859202","1558429.8253636"
"96","Cardinalis sinuatus","5940","Cardinalis_cardinalis","5930","1519359.54943167","5851611.19601086","1325011.63791613"
"97","Cardinalis sinuatus","5940","Passerina_caerulea","5970","1519359.54943167","5299068.78344075","1319940.47033955"
"98","Riparia riparia","6160","Petrochelidon_pyrrhonota","6120","36808138.5529615","12213969.6120951","8048543.62786258"
"99","Riparia riparia","6160","Tachycineta_bicolor","6140","36808138.5529615","12033933.1520744","9366039.55485211"
"100","Tachycineta thalassina","6150","Hirundo_rustica","6130","6110195.55754842","52168253.9103606","4918818.8828885"
"101","Tachycineta thalassina","6150","Stelgidopteryx_serripennis","6170","6110195.55754842","10005664.6583418","3831412.81108296"
"102","Mimus polyglottos","7030","Lanius_ludovicianus","6220","10150915.5226004","8858017.12959287","8305925.74327192"
"103","Mimus polyglottos","7030","Oreoscoptes_montanus","7020","10150915.5226004","1997217.99378418","1929120.10896739"
"104","Mimus polyglottos","7030","Dumetella_carolinensis","7040","10150915.5226004","6834017.92925531","6020316.06392644"
"105","Mimus polyglottos","7030","Toxostoma_rufum","7050","10150915.5226004","5693489.65082359","5039250.68951967"
"106","Mimus polyglottos","7030","Toxostoma_bendirei","7080","10150915.5226004","822803.582861889","822803.147216865"
"107","Mimus polyglottos","7030","Toxostoma_redivivum","7100","10150915.5226004","210489.200366976","210488.904647342"
"108","Vireo philadelphicus","6260","Vireo_olivaceus","6240","2770151.24904059","12016843.3378712","2515945.85864117"
"109","Vireo philadelphicus","6260","Vireo_solitarius","6290","2770151.24904059","3376033.95659495","2064879.44142553"
"110","Vireo plumbeus","6291","Vireo_gilvus","6270","1299919.83131205","8830552.48599001","1179854.89611946"
"111","Vireo cassinii","6292","Vireo_gilvus","6270","1036899.59231062","8830552.48599001","574642.146516532"
"112","Vireo cassinii","6292","Vireo_huttoni","6320","1036899.59231062","1214666.12199834","280305.350183443"
"113","Vireo bellii","6330","Vireo_gilvus","6270","2636542.06467026","8830552.48599001","1799736.38898607"
"114","Vireo bellii","6330","Vireo_flavifrons","6280","2636542.06467026","3168270.54089188","751091.536832206"
"115","Vireo huttoni","6320","Vireo_gilvus","6270","1214666.12199834","8830552.48599001","346830.642427449"
"116","Vireo huttoni","6320","Vireo_cassinii","6292","1214666.12199834","1036899.59231062","280305.350183444"
"117","Protonotaria citrea","6370","Mniotilta_varia","6360","2227814.6688456","5404732.40195431","1281706.67464791"
"118","Protonotaria citrea","6370","Dendroica_dominica","6630","2227814.6688456","1928938.51856387","1647857.95101454"
"119","Protonotaria citrea","6370","Dendroica_pinus","6710","2227814.6688456","2077585.70678404","998296.676059232"
"120","Dendroica dominica","6630","Mniotilta_varia","6360","1928938.51856387","5404732.40195431","1257427.64107827"
"121","Dendroica dominica","6630","Protonotaria_citrea","6370","1928938.51856387","2227814.6688456","1647857.95101454"
"122","Dendroica dominica","6630","Dendroica_pinus","6710","1928938.51856387","2077585.70678404","1122778.02155849"
"123","Mniotilta varia","6360","Protonotaria_citrea","6370","5404732.40195431","2227814.6688456","1281706.67464791"
"124","Mniotilta varia","6360","Dendroica_dominica","6630","5404732.40195431","1928938.51856387","1257427.64107828"
"125","Mniotilta varia","6360","Dendroica_pinus","6710","5404732.40195431","2077585.70678404","1526449.35923124"
"126","Parkesia noveboracensis","6750","Limnothlypis_swainsonii","6380","7678079.69445039","1142684.10592155","12070.8874520954"
"127","Parkesia noveboracensis","6750","Dendroica_palmarum","6720","7678079.69445039","3388741.73074759","3262094.1910598"
"128","Parkesia noveboracensis","6750","Seiurus_aurocapilla","6740","7678079.69445039","5560914.94524942","3152688.47154507"
"129","Parkesia noveboracensis","6750","Parkesia_motacilla","6760","7678079.69445039","2411617.91812905","375914.098850258"
"130","Parkesia noveboracensis","6750","Oporornis_formosus","6770","7678079.69445039","1970059.23328642","109868.707053644"
"131","Parkesia noveboracensis","6750","Oporornis_agilis","6780","7678079.69445039","1196589.36140084","1050216.79377979"
"132","Parkesia motacilla","6760","Limnothlypis_swainsonii","6380","2411617.91812905","1142684.10592155","913859.881131031"
"133","Parkesia motacilla","6760","Seiurus_aurocapilla","6740","2411617.91812905","5560914.94524942","1721801.5806424"
"134","Parkesia motacilla","6760","Parkesia_noveboracensis","6750","2411617.91812905","7678079.69445039","375914.098850258"
"135","Parkesia motacilla","6760","Oporornis_formosus","6770","2411617.91812905","1970059.23328642","1828138.09130314"
"136","Parkesia motacilla","6760","Oporornis_agilis","6780","2411617.91812905","1196589.36140084","2543.36829164914"
"137","Oporornis formosus","6770","Limnothlypis_swainsonii","6380","1970059.23328642","1142684.10592155","1014747.41019039"
"138","Oporornis formosus","6770","Seiurus_aurocapilla","6740","1970059.23328642","5560914.94524942","1221284.14220809"
"139","Oporornis formosus","6770","Parkesia_noveboracensis","6750","1970059.23328642","7678079.69445039","109868.707053644"
"140","Oporornis formosus","6770","Parkesia_motacilla","6760","1970059.23328642","2411617.91812905","1828138.09130313"
"141","Vermivora cyanoptera","6410","Helmitheros_vermivorum","6390","1784803.48893933","1754212.46454789","998641.958727923"
"142","Vermivora cyanoptera","6410","Parula_americana","6480","1784803.48893933","3366089.02404897","1118888.97380111"
"143","Vermivora cyanoptera","6410","Dendroica_petechia","6520","1784803.48893933","15523411.5295266","1728167.79677762"
"144","Vermivora cyanoptera","6410","Dendroica_pinus","6710","1784803.48893933","2077585.70678404","602720.012003759"
"145","Vermivora cyanoptera","6410","Dendroica_discolor","6730","1784803.48893933","1647483.80263172","850606.014682673"
"146","Vermivora cyanoptera","6410","Geothlypis_trichas","6810","1784803.48893933","12866759.2375821","1784336.77386908"
"147","Vermivora cyanoptera","6410","Wilsonia_citrina","6840","1784803.48893933","2009439.59827429","987146.708578907"
"148","Helmitheros vermivorum","6390","Vermivora_cyanoptera","6410","1754212.46454789","1784803.48893933","998641.958727923"
"149","Helmitheros vermivorum","6390","Parula_americana","6480","1754212.46454789","3366089.02404897","1647212.46591923"
"150","Helmitheros vermivorum","6390","Dendroica_petechia","6520","1754212.46454789","15523411.5295266","1135237.02942331"
"151","Helmitheros vermivorum","6390","Dendroica_pinus","6710","1754212.46454789","2077585.70678404","1050588.61917714"
"152","Helmitheros vermivorum","6390","Dendroica_discolor","6730","1754212.46454789","1647483.80263172","1332812.89567459"
"153","Helmitheros vermivorum","6390","Geothlypis_trichas","6810","1754212.46454789","12866759.2375821","1754203.94757281"
"154","Helmitheros vermivorum","6390","Wilsonia_citrina","6840","1754212.46454789","2009439.59827429","1553974.79368881"
"155","Dendroica nigrescens","6650","Vermivora_luciae","6430","1798857.25760911","391355.086474992","192403.298066453"
"156","Dendroica nigrescens","6650","Dendroica_petechia","6520","1798857.25760911","15523411.5295266","1624709.95314306"
"157","Dendroica nigrescens","6650","Dendroica_graciae","6640","1798857.25760911","1123772.00425037","522813.325947443"
"158","Dendroica nigrescens","6650","Myioborus_pictus","6880","1798857.25760911","1126013.68371578","225272.590215877"
"159","Cardellina rubrifrons","6900","Vermivora_luciae","6430","393332.995143169","391355.086474992","106065.966671407"
"160","Cardellina rubrifrons","6900","Dendroica_graciae","6640","393332.995143169","1123772.00425037","243571.536989763"
"161","Cardellina rubrifrons","6900","Myioborus_pictus","6880","393332.995143169","1126013.68371578","364273.511184393"
"162","Vermivora celata","6460","Vermivora_virginiae","6440","7846143.64808196","336864.696904857","234469.708433035"
"163","Vermivora celata","6460","Vermivora_peregrina","6470","7846143.64808196","4841798.79960176","3830543.12178"
"164","Vermivora celata","6460","Dendroica_tigrina","6500","7846143.64808196","2597215.17394992","1847695.79608235"
"165","Vermivora celata","6460","Dendroica_petechia","6520","7846143.64808196","15523411.5295266","7738363.8090018"
"166","Vermivora celata","6460","Dendroica_coronata","6550","7846143.64808196","10280159.9077172","7415467.56412674"
"167","Vermivora celata","6460","Dendroica_pensylvanica","6590","7846143.64808196","2441176.29908871","822190.55383666"
"168","Vermivora celata","6460","Dendroica_castanea","6600","7846143.64808196","2702365.02228155","1851633.18583517"
"169","Vermivora celata","6460","Dendroica_striata","6610","7846143.64808196","6439953.99315026","4462959.02642809"
"170","Vermivora celata","6460","Dendroica_fusca","6620","7846143.64808196","2046866.85865659","592316.059657806"
"171","Vermivora celata","6460","Dendroica_virens","6670","7846143.64808196","3323344.54537508","1557148.45391859"
"172","Vermivora celata","6460","Dendroica_townsendi","6680","7846143.64808196","1406150.85982244","1348257.64104063"
"173","Vermivora celata","6460","Oporornis_philadelphia","6790","7846143.64808196","2728129.13802754","1217579.40392596"
"174","Vermivora celata","6460","Geothlypis_trichas","6810","7846143.64808196","12866759.2375821","5464497.50373017"
"175","Vermivora celata","6460","Wilsonia_pusilla","6850","7846143.64808196","7993254.4402918","5990068.3411872"
"176","Dendroica tigrina","6500","Vermivora_ruficapilla","6450","2597215.17394992","2791025.83495608","1408217.94936572"
"177","Dendroica tigrina","6500","Vermivora_celata","6460","2597215.17394992","7846143.64808196","1847695.79608234"
"178","Dendroica tigrina","6500","Vermivora_peregrina","6470","2597215.17394992","4841798.79960176","2476211.0570854"
"179","Dendroica tigrina","6500","Dendroica_petechia","6520","2597215.17394992","15523411.5295266","2597155.1534152"
"180","Dendroica tigrina","6500","Dendroica_coronata","6550","2597215.17394992","10280159.9077172","2549478.55551992"
"181","Dendroica tigrina","6500","Dendroica_pensylvanica","6590","2597215.17394992","2441176.29908871","1383611.53294467"
"182","Dendroica tigrina","6500","Dendroica_castanea","6600","2597215.17394992","2702365.02228155","1922297.02653701"
"183","Dendroica tigrina","6500","Dendroica_striata","6610","2597215.17394992","6439953.99315026","1524234.71861372"
"184","Dendroica tigrina","6500","Dendroica_fusca","6620","2597215.17394992","2046866.85865659","1219230.30647935"
"185","Dendroica tigrina","6500","Dendroica_virens","6670","2597215.17394992","3323344.54537508","1821813.02616129"
"186","Dendroica tigrina","6500","Oporornis_philadelphia","6790","2597215.17394992","2728129.13802754","1783305.54877016"
"187","Dendroica tigrina","6500","Geothlypis_trichas","6810","2597215.17394992","12866759.2375821","2211797.86151392"
"188","Dendroica tigrina","6500","Wilsonia_pusilla","6850","2597215.17394992","7993254.4402918","2003883.90164626"
"189","Dendroica striata","6610","Vermivora_ruficapilla","6450","6439953.99315026","2791025.83495608","774345.357531894"
"190","Dendroica striata","6610","Vermivora_celata","6460","6439953.99315026","7846143.64808196","4462959.02642811"
"191","Dendroica striata","6610","Vermivora_peregrina","6470","6439953.99315026","4841798.79960176","3459032.67477364"
"192","Dendroica striata","6610","Dendroica_tigrina","6500","6439953.99315026","2597215.17394992","1524234.71861372"
"193","Dendroica striata","6610","Dendroica_petechia","6520","6439953.99315026","15523411.5295266","5933922.79708127"
"194","Dendroica striata","6610","Dendroica_coronata","6550","6439953.99315026","10280159.9077172","5569609.00264234"
"195","Dendroica striata","6610","Dendroica_pensylvanica","6590","6439953.99315026","2441176.29908871","569533.018944394"
"196","Dendroica striata","6610","Dendroica_castanea","6600","6439953.99315026","2702365.02228155","1696015.09652656"
"197","Dendroica striata","6610","Dendroica_fusca","6620","6439953.99315026","2046866.85865659","450062.644216783"
"198","Dendroica striata","6610","Dendroica_virens","6670","6439953.99315026","3323344.54537508","1624718.05721981"
"199","Dendroica striata","6610","Dendroica_townsendi","6680","6439953.99315026","1406150.85982244","559190.788215582"
"200","Dendroica striata","6610","Oporornis_philadelphia","6790","6439953.99315026","2728129.13802754","1187563.35574523"
"201","Dendroica striata","6610","Geothlypis_trichas","6810","6439953.99315026","12866759.2375821","2892829.29753278"
"202","Dendroica striata","6610","Wilsonia_pusilla","6850","6439953.99315026","7993254.4402918","5624552.16166809"
"203","Dendroica castanea","6600","Vermivora_ruficapilla","6450","2702365.02228155","2791025.83495608","1667626.01488646"
"204","Dendroica castanea","6600","Vermivora_celata","6460","2702365.02228155","7846143.64808196","1851633.18583516"
"205","Dendroica castanea","6600","Vermivora_peregrina","6470","2702365.02228155","4841798.79960176","2613999.30533834"
"206","Dendroica castanea","6600","Dendroica_tigrina","6500","2702365.02228155","2597215.17394992","1922297.02653701"
"207","Dendroica castanea","6600","Dendroica_petechia","6520","2702365.02228155","15523411.5295266","2702301.27444257"
"208","Dendroica castanea","6600","Dendroica_coronata","6550","2702365.02228155","10280159.9077172","2702210.20003518"
"209","Dendroica castanea","6600","Dendroica_pensylvanica","6590","2702365.02228155","2441176.29908871","1500561.62779509"
"210","Dendroica castanea","6600","Dendroica_striata","6610","2702365.02228155","6439953.99315026","1696015.09652656"
"211","Dendroica castanea","6600","Dendroica_fusca","6620","2702365.02228155","2046866.85865659","1373230.62328746"
"212","Dendroica castanea","6600","Dendroica_virens","6670","2702365.02228155","3323344.54537508","2008615.89597663"
"213","Dendroica castanea","6600","Oporornis_philadelphia","6790","2702365.02228155","2728129.13802754","1654631.38148902"
"214","Dendroica castanea","6600","Geothlypis_trichas","6810","2702365.02228155","12866759.2375821","2300927.61604046"
"215","Dendroica castanea","6600","Wilsonia_pusilla","6850","2702365.02228155","7993254.4402918","2281258.55714756"
"216","Oporornis philadelphia","6790","Vermivora_ruficapilla","6450","2728129.13802754","2791025.83495608","1820167.27588541"
"217","Oporornis philadelphia","6790","Vermivora_celata","6460","2728129.13802754","7846143.64808196","1217579.40392596"
"218","Oporornis philadelphia","6790","Vermivora_peregrina","6470","2728129.13802754","4841798.79960176","2051342.22030393"
"219","Oporornis philadelphia","6790","Dendroica_tigrina","6500","2728129.13802754","2597215.17394992","1783305.54877016"
"220","Oporornis philadelphia","6790","Dendroica_petechia","6520","2728129.13802754","15523411.5295266","2727928.25735271"
"221","Oporornis philadelphia","6790","Dendroica_coronata","6550","2728129.13802754","10280159.9077172","2421236.80124591"
"222","Oporornis philadelphia","6790","Dendroica_pensylvanica","6590","2728129.13802754","2441176.29908871","1820393.27209887"
"223","Oporornis philadelphia","6790","Dendroica_castanea","6600","2728129.13802754","2702365.02228155","1654631.38148903"
"224","Oporornis philadelphia","6790","Dendroica_striata","6610","2728129.13802754","6439953.99315026","1187563.35574523"
"225","Oporornis philadelphia","6790","Dendroica_fusca","6620","2728129.13802754","2046866.85865659","1590465.83062522"
"226","Oporornis philadelphia","6790","Dendroica_virens","6670","2728129.13802754","3323344.54537508","2223424.62468146"
"227","Oporornis philadelphia","6790","Geothlypis_trichas","6810","2728129.13802754","12866759.2375821","2659598.08600948"
"228","Oporornis philadelphia","6790","Wilsonia_pusilla","6850","2728129.13802754","7993254.4402918","1563175.55110023"
"229","Vermivora peregrina","6470","Vermivora_ruficapilla","6450","4841798.79960176","2791025.83495608","1732395.75250536"
"230","Vermivora peregrina","6470","Vermivora_celata","6460","4841798.79960176","7846143.64808196","3830543.12178001"
"231","Vermivora peregrina","6470","Dendroica_tigrina","6500","4841798.79960176","2597215.17394992","2476211.05708542"
"232","Vermivora peregrina","6470","Dendroica_petechia","6520","4841798.79960176","15523411.5295266","4840489.50032357"
"233","Vermivora peregrina","6470","Dendroica_coronata","6550","4841798.79960176","10280159.9077172","4601282.89121291"
"234","Vermivora peregrina","6470","Dendroica_pensylvanica","6590","4841798.79960176","2441176.29908871","1568500.04658396"
"235","Vermivora peregrina","6470","Dendroica_castanea","6600","4841798.79960176","2702365.02228155","2613999.30533835"
"236","Vermivora peregrina","6470","Dendroica_striata","6610","4841798.79960176","6439953.99315026","3459032.67477364"
"237","Vermivora peregrina","6470","Dendroica_fusca","6620","4841798.79960176","2046866.85865659","1386282.52305753"
"238","Vermivora peregrina","6470","Dendroica_virens","6670","4841798.79960176","3323344.54537508","2382247.56145658"
"239","Vermivora peregrina","6470","Dendroica_townsendi","6680","4841798.79960176","1406150.85982244","470535.688611919"
"240","Vermivora peregrina","6470","Oporornis_philadelphia","6790","4841798.79960176","2728129.13802754","2051342.22030393"
"241","Vermivora peregrina","6470","Geothlypis_trichas","6810","4841798.79960176","12866759.2375821","3860584.1265835"
"242","Vermivora peregrina","6470","Wilsonia_pusilla","6850","4841798.79960176","7993254.4402918","4080726.36223326"
"243","Dendroica fusca","6620","Vermivora_ruficapilla","6450","2046866.85865659","2791025.83495608","1823665.40294309"
"244","Dendroica fusca","6620","Vermivora_celata","6460","2046866.85865659","7846143.64808196","592316.059657805"
"245","Dendroica fusca","6620","Vermivora_peregrina","6470","2046866.85865659","4841798.79960176","1386282.52305753"
"246","Dendroica fusca","6620","Dendroica_tigrina","6500","2046866.85865659","2597215.17394992","1219230.30647935"
"247","Dendroica fusca","6620","Dendroica_petechia","6520","2046866.85865659","15523411.5295266","2045562.88668764"
"248","Dendroica fusca","6620","Dendroica_coronata","6550","2046866.85865659","10280159.9077172","1744928.33800687"
"249","Dendroica fusca","6620","Dendroica_pensylvanica","6590","2046866.85865659","2441176.29908871","1918931.88360163"
"250","Dendroica fusca","6620","Dendroica_castanea","6600","2046866.85865659","2702365.02228155","1373230.62328747"
"251","Dendroica fusca","6620","Dendroica_striata","6610","2046866.85865659","6439953.99315026","450062.644216784"
"252","Dendroica fusca","6620","Dendroica_virens","6670","2046866.85865659","3323344.54537508","1849568.83626056"
"253","Dendroica fusca","6620","Oporornis_philadelphia","6790","2046866.85865659","2728129.13802754","1590465.83062522"
"254","Dendroica fusca","6620","Geothlypis_trichas","6810","2046866.85865659","12866759.2375821","2035894.84921907"
