"Species","FocalAOU","stateroute"
"Bonasa_umbellus",3000,79729
"Bonasa_umbellus",3000,79912
"Bonasa_umbellus",3000,80219
"Bonasa_umbellus",3000,80850
"Bonasa_umbellus",3000,80944
"Bonasa_umbellus",3000,81109
"Bonasa_umbellus",3000,81220
"Bonasa_umbellus",3000,81403
"Bonasa_umbellus",3000,81574
"Bonasa_umbellus",3000,81688
"Bonasa_umbellus",3000,81833
"Bonasa_umbellus",3000,81908
"Bonasa_umbellus",3000,82080
"Bonasa_umbellus",3000,82097
"Bonasa_umbellus",3000,82222
"Bonasa_umbellus",3000,82339
"Bonasa_umbellus",3000,82463
"Bonasa_umbellus",3000,82584
"Bonasa_umbellus",3000,82704
"Bonasa_umbellus",3000,82911
"Bonasa_umbellus",3000,83063
"Bonasa_umbellus",3000,83128
"Bonasa_umbellus",3000,83344
"Bonasa_umbellus",3000,83569
"Bonasa_umbellus",3000,83683
"Bonasa_umbellus",3000,84312
"Bonasa_umbellus",3000,84601
"Bonasa_umbellus",3000,84682
"Bonasa_umbellus",3000,84996
"Bonasa_umbellus",3000,85439
"Bonasa_umbellus",3000,86014
"Bonasa_umbellus",3000,86118
"Bonasa_umbellus",3000,86261
"Oreortyx_pictus",2920,8876
"Oreortyx_pictus",2920,9002
"Oreortyx_pictus",2920,9473
"Oreortyx_pictus",2920,9752
"Oreortyx_pictus",2920,9810
"Oreortyx_pictus",2920,10281
"Oreortyx_pictus",2920,10433
"Oreortyx_pictus",2920,10460
"Oreortyx_pictus",2920,10609
"Oreortyx_pictus",2920,10765
"Oreortyx_pictus",2920,11456
"Oreortyx_pictus",2920,11491
"Oreortyx_pictus",2920,60075
"Oreortyx_pictus",2920,60229
"Oreortyx_pictus",2920,60446
"Oreortyx_pictus",2920,60642
"Oreortyx_pictus",2920,60788
"Oreortyx_pictus",2920,61174
"Perdix_perdix",2881,3716
"Perdix_perdix",2881,3821
"Perdix_perdix",2881,3879
"Perdix_perdix",2881,4113
"Perdix_perdix",2881,4290
"Perdix_perdix",2881,4636
"Perdix_perdix",2881,4964
"Perdix_perdix",2881,5142
"Perdix_perdix",2881,5233
"Perdix_perdix",2881,5257
"Perdix_perdix",2881,18662
"Perdix_perdix",2881,18773
"Perdix_perdix",2881,19070
"Perdix_perdix",2881,19184
"Perdix_perdix",2881,19505
"Perdix_perdix",2881,19572
"Perdix_perdix",2881,19888
"Perdix_perdix",2881,20229
"Perdix_perdix",2881,20299
"Perdix_perdix",2881,20388
"Perdix_perdix",2881,25851
"Perdix_perdix",2881,31268
"Perdix_perdix",2881,31451
"Perdix_perdix",2881,31655
"Perdix_perdix",2881,31727
"Perdix_perdix",2881,31851
"Perdix_perdix",2881,31869
"Perdix_perdix",2881,36926
"Perdix_perdix",2881,38243
"Perdix_perdix",2881,38322
"Perdix_perdix",2881,40815
"Perdix_perdix",2881,40951
"Perdix_perdix",2881,41249
"Perdix_perdix",2881,41584
"Perdix_perdix",2881,41780
"Perdix_perdix",2881,41996
"Perdix_perdix",2881,42223
"Perdix_perdix",2881,52832
"Perdix_perdix",2881,52895
"Perdix_perdix",2881,53031
"Perdix_perdix",2881,53127
"Perdix_perdix",2881,53310
"Perdix_perdix",2881,53409
"Perdix_perdix",2881,53468
"Perdix_perdix",2881,53609
"Perdix_perdix",2881,53681
"Perdix_perdix",2881,53789
"Perdix_perdix",2881,53921
"Perdix_perdix",2881,54222
"Perdix_perdix",2881,58018
"Perdix_perdix",2881,68286
"Perdix_perdix",2881,68541
"Perdix_perdix",2881,68659
"Perdix_perdix",2881,69453
"Perdix_perdix",2881,69572
"Perdix_perdix",2881,69678
"Perdix_perdix",2881,69825
"Perdix_perdix",2881,75515
"Perdix_perdix",2881,78163
"Perdix_perdix",2881,78768
"Perdix_perdix",2881,79046
"Perdix_perdix",2881,79533
"Perdix_perdix",2881,84133
"Perdix_perdix",2881,85546
"Patagioenas_fasciata",3120,5406
"Patagioenas_fasciata",3120,5551
"Patagioenas_fasciata",3120,7956
"Patagioenas_fasciata",3120,8235
"Patagioenas_fasciata",3120,8720
"Patagioenas_fasciata",3120,8902
"Patagioenas_fasciata",3120,9061
"Patagioenas_fasciata",3120,9279
"Patagioenas_fasciata",3120,9425
"Patagioenas_fasciata",3120,9530
"Patagioenas_fasciata",3120,9719
"Patagioenas_fasciata",3120,9864
"Patagioenas_fasciata",3120,9903
"Patagioenas_fasciata",3120,10074
"Patagioenas_fasciata",3120,10252
"Patagioenas_fasciata",3120,10424
"Patagioenas_fasciata",3120,10447
"Patagioenas_fasciata",3120,10574
"Patagioenas_fasciata",3120,10637
"Patagioenas_fasciata",3120,10802
"Patagioenas_fasciata",3120,10851
"Patagioenas_fasciata",3120,10997
"Patagioenas_fasciata",3120,11059
"Patagioenas_fasciata",3120,11339
"Patagioenas_fasciata",3120,11434
"Patagioenas_fasciata",3120,11495
"Patagioenas_fasciata",3120,11693
"Patagioenas_fasciata",3120,12646
"Patagioenas_fasciata",3120,13058
"Patagioenas_fasciata",3120,14005
"Patagioenas_fasciata",3120,14448
"Patagioenas_fasciata",3120,45303
"Patagioenas_fasciata",3120,45827
"Patagioenas_fasciata",3120,46133
"Patagioenas_fasciata",3120,46480
"Patagioenas_fasciata",3120,46630
"Patagioenas_fasciata",3120,47391
"Patagioenas_fasciata",3120,60066
"Patagioenas_fasciata",3120,60110
"Patagioenas_fasciata",3120,60250
"Patagioenas_fasciata",3120,60436
"Patagioenas_fasciata",3120,60638
"Patagioenas_fasciata",3120,60675
"Patagioenas_fasciata",3120,60846
"Patagioenas_fasciata",3120,61026
"Patagioenas_fasciata",3120,61449
"Patagioenas_fasciata",3120,77762
"Patagioenas_fasciata",3120,77901
"Patagioenas_fasciata",3120,78399
"Patagioenas_fasciata",3120,78532
"Patagioenas_fasciata",3120,78684
"Patagioenas_fasciata",3120,79133
"Patagioenas_fasciata",3120,79222
"Patagioenas_fasciata",3120,79396
"Patagioenas_fasciata",3120,79639
"Columbina_inca",3210,5349
"Columbina_inca",3210,5469
"Columbina_inca",3210,5643
"Columbina_inca",3210,5667
"Columbina_inca",3210,5780
"Columbina_inca",3210,5901
"Columbina_inca",3210,6037
"Columbina_inca",3210,29274
"Columbina_inca",3210,29340
"Columbina_inca",3210,29674
"Columbina_inca",3210,46217
"Columbina_inca",3210,46970
"Columbina_inca",3210,71569
"Columbina_inca",3210,71643
"Columbina_inca",3210,71751
"Columbina_inca",3210,71892
"Columbina_inca",3210,71977
"Columbina_inca",3210,72012
"Columbina_inca",3210,72116
"Columbina_inca",3210,72196
"Columbina_inca",3210,72249
"Columbina_inca",3210,72349
"Columbina_inca",3210,72467
"Columbina_inca",3210,72568
"Columbina_inca",3210,72689
"Columbina_inca",3210,72743
"Columbina_inca",3210,73080
"Columbina_inca",3210,73167
"Columbina_inca",3210,73208
"Columbina_inca",3210,73363
"Columbina_inca",3210,73418
"Columbina_inca",3210,73504
"Columbina_inca",3210,73555
"Columbina_inca",3210,73621
"Columbina_inca",3210,73795
"Columbina_inca",3210,73834
"Columbina_inca",3210,73961
"Columbina_inca",3210,73984
"Coccyzus_erythropthalmus",3880,14819
"Coccyzus_erythropthalmus",3880,14899
"Coccyzus_erythropthalmus",3880,15002
"Coccyzus_erythropthalmus",3880,15083
"Coccyzus_erythropthalmus",3880,15486
"Coccyzus_erythropthalmus",3880,20749
"Coccyzus_erythropthalmus",3880,20849
"Coccyzus_erythropthalmus",3880,21061
"Coccyzus_erythropthalmus",3880,21109
"Coccyzus_erythropthalmus",3880,21581
"Coccyzus_erythropthalmus",3880,21670
"Coccyzus_erythropthalmus",3880,21889
"Coccyzus_erythropthalmus",3880,22068
"Coccyzus_erythropthalmus",3880,22848
"Coccyzus_erythropthalmus",3880,23169
"Coccyzus_erythropthalmus",3880,23260
"Coccyzus_erythropthalmus",3880,23432
"Coccyzus_erythropthalmus",3880,23585
"Coccyzus_erythropthalmus",3880,24098
"Coccyzus_erythropthalmus",3880,24154
"Coccyzus_erythropthalmus",3880,24393
"Coccyzus_erythropthalmus",3880,24457
"Coccyzus_erythropthalmus",3880,24531
"Coccyzus_erythropthalmus",3880,25471
"Coccyzus_erythropthalmus",3880,25608
"Coccyzus_erythropthalmus",3880,25736
"Coccyzus_erythropthalmus",3880,25876
"Coccyzus_erythropthalmus",3880,25989
"Coccyzus_erythropthalmus",3880,26038
"Coccyzus_erythropthalmus",3880,26365
"Coccyzus_erythropthalmus",3880,26494
"Coccyzus_erythropthalmus",3880,26792
"Coccyzus_erythropthalmus",3880,26924
"Coccyzus_erythropthalmus",3880,27062
"Coccyzus_erythropthalmus",3880,27169
"Coccyzus_erythropthalmus",3880,27239
"Coccyzus_erythropthalmus",3880,27294
"Coccyzus_erythropthalmus",3880,27566
"Coccyzus_erythropthalmus",3880,27651
"Coccyzus_erythropthalmus",3880,27707
"Coccyzus_erythropthalmus",3880,27855
"Coccyzus_erythropthalmus",3880,28042
"Coccyzus_erythropthalmus",3880,28722
"Coccyzus_erythropthalmus",3880,30703
"Coccyzus_erythropthalmus",3880,30773
"Coccyzus_erythropthalmus",3880,30917
"Coccyzus_erythropthalmus",3880,31167
"Coccyzus_erythropthalmus",3880,31318
"Coccyzus_erythropthalmus",3880,31399
"Coccyzus_erythropthalmus",3880,31522
